cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1661571927-PODAAC,19971208000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971208v7.1-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T16:11:40Z,2017-11-17T00:28:31.284Z,TMI-REMSS-L3U-v7.1a,19971208000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971208v7.1-v02.0-fv01.0.nc,2.7903385162353516,,Unspecified,1997-12-08T00:00:00.000Z,1997-12-09T00:00:00.000Z,-40.0,40.0,-179.875,179.875,"POLYGON ((179.875 -40, 179.875 40, -179.875 40, -179.875 -40, 179.875 -40))"
granule,G1661621297-PODAAC,19971207000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971207v7.1-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T17:54:53Z,2017-12-01T19:00:21.652Z,TMI-REMSS-L3U-v7.1a,19971207000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971207v7.1-v02.0-fv01.0.nc,0.3398628234863281,,Unspecified,1997-12-08T00:00:00.000Z,1997-12-08T00:00:00.000Z,-40.0,40.0,-179.875,179.875,"POLYGON ((179.875 -40, 179.875 40, -179.875 40, -179.875 -40, 179.875 -40))"
granule,G1661634421-PODAAC,19971209000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971209v7.1-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T18:28:32Z,2017-11-17T02:40:34.264Z,TMI-REMSS-L3U-v7.1a,19971209000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971209v7.1-v02.0-fv01.0.nc,2.7734222412109375,,Unspecified,1997-12-09T00:00:00.000Z,1997-12-10T00:00:00.000Z,-40.0,40.0,-179.875,179.875,"POLYGON ((179.875 -40, 179.875 40, -179.875 40, -179.875 -40, 179.875 -40))"
granule,G1661626512-PODAAC,19971210000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971210v7.1-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T18:09:33Z,2017-12-01T19:02:27.963Z,TMI-REMSS-L3U-v7.1a,19971210000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971210v7.1-v02.0-fv01.0.nc,2.7893457412719727,,Unspecified,1997-12-10T00:06:00.000Z,1997-12-10T23:59:52.000Z,-40.0,40.0,-179.875,179.875,"POLYGON ((179.875 -40, 179.875 40, -179.875 40, -179.875 -40, 179.875 -40))"
granule,G1661606495-PODAAC,19971211000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971211v7.1-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T17:14:10Z,2017-11-17T09:37:25.297Z,TMI-REMSS-L3U-v7.1a,19971211000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971211v7.1-v02.0-fv01.0.nc,2.7473697662353516,,Unspecified,1997-12-11T00:00:00.000Z,1997-12-12T00:00:00.000Z,-40.0,40.0,-179.875,179.875,"POLYGON ((179.875 -40, 179.875 40, -179.875 40, -179.875 -40, 179.875 -40))"
granule,G1661599550-PODAAC,19971212000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971212v7.1-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T16:57:20Z,2017-11-17T08:08:36.132Z,TMI-REMSS-L3U-v7.1a,19971212000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971212v7.1-v02.0-fv01.0.nc,2.745332717895508,,Unspecified,1997-12-12T00:00:00.000Z,1997-12-13T00:00:00.000Z,-40.0,40.0,-179.875,179.875,"POLYGON ((179.875 -40, 179.875 40, -179.875 40, -179.875 -40, 179.875 -40))"
granule,G1661630858-PODAAC,19971213000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971213v7.1-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T18:19:48Z,2017-11-17T07:15:57.049Z,TMI-REMSS-L3U-v7.1a,19971213000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971213v7.1-v02.0-fv01.0.nc,2.6069021224975586,,Unspecified,1997-12-13T00:00:00.000Z,1997-12-14T00:00:00.000Z,-40.0,40.0,-179.875,179.875,"POLYGON ((179.875 -40, 179.875 40, -179.875 40, -179.875 -40, 179.875 -40))"
granule,G1661576851-PODAAC,19971214000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971214v7.1-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T16:22:09Z,2017-12-01T19:02:17.332Z,TMI-REMSS-L3U-v7.1a,19971214000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971214v7.1-v02.0-fv01.0.nc,2.4823246002197266,,Unspecified,1997-12-14T00:06:00.000Z,1997-12-14T23:59:52.000Z,-40.0,40.0,-179.875,179.875,"POLYGON ((179.875 -40, 179.875 40, -179.875 40, -179.875 -40, 179.875 -40))"
granule,G1661618719-PODAAC,19971215000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971215v7.1-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T17:46:37Z,2017-12-01T19:02:27.665Z,TMI-REMSS-L3U-v7.1a,19971215000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971215v7.1-v02.0-fv01.0.nc,2.7156591415405273,,Unspecified,1997-12-15T00:06:00.000Z,1997-12-15T23:59:52.000Z,-40.0,40.0,-179.875,179.875,"POLYGON ((179.875 -40, 179.875 40, -179.875 40, -179.875 -40, 179.875 -40))"
granule,G1661578442-PODAAC,19971216000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971216v7.1-v02.0-fv01.0.nc,PODAAC,1,2019-11-27T16:23:30Z,2017-11-17T07:19:50.055Z,TMI-REMSS-L3U-v7.1a,19971216000000-REMSS-L3U_GHRSST-SSTsubskin-TMI-f12_19971216v7.1-v02.0-fv01.0.nc,2.744509696960449,,Unspecified,1997-12-16T00:00:00.000Z,1997-12-17T00:00:00.000Z,-40.0,40.0,-179.875,179.875,"POLYGON ((179.875 -40, 179.875 40, -179.875 40, -179.875 -40, 179.875 -40))"
