cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1650355437-PODAAC,20060401-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,PODAAC,1,2019-11-01T21:05:25Z,2007-05-10T01:45:04.000Z,UKMO-L4HRfnd-GLOB-OSTIA,20060401-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,0.0,,Unspecified,2006-04-01T00:00:00.000Z,2006-04-02T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650355441-PODAAC,20060402-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,PODAAC,1,2019-11-01T21:05:26Z,2007-05-10T01:45:04.000Z,UKMO-L4HRfnd-GLOB-OSTIA,20060402-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,0.0,,Unspecified,2006-04-02T00:00:00.000Z,2006-04-03T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650355445-PODAAC,20060403-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,PODAAC,1,2019-11-01T21:05:27Z,2007-05-10T01:45:04.000Z,UKMO-L4HRfnd-GLOB-OSTIA,20060403-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,0.0,,Unspecified,2006-04-03T00:00:00.000Z,2006-04-04T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650355465-PODAAC,20060404-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,PODAAC,1,2019-11-01T21:05:28Z,2007-05-10T01:50:05.000Z,UKMO-L4HRfnd-GLOB-OSTIA,20060404-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,0.0,,Unspecified,2006-04-04T00:00:00.000Z,2006-04-05T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650355479-PODAAC,20060405-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,PODAAC,1,2019-11-01T21:05:30Z,2007-05-10T01:50:05.000Z,UKMO-L4HRfnd-GLOB-OSTIA,20060405-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,0.0,,Unspecified,2006-04-05T00:00:00.000Z,2006-04-06T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650355483-PODAAC,20060406-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,PODAAC,1,2019-11-01T21:05:31Z,2007-05-10T01:55:04.000Z,UKMO-L4HRfnd-GLOB-OSTIA,20060406-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,0.0,,Unspecified,2006-04-06T00:00:00.000Z,2006-04-07T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650355488-PODAAC,20060407-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,PODAAC,1,2019-11-01T21:05:32Z,2007-05-10T01:55:05.000Z,UKMO-L4HRfnd-GLOB-OSTIA,20060407-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,0.0,,Unspecified,2006-04-07T00:00:00.000Z,2006-04-08T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650355491-PODAAC,20060408-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,PODAAC,1,2019-11-01T21:05:34Z,2007-05-10T01:55:05.000Z,UKMO-L4HRfnd-GLOB-OSTIA,20060408-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,0.0,,Unspecified,2006-04-08T00:00:00.000Z,2006-04-09T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650355495-PODAAC,20060409-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,PODAAC,1,2019-11-01T21:05:35Z,2007-05-10T02:00:04.000Z,UKMO-L4HRfnd-GLOB-OSTIA,20060409-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,0.0,,Unspecified,2006-04-09T00:00:00.000Z,2006-04-10T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650355500-PODAAC,20060410-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,PODAAC,1,2019-11-01T21:05:36Z,2007-05-10T02:00:04.000Z,UKMO-L4HRfnd-GLOB-OSTIA,20060410-UKMO-L4HRfnd-GLOB-v01-fv02-OSTIA.nc,0.0,,Unspecified,2006-04-10T00:00:00.000Z,2006-04-11T00:00:00.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
