cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1654017919-PODAAC,20180105000000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-11-08T15:19:05Z,2019-03-14T06:28:35.806Z,VIIRS_N20-OSPO-L2P-v2.61,20180105000000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,164.6546459197998,,Unspecified,2018-01-05T00:00:00.000Z,2018-01-05T00:09:59.000Z,20.894,60.104,7.735,57.464,"POLYGON ((57.464 20.894, 57.464 60.104, 7.735 60.104, 7.735 20.894, 57.464 20.894))"
granule,G1654027395-PODAAC,20180105001000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-11-08T15:49:13Z,2019-03-16T06:43:22.348Z,VIIRS_N20-OSPO-L2P-v2.61,20180105001000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,158.84867191314697,,Unspecified,2018-01-05T00:10:00.000Z,2018-01-05T00:19:59.000Z,-13.242,25.365,0.811,36.889,"POLYGON ((36.889 -13.242, 36.889 25.365, 0.8110000000000001 25.365, 0.8110000000000001 -13.242, 36.889 -13.242))"
granule,G1654012790-PODAAC,20180105002000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-11-08T15:12:57Z,2019-03-14T00:43:28.601Z,VIIRS_N20-OSPO-L2P-v2.61,20180105002000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,180.6112241744995,,Unspecified,2018-01-05T00:20:01.000Z,2018-01-05T00:30:00.000Z,-47.77,-9.003,-13.834,28.267,"POLYGON ((28.267 -47.77, 28.267 -9.003, -13.834 -9.003, -13.834 -47.77, 28.267 -47.77))"
granule,G1654012682-PODAAC,20180105003000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-11-08T15:12:43Z,2019-03-14T00:36:03.802Z,VIIRS_N20-OSPO-L2P-v2.61,20180105003000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,183.06163692474365,,Unspecified,2018-01-05T00:30:01.000Z,2018-01-05T00:40:00.000Z,-82.528,-41.788,-60.357,47.729,"POLYGON ((47.729 -82.52800000000001, 47.729 -41.788, -60.357 -41.788, -60.357 -82.52800000000001, 47.729 -82.52800000000001))"
granule,G1654020929-PODAAC,20180105004000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-11-08T15:25:28Z,2019-03-14T13:43:46.465Z,VIIRS_N20-OSPO-L2P-v2.61,20180105004000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,164.58499145507812,,Unspecified,2018-01-05T00:40:01.000Z,2018-01-05T00:49:58.000Z,-90.0,-54.46,-180.0,180.0,"POLYGON ((180 -90, 180 -54.46, -180 -54.46, -180 -90, 180 -90))"
granule,G1654027527-PODAAC,20180105005000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-11-08T15:49:48Z,2019-03-16T07:34:20.762Z,VIIRS_N20-OSPO-L2P-v2.61,20180105005000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,189.99933528900146,,Unspecified,2018-01-05T00:50:00.000Z,2018-01-05T00:59:59.000Z,-62.781,-23.597,175.261,180.0,"POLYGON ((180 -62.781, 180 -23.597, 175.261 -23.597, 175.261 -62.781, 180 -62.781))"
granule,G1654012783-PODAAC,20180105010000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-11-08T15:12:55Z,2019-03-14T00:42:10.520Z,VIIRS_N20-OSPO-L2P-v2.61,20180105010000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,193.77176094055176,,Unspecified,2018-01-05T01:00:00.000Z,2018-01-05T01:09:59.000Z,-28.155,10.358,169.065,180.0,"POLYGON ((180 -28.155, 180 10.358, 169.065 10.358, 169.065 -28.155, 180 -28.155))"
granule,G1654020234-PODAAC,20180105011000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-11-08T15:23:21Z,2019-03-14T12:19:24.676Z,VIIRS_N20-OSPO-L2P-v2.61,20180105011000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,191.97546863555908,,Unspecified,2018-01-05T01:10:00.000Z,2018-01-05T01:19:59.000Z,6.281,44.94,155.658,180.0,"POLYGON ((180 6.281, 180 44.94, 155.658 44.94, 155.658 6.281, 180 6.281))"
granule,G1654027378-PODAAC,20180105012000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-11-08T15:49:06Z,2019-03-16T06:25:54.337Z,VIIRS_N20-OSPO-L2P-v2.61,20180105012000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,170.60458278656006,,Unspecified,2018-01-05T01:20:01.000Z,2018-01-05T01:30:00.000Z,39.487,79.832,113.394,180.0,"POLYGON ((180 39.487, 180 79.83199999999999, 113.394 79.83199999999999, 113.394 39.487, 180 39.487))"
granule,G1654018650-PODAAC,20180105013000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-11-08T15:21:10Z,2019-03-14T08:43:36.998Z,VIIRS_N20-OSPO-L2P-v2.61,20180105013000-OSPO-L2P_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,175.4781084060669,,Unspecified,2018-01-05T01:30:01.000Z,2018-01-05T01:40:00.000Z,56.54,90.0,-180.0,180.0,"POLYGON ((180 56.54, 180 90, -180 90, -180 56.54, 180 56.54))"
