cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1666661760-PODAAC,20180105000000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T21:02:36Z,2019-04-03T21:06:54.705Z,VIIRS_N20-OSPO-L3U-v2.61,20180105000000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,1.916524887084961,,Unspecified,2018-01-05T00:00:00.000Z,2018-01-05T00:09:59.000Z,20.89,60.11,7.73,57.47,"POLYGON ((57.47 20.89, 57.47 60.11, 7.73 60.11, 7.73 20.89, 57.47 20.89))"
granule,G1666661855-PODAAC,20180105001000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T21:03:11Z,2019-04-03T21:12:08.909Z,VIIRS_N20-OSPO-L3U-v2.61,20180105001000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,0.7811183929443359,,Unspecified,2018-01-05T00:10:00.000Z,2018-01-05T00:19:59.000Z,-13.25,25.37,0.81,36.89,"POLYGON ((36.89 -13.25, 36.89 25.37, 0.8100000000000001 25.37, 0.8100000000000001 -13.25, 36.89 -13.25))"
granule,G1666661844-PODAAC,20180105002000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T21:03:03Z,2019-04-03T21:10:53.623Z,VIIRS_N20-OSPO-L3U-v2.61,20180105002000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,1.8160924911499023,,Unspecified,2018-01-05T00:20:01.000Z,2018-01-05T00:30:00.000Z,-47.78,-9.0,-13.84,28.27,"POLYGON ((28.27 -47.78, 28.27 -9, -13.84 -9, -13.84 -47.78, 28.27 -47.78))"
granule,G1666661482-PODAAC,20180105003000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T21:01:15Z,2019-04-03T20:55:21.622Z,VIIRS_N20-OSPO-L3U-v2.61,20180105003000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,3.5237064361572266,,Unspecified,2018-01-05T00:30:01.000Z,2018-01-05T00:40:00.000Z,-82.53,-41.78,-60.36,47.73,"POLYGON ((47.73 -82.53, 47.73 -41.78, -60.36 -41.78, -60.36 -82.53, 47.73 -82.53))"
granule,G1666661515-PODAAC,20180105004000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T21:01:23Z,2019-04-03T20:56:26.770Z,VIIRS_N20-OSPO-L3U-v2.61,20180105004000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,1.7151689529418945,,Unspecified,2018-01-05T00:40:01.000Z,2018-01-05T00:49:58.000Z,-90.0,-54.45,-180.0,180.0,"POLYGON ((180 -90, 180 -54.45, -180 -54.45, -180 -90, 180 -90))"
granule,G1666660287-PODAAC,20180105005000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T21:00:24Z,2019-04-03T20:48:44.193Z,VIIRS_N20-OSPO-L3U-v2.61,20180105005000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,4.523168563842773,,Unspecified,2018-01-05T00:50:00.000Z,2018-01-05T00:59:59.000Z,-62.79,-23.59,175.26,180.0,"POLYGON ((180 -62.79, 180 -23.59, 175.26 -23.59, 175.26 -62.79, 180 -62.79))"
granule,G1666661635-PODAAC,20180105010000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T21:02:00Z,2019-04-03T21:01:43.368Z,VIIRS_N20-OSPO-L3U-v2.61,20180105010000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,6.870201110839844,,Unspecified,2018-01-05T01:00:00.000Z,2018-01-05T01:09:59.000Z,-28.16,10.36,169.06,180.0,"POLYGON ((180 -28.16, 180 10.36, 169.06 10.36, 169.06 -28.16, 180 -28.16))"
granule,G1666661543-PODAAC,20180105011000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T21:01:32Z,2019-04-03T20:57:44.151Z,VIIRS_N20-OSPO-L3U-v2.61,20180105011000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,5.061800956726074,,Unspecified,2018-01-05T01:10:00.000Z,2018-01-05T01:19:59.000Z,6.28,44.95,155.65,180.0,"POLYGON ((180 6.28, 180 44.95, 155.65 44.95, 155.65 6.28, 180 6.28))"
granule,G1666661887-PODAAC,20180105012000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T21:03:22Z,2019-04-03T21:13:46.091Z,VIIRS_N20-OSPO-L3U-v2.61,20180105012000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,1.9522933959960938,,Unspecified,2018-01-05T01:20:01.000Z,2018-01-05T01:30:00.000Z,39.48,79.84,113.39,180.0,"POLYGON ((180 39.48, 180 79.84, 113.39 79.84, 113.39 39.48, 180 39.48))"
granule,G1666660352-PODAAC,20180105013000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,PODAAC,1,2019-12-10T21:00:27Z,2019-04-03T20:49:09.531Z,VIIRS_N20-OSPO-L3U-v2.61,20180105013000-OSPO-L3U_GHRSST-SSTsubskin-VIIRS_N20-ACSPO_V2.61-v02.0-fv01.0.nc,2.518159866333008,,Unspecified,2018-01-05T01:30:01.000Z,2018-01-05T01:40:00.000Z,56.53,90.0,-180.0,180.0,"POLYGON ((180 56.53, 180 90, -180 90, -180 56.53, 180 56.53))"
