cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1650312804-PODAAC,GAD-2_2018152-2018181_GRFO_GFZOP_BC01_0600,PODAAC,1,2019-11-01T16:39:21Z,2019-06-12T00:18:17.205Z,GRACEFO_L2_GFZ_MONTHLY_0060,GAD-2_2018152-2018181_GRFO_GFZOP_BC01_0600,0.31168174743652344,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312823-PODAAC,GSM-2_2018152-2018181_GRFO_GFZOP_BA01_0600,PODAAC,1,2019-11-01T16:39:34Z,2019-06-12T00:22:15.299Z,GRACEFO_L2_GFZ_MONTHLY_0060,GSM-2_2018152-2018181_GRFO_GFZOP_BA01_0600,0.04854297637939453,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312825-PODAAC,GAB-2_2018152-2018181_GRFO_GFZOP_BC01_0600,PODAAC,1,2019-11-01T16:39:37Z,2019-06-12T01:34:25.739Z,GRACEFO_L2_GFZ_MONTHLY_0060,GAB-2_2018152-2018181_GRFO_GFZOP_BC01_0600,0.3116292953491211,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312854-PODAAC,GSM-2_2018152-2018181_GRFO_GFZOP_BB01_0600,PODAAC,1,2019-11-01T16:39:46Z,2019-06-12T00:15:25.892Z,GRACEFO_L2_GFZ_MONTHLY_0060,GSM-2_2018152-2018181_GRFO_GFZOP_BB01_0600,0.11907291412353516,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312857-PODAAC,GAC-2_2018152-2018181_GRFO_GFZOP_BC01_0600,PODAAC,1,2019-11-01T16:39:50Z,2019-06-12T00:16:34.349Z,GRACEFO_L2_GFZ_MONTHLY_0060,GAC-2_2018152-2018181_GRFO_GFZOP_BC01_0600,0.3116950988769531,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312898-PODAAC,GAA-2_2018152-2018181_GRFO_GFZOP_BC01_0600,PODAAC,1,2019-11-01T16:40:02Z,2019-06-12T00:21:08.447Z,GRACEFO_L2_GFZ_MONTHLY_0060,GAA-2_2018152-2018181_GRFO_GFZOP_BC01_0600,0.3114938735961914,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312767-PODAAC,GAA-2_2018182-2018199_GRFO_GFZOP_BC01_0600,PODAAC,1,2019-11-01T16:38:54Z,2019-06-11T23:43:48.546Z,GRACEFO_L2_GFZ_MONTHLY_0060,GAA-2_2018182-2018199_GRFO_GFZOP_BC01_0600,0.3111867904663086,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312806-PODAAC,GAD-2_2018182-2018199_GRFO_GFZOP_BC01_0600,PODAAC,1,2019-11-01T16:39:23Z,2019-06-12T00:18:35.225Z,GRACEFO_L2_GFZ_MONTHLY_0060,GAD-2_2018182-2018199_GRFO_GFZOP_BC01_0600,0.3118171691894531,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312808-PODAAC,GSM-2_2018182-2018199_GRFO_GFZOP_BB01_0600,PODAAC,1,2019-11-01T16:39:25Z,2019-06-12T00:18:43.184Z,GRACEFO_L2_GFZ_MONTHLY_0060,GSM-2_2018182-2018199_GRFO_GFZOP_BB01_0600,0.11921215057373047,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312811-PODAAC,GAC-2_2018182-2018199_GRFO_GFZOP_BC01_0600,PODAAC,1,2019-11-01T16:39:29Z,2019-06-12T00:21:24.393Z,GRACEFO_L2_GFZ_MONTHLY_0060,GAC-2_2018182-2018199_GRFO_GFZOP_BC01_0600,0.31174468994140625,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312858-PODAAC,GAB-2_2018182-2018199_GRFO_GFZOP_BC01_0600,PODAAC,1,2019-11-01T16:39:52Z,2019-06-12T00:16:57.843Z,GRACEFO_L2_GFZ_MONTHLY_0060,GAB-2_2018182-2018199_GRFO_GFZOP_BC01_0600,0.3115673065185547,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312905-PODAAC,GSM-2_2018182-2018199_GRFO_GFZOP_BA01_0600,PODAAC,1,2019-11-01T16:40:05Z,2019-06-12T00:21:51.711Z,GRACEFO_L2_GFZ_MONTHLY_0060,GSM-2_2018182-2018199_GRFO_GFZOP_BA01_0600,0.04854869842529297,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312778-PODAAC,GSM-2_2018295-2018313_GRFO_GFZOP_BB01_0600,PODAAC,1,2019-11-01T16:39:01Z,2019-06-12T00:16:11.929Z,GRACEFO_L2_GFZ_MONTHLY_0060,GSM-2_2018295-2018313_GRFO_GFZOP_BB01_0600,0.11915206909179688,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312781-PODAAC,GAA-2_2018295-2018313_GRFO_GFZOP_BC01_0600,PODAAC,1,2019-11-01T16:39:05Z,2019-06-12T00:16:27.883Z,GRACEFO_L2_GFZ_MONTHLY_0060,GAA-2_2018295-2018313_GRFO_GFZOP_BC01_0600,0.31073474884033203,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312826-PODAAC,GAD-2_2018295-2018313_GRFO_GFZOP_BC01_0600,PODAAC,1,2019-11-01T16:39:38Z,2019-06-12T01:34:28.054Z,GRACEFO_L2_GFZ_MONTHLY_0060,GAD-2_2018295-2018313_GRFO_GFZOP_BC01_0600,0.3114786148071289,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312850-PODAAC,GAC-2_2018295-2018313_GRFO_GFZOP_BC01_0600,PODAAC,1,2019-11-01T16:39:42Z,2019-06-12T01:34:35.288Z,GRACEFO_L2_GFZ_MONTHLY_0060,GAC-2_2018295-2018313_GRFO_GFZOP_BC01_0600,0.3113842010498047,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312853-PODAAC,GSM-2_2018295-2018313_GRFO_GFZOP_BA01_0600,PODAAC,1,2019-11-01T16:39:45Z,2019-06-11T23:44:18.106Z,GRACEFO_L2_GFZ_MONTHLY_0060,GSM-2_2018295-2018313_GRFO_GFZOP_BA01_0600,0.04851531982421875,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312856-PODAAC,GAB-2_2018295-2018313_GRFO_GFZOP_BC01_0600,PODAAC,1,2019-11-01T16:39:49Z,2019-06-12T00:16:29.105Z,GRACEFO_L2_GFZ_MONTHLY_0060,GAB-2_2018295-2018313_GRFO_GFZOP_BC01_0600,0.3115968704223633,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
