cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1650312965-PODAAC,GAB-2_2018152-2018181_GRFO_JPLEM_BC01_0600,PODAAC,1,2019-11-01T16:40:41Z,2019-06-11T23:43:59.462Z,GRACEFO_L2_JPL_MONTHLY_0060,GAB-2_2018152-2018181_GRFO_JPLEM_BC01_0600,0.31731700897216797,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312987-PODAAC,GAD-2_2018152-2018181_GRFO_JPLEM_BC01_0600,PODAAC,1,2019-11-01T16:40:56Z,2019-06-12T00:16:39.793Z,GRACEFO_L2_JPL_MONTHLY_0060,GAD-2_2018152-2018181_GRFO_JPLEM_BC01_0600,0.31725120544433594,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650313000-PODAAC,GSM-2_2018152-2018181_GRFO_JPLEM_BB01_0600,PODAAC,1,2019-11-01T16:41:09Z,2019-06-12T00:18:33.382Z,GRACEFO_L2_JPL_MONTHLY_0060,GSM-2_2018152-2018181_GRFO_JPLEM_BB01_0600,0.12749576568603516,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650313011-PODAAC,GSM-2_2018152-2018181_GRFO_JPLEM_BA01_0600,PODAAC,1,2019-11-01T16:41:16Z,2019-06-12T00:21:09.425Z,GRACEFO_L2_JPL_MONTHLY_0060,GSM-2_2018152-2018181_GRFO_JPLEM_BA01_0600,0.05254840850830078,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650313030-PODAAC,GAC-2_2018152-2018181_GRFO_JPLEM_BC01_0600,PODAAC,1,2019-11-01T16:41:21Z,2019-06-12T00:22:09.232Z,GRACEFO_L2_JPL_MONTHLY_0060,GAC-2_2018152-2018181_GRFO_JPLEM_BC01_0600,0.31724071502685547,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650313063-PODAAC,GAA-2_2018152-2018181_GRFO_JPLEM_BC01_0600,PODAAC,1,2019-11-01T16:41:34Z,2019-06-12T00:16:01.916Z,GRACEFO_L2_JPL_MONTHLY_0060,GAA-2_2018152-2018181_GRFO_JPLEM_BC01_0600,0.31740665435791016,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312967-PODAAC,GSM-2_2018182-2018199_GRFO_JPLEM_BA01_0600,PODAAC,1,2019-11-01T16:40:42Z,2019-06-11T23:44:03.804Z,GRACEFO_L2_JPL_MONTHLY_0060,GSM-2_2018182-2018199_GRFO_JPLEM_BA01_0600,0.052430152893066406,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312976-PODAAC,GAC-2_2018182-2018199_GRFO_JPLEM_BC01_0600,PODAAC,1,2019-11-01T16:40:47Z,2019-06-12T00:15:36.680Z,GRACEFO_L2_JPL_MONTHLY_0060,GAC-2_2018182-2018199_GRFO_JPLEM_BC01_0600,0.31725120544433594,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312982-PODAAC,GAD-2_2018182-2018199_GRFO_JPLEM_BC01_0600,PODAAC,1,2019-11-01T16:40:53Z,2019-06-12T00:16:21.840Z,GRACEFO_L2_JPL_MONTHLY_0060,GAD-2_2018182-2018199_GRFO_JPLEM_BC01_0600,0.3173189163208008,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312988-PODAAC,GAB-2_2018182-2018199_GRFO_JPLEM_BC01_0600,PODAAC,1,2019-11-01T16:40:57Z,2019-06-12T00:16:47.290Z,GRACEFO_L2_JPL_MONTHLY_0060,GAB-2_2018182-2018199_GRFO_JPLEM_BC01_0600,0.3172721862792969,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650313066-PODAAC,GAA-2_2018182-2018199_GRFO_JPLEM_BC01_0600,PODAAC,1,2019-11-01T16:41:37Z,2019-06-12T00:16:53.699Z,GRACEFO_L2_JPL_MONTHLY_0060,GAA-2_2018182-2018199_GRFO_JPLEM_BC01_0600,0.31749820709228516,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650313091-PODAAC,GSM-2_2018182-2018199_GRFO_JPLEM_BB01_0600,PODAAC,1,2019-11-01T16:41:58Z,2019-06-12T00:22:00.882Z,GRACEFO_L2_JPL_MONTHLY_0060,GSM-2_2018182-2018199_GRFO_JPLEM_BB01_0600,0.12748146057128906,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650312991-PODAAC,GAD-2_2018295-2018313_GRFO_JPLEM_BC01_0600,PODAAC,1,2019-11-01T16:41:01Z,2019-06-12T00:17:36.348Z,GRACEFO_L2_JPL_MONTHLY_0060,GAD-2_2018295-2018313_GRFO_JPLEM_BC01_0600,0.3173942565917969,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1650313006-PODAAC,GSM-2_2018295-2018313_GRFO_JPLEM_BA01_0600,PODAAC,1,2019-11-01T16:41:15Z,2019-06-12T00:20:58.243Z,GRACEFO_L2_JPL_MONTHLY_0060,GSM-2_2018295-2018313_GRFO_JPLEM_BA01_0600,0.05252552032470703,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
