cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1684301999-PODAAC,GRD-3_2018152-2018181_GRFO_UTCSR_BA01_0600_LND_v03.txt,PODAAC,1,2020-01-23T18:29:32Z,2020-01-23T04:21:49.058Z,TELLUS_GRFO_L3_CSR_RL06_LND_v03,GRD-3_2018152-2018181_GRFO_UTCSR_BA01_0600_LND_v03.txt,3.156704902648926,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684302631-PODAAC,GRD-3_2018152-2018181_GRFO_UTCSR_BA01_0600_LND_v03.nc,PODAAC,1,2020-01-23T18:29:57Z,2020-01-23T04:24:54.797Z,TELLUS_GRFO_L3_CSR_RL06_LND_v03,GRD-3_2018152-2018181_GRFO_UTCSR_BA01_0600_LND_v03.nc,0.5130653381347656,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684303248-PODAAC,GRD-3_2018152-2018181_GRFO_UTCSR_BA01_0600_LND_v03.tif,PODAAC,2,2020-03-12T13:17:35Z,2020-03-11T17:29:38.530Z,TELLUS_GRFO_L3_CSR_RL06_LND_v03,GRD-3_2018152-2018181_GRFO_UTCSR_BA01_0600_LND_v03.tif,0.2528715133666992,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684302574-PODAAC,GRD-3_2018182-2018199_GRFO_UTCSR_BA01_0600_LND_v03.tif,PODAAC,2,2020-03-12T13:17:22Z,2020-03-11T17:28:24.832Z,TELLUS_GRFO_L3_CSR_RL06_LND_v03,GRD-3_2018182-2018199_GRFO_UTCSR_BA01_0600_LND_v03.tif,0.2528715133666992,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684302839-PODAAC,GRD-3_2018182-2018199_GRFO_UTCSR_BA01_0600_LND_v03.nc,PODAAC,1,2020-01-23T18:30:07Z,2020-01-23T04:23:30.366Z,TELLUS_GRFO_L3_CSR_RL06_LND_v03,GRD-3_2018182-2018199_GRFO_UTCSR_BA01_0600_LND_v03.nc,0.5130653381347656,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684303047-PODAAC,GRD-3_2018182-2018199_GRFO_UTCSR_BA01_0600_LND_v03.txt,PODAAC,1,2020-01-23T18:30:15Z,2020-01-23T04:24:02.158Z,TELLUS_GRFO_L3_CSR_RL06_LND_v03,GRD-3_2018182-2018199_GRFO_UTCSR_BA01_0600_LND_v03.txt,3.156704902648926,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684302341-PODAAC,GRD-3_2018295-2018313_GRFO_UTCSR_BA01_0600_LND_v03.tif,PODAAC,2,2020-03-12T13:17:19Z,2020-03-11T17:28:31.547Z,TELLUS_GRFO_L3_CSR_RL06_LND_v03,GRD-3_2018295-2018313_GRFO_UTCSR_BA01_0600_LND_v03.tif,0.2528715133666992,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684302454-PODAAC,GRD-3_2018295-2018313_GRFO_UTCSR_BA01_0600_LND_v03.nc,PODAAC,1,2020-01-23T18:29:50Z,2020-01-23T04:23:09.332Z,TELLUS_GRFO_L3_CSR_RL06_LND_v03,GRD-3_2018295-2018313_GRFO_UTCSR_BA01_0600_LND_v03.nc,0.5130653381347656,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684302866-PODAAC,GRD-3_2018295-2018313_GRFO_UTCSR_BA01_0600_LND_v03.txt,PODAAC,1,2020-01-23T18:30:08Z,2020-01-23T04:21:44.368Z,TELLUS_GRFO_L3_CSR_RL06_LND_v03,GRD-3_2018295-2018313_GRFO_UTCSR_BA01_0600_LND_v03.txt,3.156704902648926,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684302216-PODAAC,GRD-3_2018305-2018334_GRFO_UTCSR_BA01_0600_LND_v03.tif,PODAAC,2,2020-03-12T13:17:16Z,2020-03-11T17:29:09.798Z,TELLUS_GRFO_L3_CSR_RL06_LND_v03,GRD-3_2018305-2018334_GRFO_UTCSR_BA01_0600_LND_v03.tif,0.2528715133666992,,Unspecified,2018-11-01T00:00:00.000Z,2018-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
