cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1684300508-PODAAC,GRD-3_2018152-2018181_GRFO_UTCSR_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T18:26:14Z,2020-01-23T03:20:44.108Z,TELLUS_GRFO_L3_CSR_RL06_OCN_v03,GRD-3_2018152-2018181_GRFO_UTCSR_BA01_0600_OCN_v03.txt,3.156709671020508,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300519-PODAAC,GRD-3_2018152-2018181_GRFO_UTCSR_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T18:26:26Z,2020-01-23T03:22:00.633Z,TELLUS_GRFO_L3_CSR_RL06_OCN_v03,GRD-3_2018152-2018181_GRFO_UTCSR_BA01_0600_OCN_v03.nc,0.5130691528320312,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300564-PODAAC,GRD-3_2018152-2018181_GRFO_UTCSR_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-12T13:16:08Z,2020-03-11T16:29:14.776Z,TELLUS_GRFO_L3_CSR_RL06_OCN_v03,GRD-3_2018152-2018181_GRFO_UTCSR_BA01_0600_OCN_v03.tif,0.25287628173828125,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300505-PODAAC,GRD-3_2018182-2018199_GRFO_UTCSR_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-12T13:15:52Z,2020-03-11T16:28:31.946Z,TELLUS_GRFO_L3_CSR_RL06_OCN_v03,GRD-3_2018182-2018199_GRFO_UTCSR_BA01_0600_OCN_v03.tif,0.25287628173828125,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300506-PODAAC,GRD-3_2018182-2018199_GRFO_UTCSR_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T18:26:11Z,2020-01-23T03:20:17.026Z,TELLUS_GRFO_L3_CSR_RL06_OCN_v03,GRD-3_2018182-2018199_GRFO_UTCSR_BA01_0600_OCN_v03.txt,3.156709671020508,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300536-PODAAC,GRD-3_2018182-2018199_GRFO_UTCSR_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T18:26:40Z,2020-01-23T03:23:25.218Z,TELLUS_GRFO_L3_CSR_RL06_OCN_v03,GRD-3_2018182-2018199_GRFO_UTCSR_BA01_0600_OCN_v03.nc,0.5130691528320312,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300537-PODAAC,GRD-3_2018295-2018313_GRFO_UTCSR_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-12T13:16:04Z,2020-03-11T16:29:31.432Z,TELLUS_GRFO_L3_CSR_RL06_OCN_v03,GRD-3_2018295-2018313_GRFO_UTCSR_BA01_0600_OCN_v03.tif,0.25287628173828125,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300546-PODAAC,GRD-3_2018295-2018313_GRFO_UTCSR_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T18:26:51Z,2020-01-23T03:20:13.419Z,TELLUS_GRFO_L3_CSR_RL06_OCN_v03,GRD-3_2018295-2018313_GRFO_UTCSR_BA01_0600_OCN_v03.nc,0.5130691528320312,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300761-PODAAC,GRD-3_2018295-2018313_GRFO_UTCSR_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T18:27:09Z,2020-01-23T03:23:41.117Z,TELLUS_GRFO_L3_CSR_RL06_OCN_v03,GRD-3_2018295-2018313_GRFO_UTCSR_BA01_0600_OCN_v03.txt,3.156709671020508,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300510-PODAAC,GRD-3_2018305-2018334_GRFO_UTCSR_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T18:26:17Z,2020-01-23T03:20:55.746Z,TELLUS_GRFO_L3_CSR_RL06_OCN_v03,GRD-3_2018305-2018334_GRFO_UTCSR_BA01_0600_OCN_v03.txt,3.156709671020508,,Unspecified,2018-11-01T00:00:00.000Z,2018-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
