cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1684300785-PODAAC,GRD-3_2018152-2018181_GRFO_GFZOP_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T18:27:18Z,2020-01-23T03:40:03.834Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018152-2018181_GRFO_GFZOP_BA01_0600_OCN_v03.nc,0.513214111328125,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300803-PODAAC,GRD-3_2018152-2018181_GRFO_GFZOP_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T18:27:23Z,2020-01-23T03:41:01.103Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018152-2018181_GRFO_GFZOP_BA01_0600_OCN_v03.txt,3.1568613052368164,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300907-PODAAC,GRD-3_2018152-2018181_GRFO_GFZOP_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-12T13:16:35Z,2020-03-11T16:41:24.388Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018152-2018181_GRFO_GFZOP_BA01_0600_OCN_v03.tif,0.25304508209228516,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300881-PODAAC,GRD-3_2018182-2018199_GRFO_GFZOP_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T18:27:49Z,2020-01-23T03:43:21.574Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018182-2018199_GRFO_GFZOP_BA01_0600_OCN_v03.txt,3.1568613052368164,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300893-PODAAC,GRD-3_2018182-2018199_GRFO_GFZOP_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T18:27:59Z,2020-01-23T03:40:25.555Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018182-2018199_GRFO_GFZOP_BA01_0600_OCN_v03.nc,0.513214111328125,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300906-PODAAC,GRD-3_2018182-2018199_GRFO_GFZOP_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-12T13:16:33Z,2020-03-11T16:41:13.778Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018182-2018199_GRFO_GFZOP_BA01_0600_OCN_v03.tif,0.25304508209228516,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300805-PODAAC,GRD-3_2018295-2018313_GRFO_GFZOP_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T18:27:26Z,2020-01-23T03:41:10.792Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018295-2018313_GRFO_GFZOP_BA01_0600_OCN_v03.nc,0.513214111328125,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300878-PODAAC,GRD-3_2018295-2018313_GRFO_GFZOP_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T18:27:45Z,2020-01-23T03:44:08.767Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018295-2018313_GRFO_GFZOP_BA01_0600_OCN_v03.txt,3.1568613052368164,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300959-PODAAC,GRD-3_2018295-2018313_GRFO_GFZOP_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-12T13:16:40Z,2020-03-11T16:41:38.684Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018295-2018313_GRFO_GFZOP_BA01_0600_OCN_v03.tif,0.25304508209228516,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300800-PODAAC,GRD-3_2018305-2018334_GRFO_GFZOP_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T18:27:19Z,2020-01-23T03:40:07.420Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018305-2018334_GRFO_GFZOP_BA01_0600_OCN_v03.txt,3.1568613052368164,,Unspecified,2018-11-01T00:00:00.000Z,2018-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300807-PODAAC,GRD-3_2018305-2018334_GRFO_GFZOP_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-12T13:16:24Z,2020-03-11T16:42:08.276Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018305-2018334_GRFO_GFZOP_BA01_0600_OCN_v03.tif,0.25304508209228516,,Unspecified,2018-11-01T00:00:00.000Z,2018-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300963-PODAAC,GRD-3_2018305-2018334_GRFO_GFZOP_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T18:28:19Z,2020-01-23T03:43:04.319Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018305-2018334_GRFO_GFZOP_BA01_0600_OCN_v03.nc,0.513214111328125,,Unspecified,2018-11-01T00:00:00.000Z,2018-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300854-PODAAC,GRD-3_2018335-2018365_GRFO_GFZOP_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T18:27:42Z,2020-01-23T03:43:10.957Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018335-2018365_GRFO_GFZOP_BA01_0600_OCN_v03.nc,0.513214111328125,,Unspecified,2018-12-01T00:00:00.000Z,2018-12-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300882-PODAAC,GRD-3_2018335-2018365_GRFO_GFZOP_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T18:27:50Z,2020-01-23T03:43:27.162Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018335-2018365_GRFO_GFZOP_BA01_0600_OCN_v03.txt,3.1568613052368164,,Unspecified,2018-12-01T00:00:00.000Z,2018-12-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300909-PODAAC,GRD-3_2018335-2018365_GRFO_GFZOP_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-12T13:16:37Z,2020-03-11T16:40:52.283Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2018335-2018365_GRFO_GFZOP_BA01_0600_OCN_v03.tif,0.25304508209228516,,Unspecified,2018-12-01T00:00:00.000Z,2018-12-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300806-PODAAC,GRD-3_2019001-2019031_GRFO_GFZOP_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T18:27:28Z,2020-01-23T03:41:16.703Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2019001-2019031_GRFO_GFZOP_BA01_0600_OCN_v03.nc,0.513214111328125,,Unspecified,2019-01-01T00:00:00.000Z,2019-01-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300819-PODAAC,GRD-3_2019001-2019031_GRFO_GFZOP_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-12T13:16:25Z,2020-03-11T16:41:40.244Z,TELLUS_GRFO_L3_GFZ_RL06_OCN_v03,GRD-3_2019001-2019031_GRFO_GFZOP_BA01_0600_OCN_v03.tif,0.25304508209228516,,Unspecified,2019-01-01T00:00:00.000Z,2019-01-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
