cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1684301308-PODAAC,GRD-3_2018152-2018181_GRFO_JPLEM_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-12T13:16:59Z,2020-03-11T16:57:03.045Z,TELLUS_GRFO_L3_JPL_RL06_OCN_v03,GRD-3_2018152-2018181_GRFO_JPLEM_BA01_0600_OCN_v03.tif,0.25296592712402344,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684301421-PODAAC,GRD-3_2018152-2018181_GRFO_JPLEM_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T18:29:07Z,2020-01-23T03:57:32.658Z,TELLUS_GRFO_L3_JPL_RL06_OCN_v03,GRD-3_2018152-2018181_GRFO_JPLEM_BA01_0600_OCN_v03.nc,0.5435314178466797,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684301517-PODAAC,GRD-3_2018152-2018181_GRFO_JPLEM_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T18:29:11Z,2020-01-23T03:57:51.805Z,TELLUS_GRFO_L3_JPL_RL06_OCN_v03,GRD-3_2018152-2018181_GRFO_JPLEM_BA01_0600_OCN_v03.txt,3.1567983627319336,,Unspecified,2018-06-01T00:00:00.000Z,2018-06-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684301030-PODAAC,GRD-3_2018182-2018199_GRFO_JPLEM_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T18:28:49Z,2020-01-23T03:58:40.835Z,TELLUS_GRFO_L3_JPL_RL06_OCN_v03,GRD-3_2018182-2018199_GRFO_JPLEM_BA01_0600_OCN_v03.nc,0.5435314178466797,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684301136-PODAAC,GRD-3_2018182-2018199_GRFO_JPLEM_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-12T13:16:54Z,2020-03-11T16:56:45.256Z,TELLUS_GRFO_L3_JPL_RL06_OCN_v03,GRD-3_2018182-2018199_GRFO_JPLEM_BA01_0600_OCN_v03.tif,0.25296592712402344,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684301454-PODAAC,GRD-3_2018182-2018199_GRFO_JPLEM_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T18:29:09Z,2020-01-23T03:57:37.545Z,TELLUS_GRFO_L3_JPL_RL06_OCN_v03,GRD-3_2018182-2018199_GRFO_JPLEM_BA01_0600_OCN_v03.txt,3.1567983627319336,,Unspecified,2018-07-01T00:00:00.000Z,2018-07-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684301017-PODAAC,GRD-3_2018295-2018313_GRFO_JPLEM_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T18:28:41Z,2020-01-23T04:00:58.401Z,TELLUS_GRFO_L3_JPL_RL06_OCN_v03,GRD-3_2018295-2018313_GRFO_JPLEM_BA01_0600_OCN_v03.txt,3.1567983627319336,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684301025-PODAAC,GRD-3_2018295-2018313_GRFO_JPLEM_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T18:28:42Z,2020-01-23T03:56:52.893Z,TELLUS_GRFO_L3_JPL_RL06_OCN_v03,GRD-3_2018295-2018313_GRFO_JPLEM_BA01_0600_OCN_v03.nc,0.5435314178466797,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684301029-PODAAC,GRD-3_2018295-2018313_GRFO_JPLEM_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-12T13:16:53Z,2020-03-11T16:56:15.059Z,TELLUS_GRFO_L3_JPL_RL06_OCN_v03,GRD-3_2018295-2018313_GRFO_JPLEM_BA01_0600_OCN_v03.tif,0.25296592712402344,,Unspecified,2018-10-22T00:00:00.000Z,2018-11-09T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684300964-PODAAC,GRD-3_2018305-2018334_GRFO_JPLEM_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-12T13:16:46Z,2020-03-11T16:57:26.253Z,TELLUS_GRFO_L3_JPL_RL06_OCN_v03,GRD-3_2018305-2018334_GRFO_JPLEM_BA01_0600_OCN_v03.tif,0.25296592712402344,,Unspecified,2018-11-01T00:00:00.000Z,2018-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684301078-PODAAC,GRD-3_2018305-2018334_GRFO_JPLEM_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T18:28:52Z,2020-01-23T03:59:12.831Z,TELLUS_GRFO_L3_JPL_RL06_OCN_v03,GRD-3_2018305-2018334_GRFO_JPLEM_BA01_0600_OCN_v03.txt,3.1567983627319336,,Unspecified,2018-11-01T00:00:00.000Z,2018-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
