cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1674805975-PODAAC,AOD1B_1976-01_06.tgz,PODAAC,1,2019-12-19T21:41:51Z,2018-08-26T22:35:40.530Z,GRACE_AOD1B_GRAV_GFZ_RL06,AOD1B_1976-01_06.tgz,72.2005443572998,,Unspecified,1976-01-01T00:00:00.000Z,1976-01-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674800900-PODAAC,AOD1B_1976-02_06.tgz,PODAAC,1,2019-12-19T21:33:44Z,2018-08-26T22:25:33.745Z,GRACE_AOD1B_GRAV_GFZ_RL06,AOD1B_1976-02_06.tgz,67.54595947265625,,Unspecified,1976-02-01T00:00:00.000Z,1976-02-29T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674802731-PODAAC,AOD1B_1976-03_06.tgz,PODAAC,1,2019-12-19T21:38:57Z,2018-08-26T22:25:49.422Z,GRACE_AOD1B_GRAV_GFZ_RL06,AOD1B_1976-03_06.tgz,72.19690799713135,,Unspecified,1976-03-01T00:00:00.000Z,1976-03-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674800896-PODAAC,AOD1B_1976-04_06.tgz,PODAAC,1,2019-12-19T21:33:43Z,2018-08-26T22:25:32.548Z,GRACE_AOD1B_GRAV_GFZ_RL06,AOD1B_1976-04_06.tgz,69.85454368591309,,Unspecified,1976-04-01T00:00:00.000Z,1976-04-30T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674805941-PODAAC,AOD1B_1976-05_06.tgz,PODAAC,1,2019-12-19T21:41:50Z,2018-08-26T22:25:26.334Z,GRACE_AOD1B_GRAV_GFZ_RL06,AOD1B_1976-05_06.tgz,72.14783763885498,,Unspecified,1976-05-01T00:00:00.000Z,1976-05-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674802566-PODAAC,AOD1B_1976-06_06.tgz,PODAAC,1,2019-12-19T21:37:59Z,2018-08-26T22:25:38.665Z,GRACE_AOD1B_GRAV_GFZ_RL06,AOD1B_1976-06_06.tgz,69.81543064117432,,Unspecified,1976-06-01T00:00:00.000Z,1976-06-30T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674802270-PODAAC,AOD1B_1976-07_06.tgz,PODAAC,1,2019-12-19T21:36:31Z,2018-08-26T14:53:12.855Z,GRACE_AOD1B_GRAV_GFZ_RL06,AOD1B_1976-07_06.tgz,72.14945602416992,,Unspecified,1976-07-01T00:00:00.000Z,1976-07-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674807224-PODAAC,AOD1B_1976-08_06.tgz,PODAAC,1,2019-12-19T21:44:04Z,2018-08-26T14:53:32.690Z,GRACE_AOD1B_GRAV_GFZ_RL06,AOD1B_1976-08_06.tgz,72.1593017578125,,Unspecified,1976-08-01T00:00:00.000Z,1976-08-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674802242-PODAAC,AOD1B_1976-09_06.tgz,PODAAC,1,2019-12-19T21:36:23Z,2018-08-26T14:53:07.853Z,GRACE_AOD1B_GRAV_GFZ_RL06,AOD1B_1976-09_06.tgz,69.85132217407227,,Unspecified,1976-09-01T00:00:00.000Z,1976-09-30T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674802840-PODAAC,AOD1B_1976-10_06.tgz,PODAAC,1,2019-12-19T21:39:34Z,2018-08-26T14:53:17.675Z,GRACE_AOD1B_GRAV_GFZ_RL06,AOD1B_1976-10_06.tgz,72.19565200805664,,Unspecified,1976-10-01T00:00:00.000Z,1976-10-31T23:59:59.999Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
