cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1674787143-PODAAC,GAB-2_2002094-2002120_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:23:51Z,2019-02-15T17:36:28.827Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2002094-2002120_GRAC_JPLEM_BC01_0600,0.3169832229614258,,Unspecified,2002-04-04T00:00:00.000Z,2002-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787746-PODAAC,GAB-2_2002122-2002138_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:25:20Z,2019-02-15T18:36:57.716Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2002122-2002138_GRAC_JPLEM_BC01_0600,0.31697845458984375,,Unspecified,2002-05-02T00:00:00.000Z,2002-05-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787731-PODAAC,GAB-2_2002213-2002243_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:25:19Z,2019-02-15T17:29:17.917Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2002213-2002243_GRAC_JPLEM_BC01_0600,0.317230224609375,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787226-PODAAC,GAB-2_2002244-2002273_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:24:34Z,2019-02-15T18:29:19.052Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2002244-2002273_GRAC_JPLEM_BC01_0600,0.3173990249633789,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788069-PODAAC,GAB-2_2002274-2002304_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:25:58Z,2019-02-15T18:30:42.018Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2002274-2002304_GRAC_JPLEM_BC01_0600,0.31714630126953125,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787597-PODAAC,GAB-2_2002305-2002334_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:25:08Z,2019-02-15T17:35:59.215Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2002305-2002334_GRAC_JPLEM_BC01_0600,0.31694602966308594,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787661-PODAAC,GAB-2_2002335-2002365_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:25:12Z,2019-02-15T17:49:30.467Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2002335-2002365_GRAC_JPLEM_BC01_0600,0.3171529769897461,,Unspecified,2002-12-01T00:00:00.000Z,2002-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787242-PODAAC,GAB-2_2003001-2003031_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:24:41Z,2019-02-15T17:31:06.420Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2003001-2003031_GRAC_JPLEM_BC01_0600,0.3171968460083008,,Unspecified,2003-01-01T00:00:00.000Z,2003-01-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787284-PODAAC,GAB-2_2003032-2003059_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:24:50Z,2019-02-15T17:29:52.918Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2003032-2003059_GRAC_JPLEM_BC01_0600,0.3171682357788086,,Unspecified,2003-02-01T00:00:00.000Z,2003-02-28T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787218-PODAAC,GAB-2_2003060-2003090_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:24:30Z,2019-02-15T17:29:10.841Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2003060-2003090_GRAC_JPLEM_BC01_0600,0.31711673736572266,,Unspecified,2003-03-01T00:00:00.000Z,2003-03-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787130-PODAAC,GAB-2_2003091-2003120_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:23:44Z,2019-02-15T18:33:39.998Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2003091-2003120_GRAC_JPLEM_BC01_0600,0.3173370361328125,,Unspecified,2003-04-01T00:00:00.000Z,2003-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787077-PODAAC,GAB-2_2003121-2003141_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:23:31Z,2019-02-15T18:18:24.136Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2003121-2003141_GRAC_JPLEM_BC01_0600,0.31709957122802734,,Unspecified,2003-05-01T00:00:00.000Z,2003-05-21T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787233-PODAAC,GAB-2_2003182-2003212_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:24:37Z,2019-02-15T17:36:26.068Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2003182-2003212_GRAC_JPLEM_BC01_0600,0.3170289993286133,,Unspecified,2003-07-01T00:00:00.000Z,2003-07-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787572-PODAAC,GAB-2_2003213-2003243_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:25:07Z,2019-02-15T17:59:23.087Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2003213-2003243_GRAC_JPLEM_BC01_0600,0.31717967987060547,,Unspecified,2003-08-01T00:00:00.000Z,2003-08-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788057-PODAAC,GAB-2_2003244-2003273_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:25:54Z,2019-02-15T18:20:44.478Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2003244-2003273_GRAC_JPLEM_BC01_0600,0.31720733642578125,,Unspecified,2003-09-01T00:00:00.000Z,2003-09-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787156-PODAAC,GAB-2_2003274-2003303_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:23:58Z,2019-02-15T17:35:19.611Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2003274-2003303_GRAC_JPLEM_BC01_0600,0.3166923522949219,,Unspecified,2003-10-01T00:00:00.000Z,2003-10-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787280-PODAAC,GAB-2_2003305-2003334_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:24:49Z,2019-02-15T17:30:40.076Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2003305-2003334_GRAC_JPLEM_BC01_0600,0.3168659210205078,,Unspecified,2003-11-01T00:00:00.000Z,2003-11-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787123-PODAAC,GAB-2_2003335-2003365_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:23:40Z,2019-02-15T17:34:18.711Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2003335-2003365_GRAC_JPLEM_BC01_0600,0.3170509338378906,,Unspecified,2003-12-01T00:00:00.000Z,2003-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674786991-PODAAC,GAB-2_2004001-2004013_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:22:58Z,2019-02-15T17:34:57.607Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2004001-2004013_GRAC_JPLEM_BC01_0600,0.31719398498535156,,Unspecified,2004-01-01T00:00:00.000Z,2004-01-13T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787202-PODAAC,GAB-2_2004035-2004060_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:24:23Z,2019-02-15T18:33:52.385Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2004035-2004060_GRAC_JPLEM_BC01_0600,0.3172883987426758,,Unspecified,2004-02-04T00:00:00.000Z,2004-02-29T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787065-PODAAC,GAB-2_2004061-2004091_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:23:24Z,2019-02-15T18:06:37.678Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2004061-2004091_GRAC_JPLEM_BC01_0600,0.3169708251953125,,Unspecified,2004-03-01T00:00:00.000Z,2004-03-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674786980-PODAAC,GAB-2_2004092-2004121_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:22:55Z,2019-02-15T18:34:21.782Z,GRACE_GAB_L2_GRAV_JPL_RL06,GAB-2_2004092-2004121_GRAC_JPLEM_BC01_0600,0.3172626495361328,,Unspecified,2004-04-01T00:00:00.000Z,2004-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
