cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1674787240-PODAAC,GAC-2_2002095-2002120_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:24:40Z,2018-07-02T20:43:04.574Z,GRACE_GAC_L2_GRAV_CSR_RL06,GAC-2_2002095-2002120_GRAC_UTCSR_BC01_0600,0.31549072265625,,Unspecified,2002-04-05T00:00:00.000Z,2002-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787237-PODAAC,GAC-2_2002123-2002137_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:24:39Z,2018-07-02T20:42:59.205Z,GRACE_GAC_L2_GRAV_CSR_RL06,GAC-2_2002123-2002137_GRAC_UTCSR_BC01_0600,0.3156414031982422,,Unspecified,2002-05-03T00:00:00.000Z,2002-05-17T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787228-PODAAC,GAC-2_2002213-2002243_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:24:36Z,2018-07-02T20:42:20.248Z,GRACE_GAC_L2_GRAV_CSR_RL06,GAC-2_2002213-2002243_GRAC_UTCSR_BC01_0600,0.31580257415771484,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787250-PODAAC,GAC-2_2002244-2002273_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:24:44Z,2018-07-02T20:42:34.265Z,GRACE_GAC_L2_GRAV_CSR_RL06,GAC-2_2002244-2002273_GRAC_UTCSR_BC01_0600,0.3157176971435547,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787247-PODAAC,GAC-2_2002274-2002304_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:24:43Z,2018-07-02T20:42:29.677Z,GRACE_GAC_L2_GRAV_CSR_RL06,GAC-2_2002274-2002304_GRAC_UTCSR_BC01_0600,0.3156414031982422,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787232-PODAAC,GAC-2_2002305-2002334_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:24:37Z,2018-07-02T20:42:22.942Z,GRACE_GAC_L2_GRAV_CSR_RL06,GAC-2_2002305-2002334_GRAC_UTCSR_BC01_0600,0.315582275390625,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787244-PODAAC,GAC-2_2002335-2002365_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:24:41Z,2018-07-02T20:43:10.734Z,GRACE_GAC_L2_GRAV_CSR_RL06,GAC-2_2002335-2002365_GRAC_UTCSR_BC01_0600,0.3151359558105469,,Unspecified,2002-12-01T00:00:00.000Z,2002-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788431-PODAAC,GAC-2_2003001-2003031_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:28:00Z,2018-05-03T17:14:07.353Z,GRACE_GAC_L2_GRAV_CSR_RL06,GAC-2_2003001-2003031_GRAC_UTCSR_BC01_0600,0.3157634735107422,,Unspecified,2003-01-01T00:00:00.000Z,2003-01-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788339-PODAAC,GAC-2_2003032-2003059_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:27:22Z,2018-05-03T16:54:07.297Z,GRACE_GAC_L2_GRAV_CSR_RL06,GAC-2_2003032-2003059_GRAC_UTCSR_BC01_0600,0.3156147003173828,,Unspecified,2003-02-01T00:00:00.000Z,2003-02-28T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788391-PODAAC,GAC-2_2003060-2003090_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:27:42Z,2018-05-03T17:21:44.684Z,GRACE_GAC_L2_GRAV_CSR_RL06,GAC-2_2003060-2003090_GRAC_UTCSR_BC01_0600,0.3154916763305664,,Unspecified,2003-03-01T00:00:00.000Z,2003-03-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674787936-PODAAC,GAC-2_2003091-2003120_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:25:34Z,2018-05-03T16:46:04.336Z,GRACE_GAC_L2_GRAV_CSR_RL06,GAC-2_2003091-2003120_GRAC_UTCSR_BC01_0600,0.3154726028442383,,Unspecified,2003-04-01T00:00:00.000Z,2003-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
