cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1674788238-PODAAC,GAC-2_2002095-2002120_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:26:54Z,2019-04-01T17:42:33.504Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2002095-2002120_GRAC_GFZOP_BC01_0600,0.3114662170410156,,Unspecified,2002-04-05T00:00:00.000Z,2002-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788228-PODAAC,GAC-2_2002122-2002137_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:26:51Z,2019-04-01T17:58:50.556Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2002122-2002137_GRAC_GFZOP_BC01_0600,0.3114452362060547,,Unspecified,2002-05-02T00:00:00.000Z,2002-05-17T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788218-PODAAC,GAC-2_2002213-2002243_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:26:49Z,2019-04-01T17:42:15.384Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2002213-2002243_GRAC_GFZOP_BC01_0600,0.3116779327392578,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788197-PODAAC,GAC-2_2002244-2002273_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:26:38Z,2019-04-01T17:28:27.199Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2002244-2002273_GRAC_GFZOP_BC01_0600,0.3116168975830078,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788233-PODAAC,GAC-2_2002274-2002304_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:26:53Z,2019-04-01T17:01:55.433Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2002274-2002304_GRAC_GFZOP_BC01_0600,0.31160545349121094,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788201-PODAAC,GAC-2_2002305-2002334_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:26:40Z,2019-04-01T17:32:07.577Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2002305-2002334_GRAC_GFZOP_BC01_0600,0.31131744384765625,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788194-PODAAC,GAC-2_2002335-2002365_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:26:37Z,2019-04-01T17:19:57.425Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2002335-2002365_GRAC_GFZOP_BC01_0600,0.3111715316772461,,Unspecified,2002-12-01T00:00:00.000Z,2002-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788337-PODAAC,GAC-2_2003001-2003031_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:27:21Z,2019-04-01T17:36:18.396Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2003001-2003031_GRAC_GFZOP_BC01_0600,0.3117218017578125,,Unspecified,2003-01-01T00:00:00.000Z,2003-01-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788343-PODAAC,GAC-2_2003032-2003059_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:27:23Z,2019-04-01T17:47:11.594Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2003032-2003059_GRAC_GFZOP_BC01_0600,0.3114891052246094,,Unspecified,2003-02-01T00:00:00.000Z,2003-02-28T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788430-PODAAC,GAC-2_2003060-2003090_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:27:59Z,2019-04-01T17:04:54.783Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2003060-2003090_GRAC_GFZOP_BC01_0600,0.3113670349121094,,Unspecified,2003-03-01T00:00:00.000Z,2003-03-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788331-PODAAC,GAC-2_2003091-2003120_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:27:18Z,2019-04-01T17:02:36.971Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2003091-2003120_GRAC_GFZOP_BC01_0600,0.31130123138427734,,Unspecified,2003-04-01T00:00:00.000Z,2003-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788427-PODAAC,GAC-2_2003121-2003141_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:27:58Z,2019-04-01T16:59:51.075Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2003121-2003141_GRAC_GFZOP_BC01_0600,0.31139183044433594,,Unspecified,2003-05-01T00:00:00.000Z,2003-05-21T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788327-PODAAC,GAC-2_2003182-2003212_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:27:17Z,2019-04-01T17:29:11.518Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2003182-2003212_GRAC_GFZOP_BC01_0600,0.31168651580810547,,Unspecified,2003-07-01T00:00:00.000Z,2003-07-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788395-PODAAC,GAC-2_2003213-2003243_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:27:43Z,2019-04-01T17:28:22.631Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2003213-2003243_GRAC_GFZOP_BC01_0600,0.3115711212158203,,Unspecified,2003-08-01T00:00:00.000Z,2003-08-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788397-PODAAC,GAC-2_2003244-2003273_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:27:45Z,2019-04-01T17:30:13.879Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2003244-2003273_GRAC_GFZOP_BC01_0600,0.31157779693603516,,Unspecified,2003-09-01T00:00:00.000Z,2003-09-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788309-PODAAC,GAC-2_2003274-2003304_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:27:11Z,2019-04-01T17:47:23.064Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2003274-2003304_GRAC_GFZOP_BC01_0600,0.31134700775146484,,Unspecified,2003-10-01T00:00:00.000Z,2003-10-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788334-PODAAC,GAC-2_2003305-2003334_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:27:19Z,2019-04-01T17:01:58.554Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2003305-2003334_GRAC_GFZOP_BC01_0600,0.3110952377319336,,Unspecified,2003-11-01T00:00:00.000Z,2003-11-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788400-PODAAC,GAC-2_2003335-2003365_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:27:46Z,2019-04-01T17:19:32.855Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2003335-2003365_GRAC_GFZOP_BC01_0600,0.31144237518310547,,Unspecified,2003-12-01T00:00:00.000Z,2003-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788532-PODAAC,GAC-2_2004001-2004013_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:28:54Z,2019-04-01T17:01:25.505Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2004001-2004013_GRAC_GFZOP_BC01_0600,0.3113059997558594,,Unspecified,2004-01-01T00:00:00.000Z,2004-01-13T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788520-PODAAC,GAC-2_2004035-2004060_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:28:46Z,2019-04-01T17:03:24.452Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2004035-2004060_GRAC_GFZOP_BC01_0600,0.31161975860595703,,Unspecified,2004-02-04T00:00:00.000Z,2004-02-29T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674788512-PODAAC,GAC-2_2004061-2004091_GRAC_GFZOP_BC01_0600,PODAAC,1,2019-12-19T20:28:40Z,2019-04-01T17:03:48.505Z,GRACE_GAC_L2_GRAV_GFZ_RL06,GAC-2_2004061-2004091_GRAC_GFZOP_BC01_0600,0.3115558624267578,,Unspecified,2004-03-01T00:00:00.000Z,2004-03-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
