cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1674789224-PODAAC,GAD-2_2002095-2002120_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:31:26Z,2018-07-02T20:42:22.121Z,GRACE_GAD_L2_GRAV_CSR_RL06,GAD-2_2002095-2002120_GRAC_UTCSR_BC01_0600,0.31561756134033203,,Unspecified,2002-04-05T00:00:00.000Z,2002-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789217-PODAAC,GAD-2_2002123-2002137_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:31:20Z,2018-07-02T20:42:28.255Z,GRACE_GAD_L2_GRAV_CSR_RL06,GAD-2_2002123-2002137_GRAC_UTCSR_BC01_0600,0.3157224655151367,,Unspecified,2002-05-03T00:00:00.000Z,2002-05-17T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789221-PODAAC,GAD-2_2002213-2002243_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:31:23Z,2018-07-02T20:43:10.724Z,GRACE_GAD_L2_GRAV_CSR_RL06,GAD-2_2002213-2002243_GRAC_UTCSR_BC01_0600,0.3159666061401367,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789219-PODAAC,GAD-2_2002244-2002273_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:31:22Z,2018-07-02T20:42:59.329Z,GRACE_GAD_L2_GRAV_CSR_RL06,GAD-2_2002244-2002273_GRAC_UTCSR_BC01_0600,0.31583213806152344,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789222-PODAAC,GAD-2_2002274-2002304_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:31:24Z,2018-07-02T20:43:20.457Z,GRACE_GAD_L2_GRAV_CSR_RL06,GAD-2_2002274-2002304_GRAC_UTCSR_BC01_0600,0.31574249267578125,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789230-PODAAC,GAD-2_2002305-2002334_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:31:29Z,2018-07-02T20:42:54.396Z,GRACE_GAD_L2_GRAV_CSR_RL06,GAD-2_2002305-2002334_GRAC_UTCSR_BC01_0600,0.31557178497314453,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789227-PODAAC,GAD-2_2002335-2002365_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:31:27Z,2018-07-02T20:42:48.130Z,GRACE_GAD_L2_GRAV_CSR_RL06,GAD-2_2002335-2002365_GRAC_UTCSR_BC01_0600,0.31575584411621094,,Unspecified,2002-12-01T00:00:00.000Z,2002-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789457-PODAAC,GAD-2_2003001-2003031_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:32:46Z,2018-05-03T17:04:27.792Z,GRACE_GAD_L2_GRAV_CSR_RL06,GAD-2_2003001-2003031_GRAC_UTCSR_BC01_0600,0.3156909942626953,,Unspecified,2003-01-01T00:00:00.000Z,2003-01-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789677-PODAAC,GAD-2_2003032-2003059_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:34:22Z,2018-05-03T17:21:11.795Z,GRACE_GAD_L2_GRAV_CSR_RL06,GAD-2_2003032-2003059_GRAC_UTCSR_BC01_0600,0.3157501220703125,,Unspecified,2003-02-01T00:00:00.000Z,2003-02-28T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789691-PODAAC,GAD-2_2003060-2003090_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:34:27Z,2018-05-03T17:22:54.026Z,GRACE_GAD_L2_GRAV_CSR_RL06,GAD-2_2003060-2003090_GRAC_UTCSR_BC01_0600,0.31580352783203125,,Unspecified,2003-03-01T00:00:00.000Z,2003-03-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789409-PODAAC,GAD-2_2003091-2003120_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:32:35Z,2018-05-03T16:35:28.447Z,GRACE_GAD_L2_GRAV_CSR_RL06,GAD-2_2003091-2003120_GRAC_UTCSR_BC01_0600,0.3155231475830078,,Unspecified,2003-04-01T00:00:00.000Z,2003-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789326-PODAAC,GAD-2_2003121-2003141_GRAC_UTCSR_BC01_0600,PODAAC,1,2019-12-19T20:32:06Z,2018-05-03T16:42:48.989Z,GRACE_GAD_L2_GRAV_CSR_RL06,GAD-2_2003121-2003141_GRAC_UTCSR_BC01_0600,0.3155174255371094,,Unspecified,2003-05-01T00:00:00.000Z,2003-05-21T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
