cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1674789767-PODAAC,GAD-2_2002094-2002120_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:34:38Z,2019-02-15T17:44:23.647Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2002094-2002120_GRAC_JPLEM_BC01_0600,0.31707286834716797,,Unspecified,2002-04-04T00:00:00.000Z,2002-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789471-PODAAC,GAD-2_2002122-2002138_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:32:52Z,2019-02-15T17:32:56.100Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2002122-2002138_GRAC_JPLEM_BC01_0600,0.31735706329345703,,Unspecified,2002-05-02T00:00:00.000Z,2002-05-18T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789526-PODAAC,GAD-2_2002213-2002243_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:33:17Z,2019-02-15T17:59:09.353Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2002213-2002243_GRAC_JPLEM_BC01_0600,0.3174772262573242,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789306-PODAAC,GAD-2_2002244-2002273_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:31:57Z,2019-02-15T17:45:43.697Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2002244-2002273_GRAC_JPLEM_BC01_0600,0.3173074722290039,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789934-PODAAC,GAD-2_2002274-2002304_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:34:46Z,2019-02-15T17:44:10.844Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2002274-2002304_GRAC_JPLEM_BC01_0600,0.31696510314941406,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789421-PODAAC,GAD-2_2002305-2002334_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:32:37Z,2019-02-15T17:42:27.419Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2002305-2002334_GRAC_JPLEM_BC01_0600,0.31709957122802734,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789400-PODAAC,GAD-2_2002335-2002365_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:32:33Z,2019-02-15T18:17:23.662Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2002335-2002365_GRAC_JPLEM_BC01_0600,0.3171558380126953,,Unspecified,2002-12-01T00:00:00.000Z,2002-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789704-PODAAC,GAD-2_2003001-2003031_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:34:32Z,2019-02-15T18:29:43.248Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2003001-2003031_GRAC_JPLEM_BC01_0600,0.3172750473022461,,Unspecified,2003-01-01T00:00:00.000Z,2003-01-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789366-PODAAC,GAD-2_2003032-2003059_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:32:24Z,2019-02-15T18:34:00.038Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2003032-2003059_GRAC_JPLEM_BC01_0600,0.31734752655029297,,Unspecified,2003-02-01T00:00:00.000Z,2003-02-28T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789586-PODAAC,GAD-2_2003060-2003090_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:33:41Z,2019-02-15T17:29:39.180Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2003060-2003090_GRAC_JPLEM_BC01_0600,0.3170166015625,,Unspecified,2003-03-01T00:00:00.000Z,2003-03-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789449-PODAAC,GAD-2_2003091-2003120_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:32:43Z,2019-02-15T17:47:49.400Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2003091-2003120_GRAC_JPLEM_BC01_0600,0.31714916229248047,,Unspecified,2003-04-01T00:00:00.000Z,2003-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789598-PODAAC,GAD-2_2003121-2003141_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:33:46Z,2019-02-15T18:16:20.696Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2003121-2003141_GRAC_JPLEM_BC01_0600,0.31716156005859375,,Unspecified,2003-05-01T00:00:00.000Z,2003-05-21T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789881-PODAAC,GAD-2_2003182-2003212_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:34:44Z,2019-02-15T17:44:00.578Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2003182-2003212_GRAC_JPLEM_BC01_0600,0.31693077087402344,,Unspecified,2003-07-01T00:00:00.000Z,2003-07-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674789351-PODAAC,GAD-2_2003213-2003243_GRAC_JPLEM_BC01_0600,PODAAC,1,2019-12-19T20:32:17Z,2019-02-15T18:33:30.184Z,GRACE_GAD_L2_GRAV_JPL_RL06,GAD-2_2003213-2003243_GRAC_JPLEM_BC01_0600,0.31742000579833984,,Unspecified,2003-08-01T00:00:00.000Z,2003-08-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
