cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1674790441-PODAAC,GSM-2_2002095-2002120_GRAC_UTCSR_BB01_0600,PODAAC,1,2019-12-19T20:37:49Z,2018-07-02T20:42:39.069Z,GRACE_GSM_L2_GRAV_CSR_RL06,GSM-2_2002095-2002120_GRAC_UTCSR_BB01_0600,0.11893844604492188,,Unspecified,2002-04-05T00:00:00.000Z,2002-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674790453-PODAAC,GSM-2_2002095-2002120_GRAC_UTCSR_BA01_0600,PODAAC,1,2019-12-19T20:37:55Z,2018-07-02T20:42:34.157Z,GRACE_GSM_L2_GRAV_CSR_RL06,GSM-2_2002095-2002120_GRAC_UTCSR_BA01_0600,0.0485076904296875,,Unspecified,2002-04-05T00:00:00.000Z,2002-04-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674790426-PODAAC,GSM-2_2002123-2002137_GRAC_UTCSR_BA01_0600,PODAAC,1,2019-12-19T20:37:43Z,2018-07-02T20:43:14.877Z,GRACE_GSM_L2_GRAV_CSR_RL06,GSM-2_2002123-2002137_GRAC_UTCSR_BA01_0600,0.048465728759765625,,Unspecified,2002-05-03T00:00:00.000Z,2002-05-17T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674790450-PODAAC,GSM-2_2002123-2002137_GRAC_UTCSR_BB01_0600,PODAAC,1,2019-12-19T20:37:53Z,2018-07-02T20:42:59.325Z,GRACE_GSM_L2_GRAV_CSR_RL06,GSM-2_2002123-2002137_GRAC_UTCSR_BB01_0600,0.11887359619140625,,Unspecified,2002-05-03T00:00:00.000Z,2002-05-17T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674790438-PODAAC,GSM-2_2002213-2002243_GRAC_UTCSR_BA01_0600,PODAAC,1,2019-12-19T20:37:48Z,2018-07-02T20:43:26.491Z,GRACE_GSM_L2_GRAV_CSR_RL06,GSM-2_2002213-2002243_GRAC_UTCSR_BA01_0600,0.0485687255859375,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674790456-PODAAC,GSM-2_2002213-2002243_GRAC_UTCSR_BB01_0600,PODAAC,1,2019-12-19T20:37:56Z,2018-07-02T20:42:54.286Z,GRACE_GSM_L2_GRAV_CSR_RL06,GSM-2_2002213-2002243_GRAC_UTCSR_BB01_0600,0.1188507080078125,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674790420-PODAAC,GSM-2_2002244-2002273_GRAC_UTCSR_BB01_0600,PODAAC,1,2019-12-19T20:37:40Z,2018-07-02T20:42:44.069Z,GRACE_GSM_L2_GRAV_CSR_RL06,GSM-2_2002244-2002273_GRAC_UTCSR_BB01_0600,0.11861038208007812,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674790429-PODAAC,GSM-2_2002244-2002273_GRAC_UTCSR_BA01_0600,PODAAC,1,2019-12-19T20:37:44Z,2018-07-02T20:43:04.573Z,GRACE_GSM_L2_GRAV_CSR_RL06,GSM-2_2002244-2002273_GRAC_UTCSR_BA01_0600,0.04858112335205078,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674790432-PODAAC,GSM-2_2002274-2002304_GRAC_UTCSR_BA01_0600,PODAAC,1,2019-12-19T20:37:45Z,2018-07-02T20:43:14.880Z,GRACE_GSM_L2_GRAV_CSR_RL06,GSM-2_2002274-2002304_GRAC_UTCSR_BA01_0600,0.04851818084716797,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1674790447-PODAAC,GSM-2_2002274-2002304_GRAC_UTCSR_BB01_0600,PODAAC,1,2019-12-19T20:37:52Z,2018-07-02T20:42:47.926Z,GRACE_GSM_L2_GRAV_CSR_RL06,GSM-2_2002274-2002304_GRAC_UTCSR_BB01_0600,0.11893558502197266,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
