cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1676884996-PODAAC,grace_1B_2002-04-04_02.tar,PODAAC,1,2019-12-23T17:51:51Z,2014-01-30T20:50:51.021Z,GRACE_L1B_GRAV_JPL_RL02,grace_1B_2002-04-04_02.tar,25.384021759033203,,Unspecified,2002-04-04T00:00:00.000Z,2002-04-04T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1676884637-PODAAC,grace_1B_2002-04-05_02.tar,PODAAC,1,2019-12-23T17:50:39Z,2014-01-30T20:50:34.628Z,GRACE_L1B_GRAV_JPL_RL02,grace_1B_2002-04-05_02.tar,25.612815856933594,,Unspecified,2002-04-05T00:00:00.000Z,2002-04-05T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1676884621-PODAAC,grace_1B_2002-04-06_02.tar,PODAAC,1,2019-12-23T17:50:34Z,2014-01-30T20:50:20.371Z,GRACE_L1B_GRAV_JPL_RL02,grace_1B_2002-04-06_02.tar,25.585325241088867,,Unspecified,2002-04-06T00:00:00.000Z,2002-04-06T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1676884627-PODAAC,grace_1B_2002-04-07_02.tar,PODAAC,1,2019-12-23T17:50:36Z,2014-01-30T20:50:20.998Z,GRACE_L1B_GRAV_JPL_RL02,grace_1B_2002-04-07_02.tar,25.749844551086426,,Unspecified,2002-04-07T00:00:00.000Z,2002-04-07T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1676885021-PODAAC,grace_1B_2002-04-08_02.tar,PODAAC,1,2019-12-23T17:51:54Z,2014-01-30T20:51:04.956Z,GRACE_L1B_GRAV_JPL_RL02,grace_1B_2002-04-08_02.tar,25.08564281463623,,Unspecified,2002-04-08T00:00:00.000Z,2002-04-08T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1676884645-PODAAC,grace_1B_2002-04-09_02.tar,PODAAC,1,2019-12-23T17:50:40Z,2014-01-30T20:50:36.986Z,GRACE_L1B_GRAV_JPL_RL02,grace_1B_2002-04-09_02.tar,24.275474548339844,,Unspecified,2002-04-09T00:00:00.000Z,2002-04-09T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1676884989-PODAAC,grace_1B_2002-04-10_02.tar,PODAAC,1,2019-12-23T17:51:50Z,2014-01-30T20:51:16.908Z,GRACE_L1B_GRAV_JPL_RL02,grace_1B_2002-04-10_02.tar,21.456796646118164,,Unspecified,2002-04-10T00:00:00.000Z,2002-04-10T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1676884607-PODAAC,grace_1B_2002-04-11_02.tar,PODAAC,1,2019-12-23T17:50:31Z,2014-01-30T20:50:19.762Z,GRACE_L1B_GRAV_JPL_RL02,grace_1B_2002-04-11_02.tar,22.197956085205078,,Unspecified,2002-04-11T00:00:00.000Z,2002-04-11T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1676884612-PODAAC,grace_1B_2002-04-12_02.tar,PODAAC,1,2019-12-23T17:50:33Z,2014-01-30T20:50:07.913Z,GRACE_L1B_GRAV_JPL_RL02,grace_1B_2002-04-12_02.tar,24.6516695022583,,Unspecified,2002-04-12T00:00:00.000Z,2002-04-12T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1676885003-PODAAC,grace_1B_2002-04-13_02.tar,PODAAC,1,2019-12-23T17:51:53Z,2014-01-30T20:50:51.527Z,GRACE_L1B_GRAV_JPL_RL02,grace_1B_2002-04-13_02.tar,25.382153511047363,,Unspecified,2002-04-13T00:00:00.000Z,2002-04-13T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
