cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_title,coll_version,coll_doi,coll_abstract,coll_shortname,coll_status,coll_proclvl,coll_proclvl_desc,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
collection,C1214586720-SCIOPS,GA-OG-1B-CLKDAT,SCIOPS,4,2018-05-23T20:41:34Z,,Clock conversion parameters from receiver to GPS time for GRACE-A,1.0,,Edited and decimated from Instruments HR samples to LR samples for Science use.,GA-OG-1B-CLKDAT,ACTIVE,Not provided,,,,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
collection,C1674800739-PODAAC,GRACE+ATMOSPHERE+AND+OCEAN+DE-ALIASING+GFZ+RELEASE+6.0,PODAAC,1,2019-12-19T21:32:44Z,,GRACE ATMOSPHERE AND OCEAN DE-ALIASING GFZ RELEASE 6.0,6.0,,The GRACE Atmosphere and Ocean De-aliasing dataset contains spherical harmonic coefficients of combined barotropic or baroclinic sea level and vertical integrated pressure variations at 6-hour sample rate.  It is used as a correction product for the Level 2 GRACE datasets.,GRACE_AOD1B_GRAV_GFZ_RL06,NOT PROVIDED,1B,,,,-75.0,65.0,-180.0,180.0,"POLYGON ((180 -75, 180 65, -180 65, -180 -75, 180 -75))"
collection,C1650311567-PODAAC,GRACE+FIELD+GEOPOTENTIAL+COEFFICIENTS+CSR+RELEASE+6.0,PODAAC,5,2019-12-19T20:22:30Z,,GRACE FIELD GEOPOTENTIAL COEFFICIENTS CSR RELEASE 6.0,6.0,,"FOR EXPERT USE ONLY.  This dataset contains estimates of static field geopotential of the Earth, derived from the Gravity Recovery and Climate Experiment (GRACE) mission measurements, produced by the Center for Space Research (CSR) at University of Texas at Austin.  The data are in spherical harmonics averaged over approximately a month.  The primary objective of the GRACE mission is to obtain accurate estimates of the mean and time-variable components of the gravity field variations.  This objective is achieved by making continuous measurements of the change in distance between twin spacecraft, co-orbiting in about 500 km altitude, near circular, polar orbit, spaced approximately 200 km apart, using a microwave ranging system.  In addition to these range change, the non-gravitional forces are measured on each satellite using a high accuracy electrostatic, room-temperature accelerometer.  The satellite orientation and position (and timing) are precisely measured using twin star cameras and a GPS receiver, respectively.  Spatial and temporal variations in the gravity field affect the orbits (or trajectories) of the twin spacecraft differently.  These differences are manifested as changes in the distance between the spacecraft, as they orbit the Earth.  This change in distance is reflected in the time-of-flight of microwave signals transmitted and received nearly simultaneously between the two spacecraft.  The change in this time of fight is continuously measured by tracking the phase of the microwave carrier signals.  The so called dual-one-way range change measurements can be reconstructed from these phase measurements.  This range change (or its numerically derived derivatives), along with other mission and ancillary data, is subsequently analyzed to extract the parameters of an Earth gravity field model.",GRACE_GSM_L2_GRAV_CSR_RL06,NOT PROVIDED,2,,,,-88.0,88.0,-180.0,180.0,"POLYGON ((180 -88, 180 88, -180 88, -180 -88, 180 -88))"
collection,C1650311568-PODAAC,GRACE+FIELD+GEOPOTENTIAL+COEFFICIENTS+GFZ+RELEASE+6.0,PODAAC,3,2019-12-19T20:13:47Z,,GRACE FIELD GEOPOTENTIAL COEFFICIENTS GFZ RELEASE 6.0,6.0,,"FOR EXPERT USE ONLY.  This dataset contains estimates of static field geopotential of the Earth, derived from the Gravity Recovery and Climate Experiment (GRACE) mission measurements, produced by the German Research Centre for Geosciences (GFZ).  The data are in spherical harmonics averaged over approximately a month.  The primary objective of the GRACE mission is to obtain accurate estimates of the mean and time-variable components of the gravity field variations.  This objective is achieved by making continuous measurements of the change in distance between twin spacecraft, co-orbiting in about 500 km altitude, near circular, polar orbit, spaced approximately 200 km apart, using a microwave ranging system.  In addition to these range change, the non-gravitional forces are measured on each satellite using a high accuracy electrostatic, room-temperature accelerometer.  The satellite orientation and position (and timing) are precisely measured using twin star cameras and a GPS receiver, respectively.  Spatial and temporal variations in the gravity field affect the orbits (or trajectories) of the twin spacecraft differently.  These differences are manifested as changes in the distance between the spacecraft, as they orbit the Earth.  This change in distance is reflected in the time-of-flight of microwave signals transmitted and received nearly simultaneously between the two spacecraft.  The change in this time of fight is continuously measured by tracking the phase of the microwave carrier signals.  The so called dual-one-way range change measurements can be reconstructed from these phase measurements.  This range change (or its numerically derived derivatives), along with other mission and ancillary data, is subsequently analyzed to extract the parameters of an Earth gravity field model.",GRACE_GSM_L2_GRAV_GFZ_RL06,NOT PROVIDED,2,,,,-88.0,88.0,-180.0,180.0,"POLYGON ((180 -88, 180 88, -180 88, -180 -88, 180 -88))"
collection,C1650311570-PODAAC,GRACE+FIELD+GEOPOTENTIAL+COEFFICIENTS+JPL+RELEASE+6.0,PODAAC,3,2019-12-19T20:13:40Z,,GRACE FIELD GEOPOTENTIAL COEFFICIENTS JPL RELEASE 6.0,6.0,,"FOR EXPERT USE ONLY.  This dataset contains estimates of static field geopotential of the Earth, derived from the Gravity Recovery and Climate Experiment (GRACE) mission measurements, produced by the NASA Jet Propulsion Laboratory (JPL).  The data are in spherical harmonics averaged over approximately a month.  The primary objective of the GRACE mission is to obtain accurate estimates of the mean and time-variable components of the gravity field variations.  This objective is achieved by making continuous measurements of the change in distance between twin spacecraft, co-orbiting in about 500 km altitude, near circular, polar orbit, spaced approximately 200 km apart, using a microwave ranging system.  In addition to these range change, the non-gravitional forces are measured on each satellite using a high accuracy electrostatic, room-temperature accelerometer.  The satellite orientation and position (and timing) are precisely measured using twin star cameras and a GPS receiver, respectively.  Spatial and temporal variations in the gravity field affect the orbits (or trajectories) of the twin spacecraft differently.  These differences are manifested as changes in the distance between the spacecraft, as they orbit the Earth.  This change in distance is reflected in the time-of-flight of microwave signals transmitted and received nearly simultaneously between the two spacecraft.  The change in this time of fight is continuously measured by tracking the phase of the microwave carrier signals.  The so called dual-one-way range change measurements can be reconstructed from these phase measurements.  This range change (or its numerically derived derivatives), along with other mission and ancillary data, is subsequently analyzed to extract the parameters of an Earth gravity field model.",GRACE_GSM_L2_GRAV_JPL_RL06,NOT PROVIDED,2,,,,-88.0,88.0,-180.0,180.0,"POLYGON ((180 -88, 180 88, -180 88, -180 -88, 180 -88))"
collection,C1214595305-SCIOPS,GRACE-Tellus-0001,SCIOPS,5,2018-08-22T13:05:07Z,,"GRACE grids destriped, version dpc200711, equivalent water thickness, 2003-2010",dpc200711,,"Grids of gravity field time change, expressed as changes in mass of a thin layer draping the surface of the Earth, in cm of equivalent water thickness. Over the oceans, they represent changes in bottom pressure, except where geophysical signals (postglacial rebound, strong earthquake displacement) obscure the ocean signal. Grids version dpc200711 are optimized for ocean applications, not land or cryosphere.  These data have been 'destriped', a filter that removes a specific error in the GRACE data, and spatially smoothed first by cutting off the spherical harmonic series at degree 40 ( approximately 1000 km resolution), then applying a spatial gaussian filter with 300 or 500 km half width. Note that the data are given on a 1 degree grid, but their true spatial resolution is no shorter than 1000 km.",GRACE-Tellus-0001,NOT PROVIDED,Not provided,,,,-89.5,89.5,-180.0,180.0,"POLYGON ((180 -89.5, 180 89.5, -180 89.5, -180 -89.5, 180 -89.5))"
collection,C1674812424-PODAAC,GRACE+LEVEL+1B+JPL+RELEASE+2.0,PODAAC,1,2019-12-19T22:00:06Z,,GRACE LEVEL 1B JPL RELEASE 2.0,2,,"FOR EXPERT USE ONLY.  The GRACE Level 1B data provide all necessary inputs to derive monthly time variations in the Earth's gravity field.  Level 1B data are also used for GRACE orbit and mean gravity field determination.  It contains K-Band Ranging Data Product (KBR1B), Star Camera Data Product (SCA1B), Accelerometer Data Product (ACC1B), GPS Data Product (GPS1B), Vector Products (VGN1B, VGO1B, VGB1B, VCM1B, VKB1B, VSL1B), Quaternion Products (QSA1B, QSB1B), and Housekeeping Products (AHK1B, IHK1B, THR1B, TNK1B, MAG1B, MAS1B, TIM1B)",GRACE_L1B_GRAV_JPL_RL02,NOT PROVIDED,1B,,,,-88.0,88.0,-180.0,180.0,"POLYGON ((180 -88, 180 88, -180 88, -180 -88, 180 -88))"
collection,C1674812002-PODAAC,GRACE+LEVEL+1B+JPL+RELEASE+3.0,PODAAC,2,2019-12-19T22:04:36Z,,GRACE LEVEL 1B JPL RELEASE 3.0,3,,"FOR EXPERT USE ONLY.  The GRACE Level 1B data provide all necessary inputs to derive monthly time variations in the Earth's gravity field.  Level 1B data are also used for GRACE orbit and mean gravity field determination.  It contains K-Band Ranging Data Product (KBR1B), Star Camera Data Product (SCA1B), Accelerometer Data Product (ACC1B), GPS Data Product (GPS1B), Vector Products (VGN1B, VGO1B, VGB1B, VCM1B, VKB1B, VSL1B), Quaternion Products (QSA1B, QSB1B), and Housekeeping Products (AHK1B, IHK1B, THR1B, TNK1B, MAG1B, MAS1B, TIM1B)
The GRACE Level-1B RL03 data consists only of updated spacecraft attitude (SCA1B) and K-band inter-satellite ranging (KBR1B) data. All other Level-1B were not changed and it is recommended to use the RL02 products with the updated RL03 KBR1B and SCA1B products. The RL03 SCA1B data were corrected for a stellar aberration error in the onboard star tracker software and incorrect data weighting in the star tracker combination software. For the RL03 SCA1B data a new software module was developed that uses Kalman filtering, field of view error modeling, relative alignment adjustment and the inclusion of angular spacecraft body acceleration measurements from the ACC instrument. This new processing resulted in a significant reduction in high frequency noise and the elimination of jumps during transitions between dual and single star tracker operation.  The KBR1B product is updated as well because the KBR antenna phase center range correction, range rate correction and range acceleration are computed using the spacecraft attitude information (SCA1B). Only these three correction values were updated in the KBR1B product. All other entries in the KBR1B remained the same.",GRACE_L1B_GRAV_JPL_RL03,NOT PROVIDED,1B,,,,-88.0,88.0,-180.0,180.0,"POLYGON ((180 -88, 180 88, -180 88, -180 -88, 180 -88))"
collection,C1674784948-PODAAC,GRACE+NON-TIDAL+ATMOSPHERE+AND+OCEAN+GEOPOTENTIAL+COEFFICIENTS+CSR+RELEASE+6.0+GAC,PODAAC,2,2019-12-19T20:19:59Z,,GRACE NON-TIDAL ATMOSPHERE AND OCEAN GEOPOTENTIAL COEFFICIENTS CSR RELEASE 6.0 GAC,6.0,,"FOR EXPERT USE ONLY.  This dataset contains estimates of geopotential field derived from the Gravity Recovery and Climate Experiment (GRACE) mission measurements and a non-tidal oceanic and atmospheric model produced by the Center for Space Research (CSR) at University of Texas at Austin.  The data are in spherical harmonics averaged over approximately a month.  The primary objective of the GRACE mission is to obtain accurate estimates of the mean and time-variable components of the gravity field variations.  This objective is achieved by making continuous measurements of the change in distance between twin spacecraft, co-orbiting in about 500 km altitude, near circular, polar orbit, spaced approximately 200 km apart, using a microwave ranging system.  In addition to these range change, the non-gravitional forces are measured on each satellite using a high accuracy electrostatic, room-temperature accelerometer.  The satellite orientation and position (and timing) are precisely measured using twin star cameras and a GPS receiver, respectively.  Spatial and temporal variations in the gravity field affect the orbits (or trajectories) of the twin spacecraft differently.  These differences are manifested as changes in the distance between the spacecraft, as they orbit the Earth.  This change in distance is reflected in the time-of-flight of microwave signals transmitted and received nearly simultaneously between the two spacecraft.  The change in this time of fight is continuously measured by tracking the phase of the microwave carrier signals.  The so called dual-one-way range change measurements can be reconstructed from these phase measurements.  This range change (or its numerically derived derivatives), along with other mission and ancillary data, is subsequently analyzed to extract the parameters of an Earth gravity field model.",GRACE_GAC_L2_GRAV_CSR_RL06,NOT PROVIDED,2,,,,-88.0,88.0,-180.0,180.0,"POLYGON ((180 -88, 180 88, -180 88, -180 -88, 180 -88))"
collection,C1674784949-PODAAC,GRACE+NON-TIDAL+ATMOSPHERE+AND+OCEAN+GEOPOTENTIAL+COEFFICIENTS+GFZ+RELEASE+6.0+GAC,PODAAC,1,2019-12-19T20:13:20Z,,GRACE NON-TIDAL ATMOSPHERE AND OCEAN GEOPOTENTIAL COEFFICIENTS GFZ RELEASE 6.0 GAC,6.0,,"FOR EXPERT USE ONLY.  This dataset contains estimates of geopotential field derived from the Gravity Recovery and Climate Experiment (GRACE) mission measurements and a non-tidal oceanic and atmospheric model produced by the German Research Centre for Geosciences (GFZ).  The data are in spherical harmonics averaged over approximately a month.  The primary objective of the GRACE mission is to obtain accurate estimates of the mean and time-variable components of the gravity field variations.  This objective is achieved by making continuous measurements of the change in distance between twin spacecraft, co-orbiting in about 500 km altitude, near circular, polar orbit, spaced approximately 200 km apart, using a microwave ranging system.  In addition to these range change, the non-gravitional forces are measured on each satellite using a high accuracy electrostatic, room-temperature accelerometer.  The satellite orientation and position (and timing) are precisely measured using twin star cameras and a GPS receiver, respectively.  Spatial and temporal variations in the gravity field affect the orbits (or trajectories) of the twin spacecraft differently.  These differences are manifested as changes in the distance between the spacecraft, as they orbit the Earth.  This change in distance is reflected in the time-of-flight of microwave signals transmitted and received nearly simultaneously between the two spacecraft.  The change in this time of fight is continuously measured by tracking the phase of the microwave carrier signals.  The so called dual-one-way range change measurements can be reconstructed from these phase measurements.  This range change (or its numerically derived derivatives), along with other mission and ancillary data, is subsequently analyzed to extract the parameters of an Earth gravity field model.",GRACE_GAC_L2_GRAV_GFZ_RL06,NOT PROVIDED,2,,,,-88.0,88.0,-180.0,180.0,"POLYGON ((180 -88, 180 88, -180 88, -180 -88, 180 -88))"
