cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1664850491-PODAAC,rs_radrain_l2b_v1_00161_201608251425.nc,PODAAC,1,2019-12-06T19:03:23Z,2016-09-09T20:57:30.612Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00161_201608251425.nc,2.2905664443969727,,Unspecified,2014-10-03T19:28:21.083Z,2014-10-03T21:01:09.020Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664847440-PODAAC,rs_radrain_l2b_v1_00162_201608251425.nc,PODAAC,1,2019-12-06T18:59:26Z,2016-09-09T19:32:31.524Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00162_201608251425.nc,2.195286750793457,,Unspecified,2014-10-03T21:01:09.020Z,2014-10-03T22:33:56.058Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664846514-PODAAC,rs_radrain_l2b_v1_00163_201608251425.nc,PODAAC,1,2019-12-06T18:58:12Z,2016-09-09T20:20:23.270Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00163_201608251425.nc,2.423521041870117,,Unspecified,2014-10-03T22:33:56.058Z,2014-10-04T00:06:44.002Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664835072-PODAAC,rs_radrain_l2b_v1_00164_201608251425.nc,PODAAC,1,2019-12-06T18:48:01Z,2016-09-09T20:43:25.563Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00164_201608251425.nc,2.58673095703125,,Unspecified,2014-10-04T00:06:44.002Z,2014-10-04T01:39:31.047Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664851710-PODAAC,rs_radrain_l2b_v1_00165_201608251425.nc,PODAAC,1,2019-12-06T19:06:05Z,2016-09-09T19:53:22.669Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00165_201608251425.nc,2.5444412231445312,,Unspecified,2014-10-04T01:39:31.047Z,2014-10-04T03:12:18.088Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664862509-PODAAC,rs_radrain_l2b_v1_00166_201608251425.nc,PODAAC,1,2019-12-06T19:29:51Z,2016-09-09T21:21:20.048Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00166_201608251425.nc,2.461533546447754,,Unspecified,2014-10-04T03:12:18.088Z,2014-10-04T04:45:06.025Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664842670-PODAAC,rs_radrain_l2b_v1_00167_201608251425.nc,PODAAC,1,2019-12-06T18:53:42Z,2016-09-09T20:49:01.774Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00167_201608251425.nc,2.559591293334961,,Unspecified,2014-10-04T04:45:06.025Z,2014-10-04T06:17:53.060Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664879592-PODAAC,rs_radrain_l2b_v1_00168_201608251425.nc,PODAAC,1,2019-12-06T19:59:02Z,2016-09-09T20:56:21.152Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00168_201608251425.nc,2.6009016036987305,,Unspecified,2014-10-04T06:17:53.060Z,2014-10-04T07:50:40.098Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664850520-PODAAC,rs_radrain_l2b_v1_00169_201608251425.nc,PODAAC,1,2019-12-06T19:03:26Z,2016-09-09T20:57:51.151Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00169_201608251425.nc,2.462662696838379,,Unspecified,2014-10-04T07:50:40.098Z,2014-10-04T09:23:28.037Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664851767-PODAAC,rs_radrain_l2b_v1_00170_201608251425.nc,PODAAC,1,2019-12-06T19:06:16Z,2016-09-09T20:30:37.224Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00170_201608251425.nc,2.4401912689208984,,Unspecified,2014-10-04T09:23:28.037Z,2014-10-04T10:56:15.068Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664842767-PODAAC,rs_radrain_l2b_v1_00171_201608251425.nc,PODAAC,1,2019-12-06T18:53:47Z,2016-09-09T21:22:19.123Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00171_201608251425.nc,2.621699333190918,,Unspecified,2014-10-04T10:56:15.068Z,2014-10-04T12:29:03.005Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664822382-PODAAC,rs_radrain_l2b_v1_00172_201608251425.nc,PODAAC,1,2019-12-06T18:29:33Z,2016-09-09T19:46:46.931Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00172_201608251425.nc,2.6716651916503906,,Unspecified,2014-10-04T12:29:03.005Z,2014-10-04T14:01:50.046Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664851837-PODAAC,rs_radrain_l2b_v1_00173_201608251425.nc,PODAAC,1,2019-12-06T19:06:19Z,2016-09-09T20:31:12.691Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00173_201608251425.nc,2.584092140197754,,Unspecified,2014-10-04T14:01:50.046Z,2014-10-04T15:34:37.084Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664848797-PODAAC,rs_radrain_l2b_v1_00174_201608251425.nc,PODAAC,1,2019-12-06T19:01:24Z,2016-09-09T19:45:49.868Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00174_201608251425.nc,2.43450927734375,,Unspecified,2014-10-04T15:34:37.084Z,2014-10-04T17:07:25.021Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1664858862-PODAAC,rs_radrain_l2b_v1_00175_201608251425.nc,PODAAC,1,2019-12-06T19:21:10Z,2016-09-09T20:48:52.157Z,RSCAT_COLOCATED_RSS_RADIOMETER_LEVEL_2B_V1,rs_radrain_l2b_v1_00175_201608251425.nc,2.5037336349487305,,Unspecified,2014-10-04T17:07:25.021Z,2014-10-04T18:40:12.051Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
