cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1661592821-PODAAC,RS_S1B07873.20162571501,PODAAC,1,2019-11-27T16:45:17Z,2016-10-17T02:22:20.675Z,RSCAT_L1B_V1.3,RS_S1B07873.20162571501,100.90699005126953,,Unspecified,2016-02-11T15:56:15.019Z,2016-02-11T17:28:49.008Z,-56.562,56.763,0.0,180.0,"POLYGON ((180 -56.562, 180 56.763, 0 56.763, 0 -56.562, 180 -56.562))"
granule,G1661587199-PODAAC,RS_S1B07874.20162571501,PODAAC,1,2019-11-27T16:39:23Z,2016-10-17T01:40:30.835Z,RSCAT_L1B_V1.3,RS_S1B07874.20162571501,101.0647840499878,,Unspecified,2016-02-11T17:28:49.008Z,2016-02-11T19:01:23.003Z,-56.551,56.737,0.0,180.0,"POLYGON ((180 -56.551, 180 56.737, 0 56.737, 0 -56.551, 180 -56.551))"
granule,G1661573898-PODAAC,RS_S1B07875.20162571501,PODAAC,1,2019-11-27T16:16:04Z,2016-10-17T04:23:09.625Z,RSCAT_L1B_V1.3,RS_S1B07875.20162571501,101.09000492095947,,Unspecified,2016-02-11T19:01:23.003Z,2016-02-11T20:33:56.097Z,-56.55,56.76,0.0,180.0,"POLYGON ((180 -56.55, 180 56.76, 0 56.76, 0 -56.55, 180 -56.55))"
granule,G1661589724-PODAAC,RS_S1B07876.20162571501,PODAAC,1,2019-11-27T16:42:23Z,2016-10-17T04:34:05.084Z,RSCAT_L1B_V1.3,RS_S1B07876.20162571501,100.92347812652588,,Unspecified,2016-02-11T20:33:56.097Z,2016-02-11T22:06:30.087Z,-56.557,56.733,0.0,180.0,"POLYGON ((180 -56.557, 180 56.733, 0 56.733, 0 -56.557, 180 -56.557))"
granule,G1661595123-PODAAC,RS_S1B07877.20162571501,PODAAC,1,2019-11-27T16:49:31Z,2016-10-17T01:38:31.248Z,RSCAT_L1B_V1.3,RS_S1B07877.20162571501,100.86779117584229,,Unspecified,2016-02-11T22:06:30.087Z,2016-02-11T23:39:04.073Z,-56.546,56.744,0.0,180.0,"POLYGON ((180 -56.546, 180 56.744, 0 56.744, 0 -56.546, 180 -56.546))"
granule,G1661586669-PODAAC,RS_S1B07878.20162571501,PODAAC,1,2019-11-27T16:38:21Z,2016-10-17T02:48:02.432Z,RSCAT_L1B_V1.3,RS_S1B07878.20162571501,101.05312728881836,,Unspecified,2016-02-11T23:39:04.073Z,2016-02-12T01:11:38.058Z,-56.55,56.745,0.0,180.0,"POLYGON ((180 -56.55, 180 56.745, 0 56.745, 0 -56.55, 180 -56.55))"
granule,G1661601570-PODAAC,RS_S1B07879.20162571501,PODAAC,1,2019-11-27T17:01:46Z,2016-10-16T22:22:33.587Z,RSCAT_L1B_V1.3,RS_S1B07879.20162571501,100.90397548675537,,Unspecified,2016-02-12T01:11:38.058Z,2016-02-12T02:44:12.046Z,-56.579,56.712,0.0,180.0,"POLYGON ((180 -56.579, 180 56.712, 0 56.712, 0 -56.579, 180 -56.579))"
granule,G1661580385-PODAAC,RS_S1B07880.20162571501,PODAAC,1,2019-11-27T16:25:12Z,2016-10-16T21:22:50.958Z,RSCAT_L1B_V1.3,RS_S1B07880.20162571501,100.78255367279053,,Unspecified,2016-02-12T02:44:12.046Z,2016-02-12T04:16:46.034Z,-56.598,56.705,0.0,180.0,"POLYGON ((180 -56.598, 180 56.705, 0 56.705, 0 -56.598, 180 -56.598))"
granule,G1661586193-PODAAC,RS_S1B07881.20162571501,PODAAC,1,2019-11-27T16:37:27Z,2016-10-17T03:00:42.822Z,RSCAT_L1B_V1.3,RS_S1B07881.20162571501,100.93403053283691,,Unspecified,2016-02-12T04:16:46.034Z,2016-02-12T05:49:20.013Z,-56.581,56.73,0.0,180.0,"POLYGON ((180 -56.581, 180 56.73, 0 56.73, 0 -56.581, 180 -56.581))"
granule,G1661584599-PODAAC,RS_S1B07882.20162571501,PODAAC,1,2019-11-27T16:34:26Z,2016-10-17T01:08:48.268Z,RSCAT_L1B_V1.3,RS_S1B07882.20162571501,100.7037525177002,,Unspecified,2016-02-12T05:49:20.013Z,2016-02-12T07:21:54.001Z,-56.57,56.725,0.0,180.0,"POLYGON ((180 -56.57, 180 56.725, 0 56.725, 0 -56.57, 180 -56.57))"
