cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1664946848-PODAAC,RS_S2A00161.20150990920.CP12,PODAAC,1,2019-12-06T22:52:03Z,2015-08-19T22:22:06.271Z,RSCAT_L2A_12KM_V1.1,RS_S2A00161.20150990920.CP12,84.18423366546631,,Unspecified,2014-10-03T19:28:21.083Z,2014-10-03T21:01:09.020Z,-56.93,56.91,0.0,180.0,"POLYGON ((180 -56.93, 180 56.91, 0 56.91, 0 -56.93, 180 -56.93))"
granule,G1664945818-PODAAC,RS_S2A00162.20150990945.CP12,PODAAC,1,2019-12-06T22:50:21Z,2015-08-11T03:29:31.808Z,RSCAT_L2A_12KM_V1.1,RS_S2A00162.20150990945.CP12,82.70636081695557,,Unspecified,2014-10-03T21:01:09.020Z,2014-10-03T22:33:56.058Z,-56.92,56.91,0.0,180.0,"POLYGON ((180 -56.92, 180 56.91, 0 56.91, 0 -56.92, 180 -56.92))"
granule,G1664961251-PODAAC,RS_S2A00163.20150991009.CP12,PODAAC,1,2019-12-06T23:26:30Z,2015-08-11T10:02:27.551Z,RSCAT_L2A_12KM_V1.1,RS_S2A00163.20150991009.CP12,84.40296077728271,,Unspecified,2014-10-03T22:33:56.058Z,2014-10-04T00:06:44.002Z,-56.94,56.92,0.0,180.0,"POLYGON ((180 -56.94, 180 56.92, 0 56.92, 0 -56.94, 180 -56.94))"
granule,G1664953718-PODAAC,RS_S2A00164.20150991009.CP12,PODAAC,1,2019-12-06T23:10:00Z,2015-08-21T22:01:44.534Z,RSCAT_L2A_12KM_V1.1,RS_S2A00164.20150991009.CP12,84.45759582519531,,Unspecified,2014-10-04T00:06:44.002Z,2014-10-04T01:39:31.047Z,-56.94,56.91,0.0,180.0,"POLYGON ((180 -56.94, 180 56.91, 0 56.91, 0 -56.94, 180 -56.94))"
granule,G1664937095-PODAAC,RS_S2A00165.20150991009.CP12,PODAAC,1,2019-12-06T22:31:27Z,2015-08-11T14:05:42.104Z,RSCAT_L2A_12KM_V1.1,RS_S2A00165.20150991009.CP12,84.41161060333252,,Unspecified,2014-10-04T01:39:31.047Z,2014-10-04T03:12:18.088Z,-56.95,56.91,0.0,180.0,"POLYGON ((180 -56.95, 180 56.91, 0 56.91, 0 -56.95, 180 -56.95))"
granule,G1664937769-PODAAC,RS_S2A00166.20150991009.CP12,PODAAC,1,2019-12-06T22:34:33Z,2015-08-22T20:39:35.246Z,RSCAT_L2A_12KM_V1.1,RS_S2A00166.20150991009.CP12,84.32339000701904,,Unspecified,2014-10-04T03:12:18.088Z,2014-10-04T04:45:06.025Z,-56.95,56.92,0.0,180.0,"POLYGON ((180 -56.95, 180 56.92, 0 56.92, 0 -56.95, 180 -56.95))"
granule,G1664966103-PODAAC,RS_S2A00167.20150991009.CP12,PODAAC,1,2019-12-06T23:38:34Z,2015-08-18T01:24:53.368Z,RSCAT_L2A_12KM_V1.1,RS_S2A00167.20150991009.CP12,83.95760536193848,,Unspecified,2014-10-04T04:45:06.025Z,2014-10-04T06:17:53.060Z,-56.94,56.92,0.0,180.0,"POLYGON ((180 -56.94, 180 56.92, 0 56.92, 0 -56.94, 180 -56.94))"
granule,G1664966356-PODAAC,RS_S2A00168.20150991009.CP12,PODAAC,1,2019-12-06T23:40:03Z,2015-08-21T10:09:24.320Z,RSCAT_L2A_12KM_V1.1,RS_S2A00168.20150991009.CP12,84.41888999938965,,Unspecified,2014-10-04T06:17:53.060Z,2014-10-04T07:50:40.098Z,-56.94,56.92,0.0,180.0,"POLYGON ((180 -56.94, 180 56.92, 0 56.92, 0 -56.94, 180 -56.94))"
granule,G1664964890-PODAAC,RS_S2A00169.20150991009.CP12,PODAAC,1,2019-12-06T23:35:50Z,2015-08-21T09:05:46.471Z,RSCAT_L2A_12KM_V1.1,RS_S2A00169.20150991009.CP12,84.39425086975098,,Unspecified,2014-10-04T07:50:40.098Z,2014-10-04T09:23:28.037Z,-56.94,56.9,0.0,180.0,"POLYGON ((180 -56.94, 180 56.9, 0 56.9, 0 -56.94, 180 -56.94))"
granule,G1664949501-PODAAC,RS_S2A00170.20150991009.CP12,PODAAC,1,2019-12-06T22:58:43Z,2015-08-23T05:45:41.328Z,RSCAT_L2A_12KM_V1.1,RS_S2A00170.20150991009.CP12,84.28196620941162,,Unspecified,2014-10-04T09:23:28.037Z,2014-10-04T10:56:15.068Z,-56.94,56.9,0.0,180.0,"POLYGON ((180 -56.94, 180 56.9, 0 56.9, 0 -56.94, 180 -56.94))"
granule,G1664964554-PODAAC,RS_S2A00171.20150991009.CP12,PODAAC,1,2019-12-06T23:34:16Z,2015-08-24T15:29:35.137Z,RSCAT_L2A_12KM_V1.1,RS_S2A00171.20150991009.CP12,83.190749168396,,Unspecified,2014-10-04T10:56:15.068Z,2014-10-04T12:29:03.005Z,-56.94,56.89,0.0,180.0,"POLYGON ((180 -56.94, 180 56.89, 0 56.89, 0 -56.94, 180 -56.94))"
granule,G1664961080-PODAAC,RS_S2A00172.20150991009.CP12,PODAAC,1,2019-12-06T23:25:54Z,2015-08-21T20:13:33.776Z,RSCAT_L2A_12KM_V1.1,RS_S2A00172.20150991009.CP12,84.36529064178467,,Unspecified,2014-10-04T12:29:03.005Z,2014-10-04T14:01:50.046Z,-56.95,56.92,0.0,180.0,"POLYGON ((180 -56.95, 180 56.92, 0 56.92, 0 -56.95, 180 -56.95))"
granule,G1664957794-PODAAC,RS_S2A00173.20150991009.CP12,PODAAC,1,2019-12-06T23:18:34Z,2015-08-21T10:05:37.929Z,RSCAT_L2A_12KM_V1.1,RS_S2A00173.20150991009.CP12,83.70522785186768,,Unspecified,2014-10-04T14:01:50.046Z,2014-10-04T15:34:37.084Z,-56.94,56.9,0.0,180.0,"POLYGON ((180 -56.94, 180 56.9, 0 56.9, 0 -56.94, 180 -56.94))"
