cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1666757172-PODAAC,rs_l2b_v2.0_climate_00228_201801260652.nc,PODAAC,1,2019-12-11T01:20:26Z,2018-04-09T21:27:54.811Z,RSCAT_LEVEL_2B_OWV_CLIM_12_V2,rs_l2b_v2.0_climate_00228_201801260652.nc,20.98353862762451,,Unspecified,2014-10-08T03:05:03.047Z,2014-10-08T04:37:50.016Z,-60.331,60.331,0.0,180.0,"POLYGON ((180 -60.331, 180 60.331, 0 60.331, 0 -60.331, 180 -60.331))"
granule,G1666750194-PODAAC,rs_l2b_v2.0_climate_00232_201801260657.nc,PODAAC,1,2019-12-11T01:08:35Z,2018-04-10T10:45:09.692Z,RSCAT_LEVEL_2B_OWV_CLIM_12_V2,rs_l2b_v2.0_climate_00232_201801260657.nc,19.538284301757812,,Unspecified,2014-10-08T09:16:11.015Z,2014-10-08T10:49:00.068Z,-60.329,60.329,12.473,180.0,"POLYGON ((180 -60.329, 180 60.329, 12.473 60.329, 12.473 -60.329, 180 -60.329))"
granule,G1666725730-PODAAC,rs_l2b_v2.0_climate_00234_201801260659.nc,PODAAC,1,2019-12-10T23:57:54Z,2018-04-10T00:17:41.295Z,RSCAT_LEVEL_2B_OWV_CLIM_12_V2,rs_l2b_v2.0_climate_00234_201801260659.nc,19.61821937561035,,Unspecified,2014-10-08T12:21:50.029Z,2014-10-08T13:54:39.087Z,-60.327,60.327,0.0,180.0,"POLYGON ((180 -60.327, 180 60.327, 0 60.327, 0 -60.327, 180 -60.327))"
granule,G1666654293-PODAAC,rs_l2b_v2.0_climate_00235_201801260659.nc,PODAAC,1,2019-12-10T20:31:56Z,2018-04-10T06:56:02.300Z,RSCAT_LEVEL_2B_OWV_CLIM_12_V2,rs_l2b_v2.0_climate_00235_201801260659.nc,18.219731330871582,,Unspecified,2014-10-08T13:54:39.087Z,2014-10-08T15:27:29.043Z,-60.329,60.329,0.0,180.0,"POLYGON ((180 -60.329, 180 60.329, 0 60.329, 0 -60.329, 180 -60.329))"
granule,G1666724444-PODAAC,rs_l2b_v2.0_climate_00236_201801260659.nc,PODAAC,1,2019-12-10T23:51:12Z,2018-04-10T02:23:08.109Z,RSCAT_LEVEL_2B_OWV_CLIM_12_V2,rs_l2b_v2.0_climate_00236_201801260659.nc,18.828828811645508,,Unspecified,2014-10-08T15:27:29.043Z,2014-10-08T17:00:18.094Z,-60.329,60.329,0.0,180.0,"POLYGON ((180 -60.329, 180 60.329, 0 60.329, 0 -60.329, 180 -60.329))"
granule,G1666763837-PODAAC,rs_l2b_v2.0_climate_00237_201801260657.nc,PODAAC,1,2019-12-11T01:30:17Z,2018-04-10T04:00:56.180Z,RSCAT_LEVEL_2B_OWV_CLIM_12_V2,rs_l2b_v2.0_climate_00237_201801260657.nc,16.77996826171875,,Unspecified,2014-10-08T17:00:18.094Z,2014-10-08T18:33:08.039Z,-60.331,60.331,0.0,180.0,"POLYGON ((180 -60.331, 180 60.331, 0 60.331, 0 -60.331, 180 -60.331))"
granule,G1666719740-PODAAC,rs_l2b_v2.0_climate_00238_201801260657.nc,PODAAC,1,2019-12-10T23:30:47Z,2018-04-09T22:32:43.705Z,RSCAT_LEVEL_2B_OWV_CLIM_12_V2,rs_l2b_v2.0_climate_00238_201801260657.nc,14.907724380493164,,Unspecified,2014-10-08T18:33:08.039Z,2014-10-08T20:05:57.084Z,-60.331,60.331,0.002,180.0,"POLYGON ((180 -60.331, 180 60.331, 0.002 60.331, 0.002 -60.331, 180 -60.331))"
granule,G1666791677-PODAAC,rs_l2b_v2.0_climate_00239_201801260658.nc,PODAAC,1,2019-12-11T02:20:28Z,2018-04-10T01:40:58.289Z,RSCAT_LEVEL_2B_OWV_CLIM_12_V2,rs_l2b_v2.0_climate_00239_201801260658.nc,16.482542037963867,,Unspecified,2014-10-08T20:05:57.084Z,2014-10-08T21:38:47.034Z,-60.329,60.329,0.002,180.0,"POLYGON ((180 -60.329, 180 60.329, 0.002 60.329, 0.002 -60.329, 180 -60.329))"
granule,G1666721646-PODAAC,rs_l2b_v2.0_climate_00263_201801260711.nc,PODAAC,1,2019-12-10T23:38:50Z,2018-04-09T23:27:20.413Z,RSCAT_LEVEL_2B_OWV_CLIM_12_V2,rs_l2b_v2.0_climate_00263_201801260711.nc,21.510221481323242,,Unspecified,2014-10-10T09:13:43.071Z,2014-10-10T10:46:33.009Z,-60.328,60.328,1.213,180.0,"POLYGON ((180 -60.328, 180 60.328, 1.213 60.328, 1.213 -60.328, 180 -60.328))"
granule,G1666727916-PODAAC,rs_l2b_v2.0_climate_00264_201801260712.nc,PODAAC,1,2019-12-11T00:10:32Z,2018-04-10T07:41:13.624Z,RSCAT_LEVEL_2B_OWV_CLIM_12_V2,rs_l2b_v2.0_climate_00264_201801260712.nc,20.725852012634277,,Unspecified,2014-10-10T10:46:33.009Z,2014-10-10T12:19:22.047Z,-60.327,60.327,0.0,180.0,"POLYGON ((180 -60.327, 180 60.327, 0 60.327, 0 -60.327, 180 -60.327))"
