cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1664746836-PODAAC,rs_l2b_v1.1_00161_201504152024.nc,PODAAC,1,2019-12-06T16:04:11Z,2015-04-27T14:46:26.991Z,RSCAT_LEVEL_2B_OWV_COMP_12_V1.1,rs_l2b_v1.1_00161_201504152024.nc,11.474587440490723,,Unspecified,2014-10-03T19:28:21.083Z,2014-10-03T21:01:09.020Z,-60.331,60.331,0.0,180.0,"POLYGON ((180 -60.331, 180 60.331, 0 60.331, 0 -60.331, 180 -60.331))"
granule,G1664793347-PODAAC,rs_l2b_v1.1_00162_201504152024.nc,PODAAC,1,2019-12-06T17:17:59Z,2015-04-27T07:35:28.441Z,RSCAT_LEVEL_2B_OWV_COMP_12_V1.1,rs_l2b_v1.1_00162_201504152024.nc,10.650955200195312,,Unspecified,2014-10-03T21:01:09.020Z,2014-10-03T22:33:56.058Z,-60.331,60.332,0.0,180.0,"POLYGON ((180 -60.331, 180 60.332, 0 60.332, 0 -60.331, 180 -60.331))"
granule,G1664745794-PODAAC,rs_l2b_v1.1_00163_201504152025.nc,PODAAC,1,2019-12-06T16:01:33Z,2015-04-27T08:36:35.616Z,RSCAT_LEVEL_2B_OWV_COMP_12_V1.1,rs_l2b_v1.1_00163_201504152025.nc,14.185075759887695,,Unspecified,2014-10-03T22:33:56.058Z,2014-10-04T00:06:44.002Z,-60.329,60.329,0.001,180.0,"POLYGON ((180 -60.329, 180 60.329, 0.001 60.329, 0.001 -60.329, 180 -60.329))"
granule,G1664786104-PODAAC,rs_l2b_v1.1_00164_201504152026.nc,PODAAC,1,2019-12-06T17:00:52Z,2015-04-27T12:30:16.890Z,RSCAT_LEVEL_2B_OWV_COMP_12_V1.1,rs_l2b_v1.1_00164_201504152026.nc,16.022278785705566,,Unspecified,2014-10-04T00:06:44.002Z,2014-10-04T01:39:31.047Z,-60.327,60.327,0.001,180.0,"POLYGON ((180 -60.327, 180 60.327, 0.001 60.327, 0.001 -60.327, 180 -60.327))"
granule,G1664771479-PODAAC,rs_l2b_v1.1_00165_201504152025.nc,PODAAC,1,2019-12-06T16:27:52Z,2015-04-26T21:46:06.303Z,RSCAT_LEVEL_2B_OWV_COMP_12_V1.1,rs_l2b_v1.1_00165_201504152025.nc,14.303936004638672,,Unspecified,2014-10-04T01:39:31.047Z,2014-10-04T03:12:18.088Z,-60.329,60.329,0.001,180.0,"POLYGON ((180 -60.329, 180 60.329, 0.001 60.329, 0.001 -60.329, 180 -60.329))"
granule,G1664746067-PODAAC,rs_l2b_v1.1_00166_201504152025.nc,PODAAC,1,2019-12-06T16:02:13Z,2015-04-27T06:12:37.703Z,RSCAT_LEVEL_2B_OWV_COMP_12_V1.1,rs_l2b_v1.1_00166_201504152025.nc,13.429335594177246,,Unspecified,2014-10-04T03:12:18.088Z,2014-10-04T04:45:06.025Z,-60.331,60.331,0.001,180.0,"POLYGON ((180 -60.331, 180 60.331, 0.001 60.331, 0.001 -60.331, 180 -60.331))"
granule,G1664784366-PODAAC,rs_l2b_v1.1_00167_201504152025.nc,PODAAC,1,2019-12-06T16:57:08Z,2015-04-27T11:49:33.656Z,RSCAT_LEVEL_2B_OWV_COMP_12_V1.1,rs_l2b_v1.1_00167_201504152025.nc,15.275485038757324,,Unspecified,2014-10-04T04:45:06.025Z,2014-10-04T06:17:53.060Z,-60.331,60.331,0.001,180.0,"POLYGON ((180 -60.331, 180 60.331, 0.001 60.331, 0.001 -60.331, 180 -60.331))"
granule,G1664779067-PODAAC,rs_l2b_v1.1_00168_201504152026.nc,PODAAC,1,2019-12-06T16:44:43Z,2015-04-28T09:05:42.883Z,RSCAT_LEVEL_2B_OWV_COMP_12_V1.1,rs_l2b_v1.1_00168_201504152026.nc,16.026927947998047,,Unspecified,2014-10-04T06:17:53.060Z,2014-10-04T07:50:40.098Z,-60.331,60.332,0.0,180.0,"POLYGON ((180 -60.331, 180 60.332, 0 60.332, 0 -60.331, 180 -60.331))"
granule,G1664792717-PODAAC,rs_l2b_v1.1_00169_201504152025.nc,PODAAC,1,2019-12-06T17:16:26Z,2015-04-27T10:02:29.017Z,RSCAT_LEVEL_2B_OWV_COMP_12_V1.1,rs_l2b_v1.1_00169_201504152025.nc,14.250020980834961,,Unspecified,2014-10-04T07:50:40.098Z,2014-10-04T09:23:28.037Z,-60.33,60.33,0.002,180.0,"POLYGON ((180 -60.33, 180 60.33, 0.002 60.33, 0.002 -60.33, 180 -60.33))"
granule,G1664788691-PODAAC,rs_l2b_v1.1_00170_201504152025.nc,PODAAC,1,2019-12-06T17:06:18Z,2015-04-28T02:16:24.056Z,RSCAT_LEVEL_2B_OWV_COMP_12_V1.1,rs_l2b_v1.1_00170_201504152025.nc,14.485942840576172,,Unspecified,2014-10-04T09:23:28.037Z,2014-10-04T10:56:15.068Z,-60.331,60.331,0.001,180.0,"POLYGON ((180 -60.331, 180 60.331, 0.001 60.331, 0.001 -60.331, 180 -60.331))"
