cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1540118785-LPDAAC_ECS,SC:GFCC30TC.003:2262284376,LPDAAC_ECS,1,2018-07-27T17:41:16Z,2017-06-20T11:11:02.404Z,,SC:GFCC30TC.003:2262284376,61.7135,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1540118786-LPDAAC_ECS,SC:GFCC30TC.003:2262284334,LPDAAC_ECS,1,2018-07-27T17:41:16Z,2017-06-20T11:10:57.812Z,,SC:GFCC30TC.003:2262284334,0.55555,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1540118787-LPDAAC_ECS,SC:GFCC30TC.003:2262284694,LPDAAC_ECS,1,2018-07-27T17:41:16Z,2017-06-20T11:11:23.801Z,,SC:GFCC30TC.003:2262284694,49.8035,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1540118788-LPDAAC_ECS,SC:GFCC30TC.003:2262284388,LPDAAC_ECS,1,2018-07-27T17:41:17Z,2017-06-20T11:11:03.468Z,,SC:GFCC30TC.003:2262284388,63.8232,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1540118789-LPDAAC_ECS,SC:GFCC30TC.003:2262274984,LPDAAC_ECS,1,2018-07-27T17:41:17Z,2017-06-20T11:02:11.734Z,,SC:GFCC30TC.003:2262274984,64.1491,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1540118790-LPDAAC_ECS,SC:GFCC30TC.003:2262284591,LPDAAC_ECS,1,2018-07-27T17:41:17Z,2017-06-20T11:11:19.002Z,,SC:GFCC30TC.003:2262284591,0.616177,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1540118791-LPDAAC_ECS,SC:GFCC30TC.003:2262284355,LPDAAC_ECS,1,2018-07-27T17:41:17Z,2017-06-20T11:10:59.848Z,,SC:GFCC30TC.003:2262284355,37.7825,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1540118793-LPDAAC_ECS,SC:GFCC30TC.003:2262284307,LPDAAC_ECS,1,2018-07-27T17:41:17Z,2017-06-20T11:10:55.694Z,,SC:GFCC30TC.003:2262284307,0.488752,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1540118795-LPDAAC_ECS,SC:GFCC30TC.003:2262284319,LPDAAC_ECS,1,2018-07-27T17:41:17Z,2017-06-20T11:10:56.714Z,,SC:GFCC30TC.003:2262284319,64.0493,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1540118796-LPDAAC_ECS,SC:GFCC30TC.003:2262274992,LPDAAC_ECS,1,2018-07-27T17:41:17Z,2017-06-20T11:02:12.710Z,,SC:GFCC30TC.003:2262274992,62.7277,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
