cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1438784915-LPDAAC_ECS,SC:GFSAD30EUCEARUMECE.001:2281747185,LPDAAC_ECS,3,2018-06-19T17:31:20Z,2017-11-09T12:46:23.095Z,,SC:GFSAD30EUCEARUMECE.001:2281747185,37.2947,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438784916-LPDAAC_ECS,SC:GFSAD30EUCEARUMECE.001:2281747418,LPDAAC_ECS,3,2018-06-19T17:31:06Z,2017-11-09T12:47:00.318Z,,SC:GFSAD30EUCEARUMECE.001:2281747418,31.4456,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438784917-LPDAAC_ECS,SC:GFSAD30EUCEARUMECE.001:2281747209,LPDAAC_ECS,3,2018-06-19T17:31:03Z,2017-11-09T12:46:21.940Z,,SC:GFSAD30EUCEARUMECE.001:2281747209,17.5934,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438784918-LPDAAC_ECS,SC:GFSAD30EUCEARUMECE.001:2281747183,LPDAAC_ECS,3,2018-06-19T17:31:14Z,2017-11-09T12:46:22.590Z,,SC:GFSAD30EUCEARUMECE.001:2281747183,36.1158,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438784919-LPDAAC_ECS,SC:GFSAD30EUCEARUMECE.001:2281747221,LPDAAC_ECS,3,2018-06-19T17:31:20Z,2017-11-09T12:46:22.958Z,,SC:GFSAD30EUCEARUMECE.001:2281747221,23.4617,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438784920-LPDAAC_ECS,SC:GFSAD30EUCEARUMECE.001:2281747206,LPDAAC_ECS,3,2018-06-19T17:31:11Z,2017-11-09T12:46:26.506Z,,SC:GFSAD30EUCEARUMECE.001:2281747206,28.4324,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438784921-LPDAAC_ECS,SC:GFSAD30EUCEARUMECE.001:2281747179,LPDAAC_ECS,3,2018-06-19T17:31:06Z,2017-11-09T12:46:21.006Z,,SC:GFSAD30EUCEARUMECE.001:2281747179,18.3802,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438784922-LPDAAC_ECS,SC:GFSAD30EUCEARUMECE.001:2281747190,LPDAAC_ECS,3,2018-06-19T17:31:12Z,2017-11-09T12:46:18.112Z,,SC:GFSAD30EUCEARUMECE.001:2281747190,18.5843,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438784923-LPDAAC_ECS,SC:GFSAD30EUCEARUMECE.001:2281747174,LPDAAC_ECS,3,2018-06-19T17:31:17Z,2017-11-09T12:46:21.017Z,,SC:GFSAD30EUCEARUMECE.001:2281747174,17.5564,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438784924-LPDAAC_ECS,SC:GFSAD30EUCEARUMECE.001:2281747199,LPDAAC_ECS,3,2018-06-19T17:31:18Z,2017-11-09T12:46:24.958Z,,SC:GFSAD30EUCEARUMECE.001:2281747199,48.1362,,Unspecified,2013-01-01T00:00:00.000Z,2016-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
