cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1438661807-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723524,LPDAAC_ECS,3,2018-06-19T17:31:10Z,2017-11-08T14:36:16.205Z,,SC:GFSAD30SAAFGIRCE.001:2281723524,26.5588,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661810-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723538,LPDAAC_ECS,3,2018-06-19T17:31:12Z,2017-11-08T14:36:16.260Z,,SC:GFSAD30SAAFGIRCE.001:2281723538,21.6694,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661811-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723592,LPDAAC_ECS,3,2018-06-19T17:31:12Z,2017-11-08T14:36:16.537Z,,SC:GFSAD30SAAFGIRCE.001:2281723592,18.3424,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661814-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723603,LPDAAC_ECS,3,2018-06-19T17:31:04Z,2017-11-08T14:36:17.352Z,,SC:GFSAD30SAAFGIRCE.001:2281723603,24.3809,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661816-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723539,LPDAAC_ECS,3,2018-06-19T17:31:08Z,2017-11-08T14:36:16.327Z,,SC:GFSAD30SAAFGIRCE.001:2281723539,31.5922,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661821-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723549,LPDAAC_ECS,3,2018-06-19T17:31:09Z,2017-11-08T14:36:09.910Z,,SC:GFSAD30SAAFGIRCE.001:2281723549,18.0915,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661831-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723528,LPDAAC_ECS,3,2018-06-19T17:31:12Z,2017-11-08T14:36:12.457Z,,SC:GFSAD30SAAFGIRCE.001:2281723528,17.2835,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661832-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723544,LPDAAC_ECS,3,2018-06-19T17:31:07Z,2017-11-08T14:36:11.744Z,,SC:GFSAD30SAAFGIRCE.001:2281723544,32.115,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661834-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723602,LPDAAC_ECS,3,2018-06-19T17:31:03Z,2017-11-08T14:36:17.276Z,,SC:GFSAD30SAAFGIRCE.001:2281723602,30.4075,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661835-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723597,LPDAAC_ECS,3,2018-06-19T17:31:04Z,2017-11-08T14:36:16.936Z,,SC:GFSAD30SAAFGIRCE.001:2281723597,19.0794,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661836-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723620,LPDAAC_ECS,3,2018-06-19T17:31:07Z,2017-11-08T14:36:18.694Z,,SC:GFSAD30SAAFGIRCE.001:2281723620,57.6321,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661840-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723523,LPDAAC_ECS,3,2018-06-19T17:31:08Z,2017-11-08T14:36:11.254Z,,SC:GFSAD30SAAFGIRCE.001:2281723523,17.4907,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661850-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723546,LPDAAC_ECS,3,2018-06-19T17:31:04Z,2017-11-08T14:36:15.417Z,,SC:GFSAD30SAAFGIRCE.001:2281723546,42.3644,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661852-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723518,LPDAAC_ECS,3,2018-06-19T17:31:07Z,2017-11-08T14:36:11.222Z,,SC:GFSAD30SAAFGIRCE.001:2281723518,24.9689,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661856-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723569,LPDAAC_ECS,3,2018-06-19T17:31:08Z,2017-11-08T14:36:12.607Z,,SC:GFSAD30SAAFGIRCE.001:2281723569,31.5211,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661857-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723521,LPDAAC_ECS,3,2018-06-19T17:31:09Z,2017-11-08T14:36:06.773Z,,SC:GFSAD30SAAFGIRCE.001:2281723521,19.7209,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661860-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723526,LPDAAC_ECS,3,2018-06-19T17:31:06Z,2017-11-08T14:36:12.824Z,,SC:GFSAD30SAAFGIRCE.001:2281723526,17.7315,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1438661862-LPDAAC_ECS,SC:GFSAD30SAAFGIRCE.001:2281723556,LPDAAC_ECS,3,2018-06-19T17:31:10Z,2017-11-08T14:36:16.868Z,,SC:GFSAD30SAAFGIRCE.001:2281723556,43.7994,,Unspecified,2013-01-01T00:00:00.000Z,2016-06-30T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
