cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1682130177-LPDAAC_ECS,SC:GWELDYR.031:2356191129,LPDAAC_ECS,2,2020-01-14T20:14:29Z,2020-01-14T14:08:50.322Z,,SC:GWELDYR.031:2356191129,398.293,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130178-LPDAAC_ECS,SC:GWELDYR.031:2356191098,LPDAAC_ECS,2,2020-01-14T20:14:35Z,2020-01-14T14:08:28.810Z,,SC:GWELDYR.031:2356191098,66.1068,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130181-LPDAAC_ECS,SC:GWELDYR.031:2356191099,LPDAAC_ECS,2,2020-01-14T20:14:37Z,2020-01-14T14:08:34.427Z,,SC:GWELDYR.031:2356191099,351.334,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130188-LPDAAC_ECS,SC:GWELDYR.031:2356191160,LPDAAC_ECS,2,2020-01-14T20:14:42Z,2020-01-14T14:08:59.167Z,,SC:GWELDYR.031:2356191160,258.662,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130196-LPDAAC_ECS,SC:GWELDYR.031:2356191096,LPDAAC_ECS,2,2020-01-14T20:14:40Z,2020-01-14T14:08:33.341Z,,SC:GWELDYR.031:2356191096,394.318,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130207-LPDAAC_ECS,SC:GWELDYR.031:2356191151,LPDAAC_ECS,2,2020-01-14T20:14:30Z,2020-01-14T14:08:57.480Z,,SC:GWELDYR.031:2356191151,353.82,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130208-LPDAAC_ECS,SC:GWELDYR.031:2356191081,LPDAAC_ECS,1,2020-01-14T20:09:19Z,2020-01-14T14:08:22.093Z,,SC:GWELDYR.031:2356191081,233.361,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130214-LPDAAC_ECS,SC:GWELDYR.031:2356191120,LPDAAC_ECS,2,2020-01-14T20:14:33Z,2020-01-14T14:08:45.095Z,,SC:GWELDYR.031:2356191120,417.003,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130219-LPDAAC_ECS,SC:GWELDYR.031:2356191092,LPDAAC_ECS,2,2020-01-14T20:14:37Z,2020-01-14T14:08:25.153Z,,SC:GWELDYR.031:2356191092,152.982,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130221-LPDAAC_ECS,SC:GWELDYR.031:2356191139,LPDAAC_ECS,2,2020-01-14T20:14:32Z,2020-01-14T14:08:51.540Z,,SC:GWELDYR.031:2356191139,206.31,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130224-LPDAAC_ECS,SC:GWELDYR.031:2356191141,LPDAAC_ECS,2,2020-01-14T20:14:33Z,2020-01-14T14:08:53.465Z,,SC:GWELDYR.031:2356191141,308.278,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130226-LPDAAC_ECS,SC:GWELDYR.031:2356191113,LPDAAC_ECS,2,2020-01-14T20:14:34Z,2020-01-14T14:08:41.997Z,,SC:GWELDYR.031:2356191113,351.999,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130233-LPDAAC_ECS,SC:GWELDYR.031:2356191125,LPDAAC_ECS,2,2020-01-14T20:14:29Z,2020-01-14T14:08:43.715Z,,SC:GWELDYR.031:2356191125,106.35,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130243-LPDAAC_ECS,SC:GWELDYR.031:2356191097,LPDAAC_ECS,2,2020-01-14T20:14:39Z,2020-01-14T14:08:32.253Z,,SC:GWELDYR.031:2356191097,324.272,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130246-LPDAAC_ECS,SC:GWELDYR.031:2356191104,LPDAAC_ECS,2,2020-01-14T20:14:38Z,2020-01-14T14:08:38.786Z,,SC:GWELDYR.031:2356191104,455.361,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130247-LPDAAC_ECS,SC:GWELDYR.031:2356191157,LPDAAC_ECS,2,2020-01-14T20:14:30Z,2020-01-14T14:08:56.441Z,,SC:GWELDYR.031:2356191157,142.911,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130251-LPDAAC_ECS,SC:GWELDYR.031:2356191165,LPDAAC_ECS,2,2020-01-14T20:14:42Z,2020-01-14T14:09:05.057Z,,SC:GWELDYR.031:2356191165,332.258,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
granule,G1682130252-LPDAAC_ECS,SC:GWELDYR.031:2356191073,LPDAAC_ECS,1,2020-01-14T20:09:22Z,2020-01-14T14:08:20.534Z,,SC:GWELDYR.031:2356191073,110.607,,Unspecified,1984-01-01T00:00:00.000Z,1984-12-31T23:59:59.000Z,-90.0,90.0,-180.0,180.0,"POLYGON ((180 -90, 180 90, -180 90, -180 -90, 180 -90))"
