cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1646332050-PODAAC,ssh_grids_v1812_1992100212.nc,PODAAC,1,2019-10-15T19:11:25Z,2019-03-01T10:02:22.183Z,SEA_SURFACE_HEIGHT_ALT_GRIDS_L4_2SATS_5DAY_6THDEG_V_JPL1812,ssh_grids_v1812_1992100212.nc,15.858612060546875,,Unspecified,1992-10-02T00:00:00.000Z,1992-10-02T00:00:00.000Z,-79.917,79.917,0.083,180.0,"POLYGON ((180 -79.917, 180 79.917, 0.083 79.917, 0.083 -79.917, 180 -79.917))"
granule,G1646331639-PODAAC,ssh_grids_v1812_1992100712.nc,PODAAC,1,2019-10-15T19:06:52Z,2019-03-01T13:57:04.761Z,SEA_SURFACE_HEIGHT_ALT_GRIDS_L4_2SATS_5DAY_6THDEG_V_JPL1812,ssh_grids_v1812_1992100712.nc,15.858612060546875,,Unspecified,1992-10-07T00:00:00.000Z,1992-10-07T00:00:00.000Z,-79.917,79.917,0.083,180.0,"POLYGON ((180 -79.917, 180 79.917, 0.083 79.917, 0.083 -79.917, 180 -79.917))"
granule,G1646329197-PODAAC,ssh_grids_v1812_1992101212.nc,PODAAC,1,2019-10-15T18:48:37Z,2019-03-01T13:22:25.879Z,SEA_SURFACE_HEIGHT_ALT_GRIDS_L4_2SATS_5DAY_6THDEG_V_JPL1812,ssh_grids_v1812_1992101212.nc,15.858612060546875,,Unspecified,1992-10-12T00:00:00.000Z,1992-10-12T00:00:00.000Z,-79.917,79.917,0.083,180.0,"POLYGON ((180 -79.917, 180 79.917, 0.083 79.917, 0.083 -79.917, 180 -79.917))"
granule,G1646329378-PODAAC,ssh_grids_v1812_1992101712.nc,PODAAC,1,2019-10-15T18:50:55Z,2019-03-01T12:24:12.392Z,SEA_SURFACE_HEIGHT_ALT_GRIDS_L4_2SATS_5DAY_6THDEG_V_JPL1812,ssh_grids_v1812_1992101712.nc,15.858612060546875,,Unspecified,1992-10-17T00:00:00.000Z,1992-10-17T00:00:00.000Z,-79.917,79.917,0.083,180.0,"POLYGON ((180 -79.917, 180 79.917, 0.083 79.917, 0.083 -79.917, 180 -79.917))"
granule,G1646328912-PODAAC,ssh_grids_v1812_1992102212.nc,PODAAC,1,2019-10-15T18:45:19Z,2019-03-01T12:23:56.640Z,SEA_SURFACE_HEIGHT_ALT_GRIDS_L4_2SATS_5DAY_6THDEG_V_JPL1812,ssh_grids_v1812_1992102212.nc,15.858612060546875,,Unspecified,1992-10-22T00:00:00.000Z,1992-10-22T00:00:00.000Z,-79.917,79.917,0.083,180.0,"POLYGON ((180 -79.917, 180 79.917, 0.083 79.917, 0.083 -79.917, 180 -79.917))"
granule,G1646330555-PODAAC,ssh_grids_v1812_1992102712.nc,PODAAC,1,2019-10-15T18:59:09Z,2019-03-01T11:09:35.426Z,SEA_SURFACE_HEIGHT_ALT_GRIDS_L4_2SATS_5DAY_6THDEG_V_JPL1812,ssh_grids_v1812_1992102712.nc,15.858612060546875,,Unspecified,1992-10-27T00:00:00.000Z,1992-10-27T00:00:00.000Z,-79.917,79.917,0.083,180.0,"POLYGON ((180 -79.917, 180 79.917, 0.083 79.917, 0.083 -79.917, 180 -79.917))"
granule,G1646328995-PODAAC,ssh_grids_v1812_1992110112.nc,PODAAC,1,2019-10-15T18:45:50Z,2019-03-01T12:43:58.412Z,SEA_SURFACE_HEIGHT_ALT_GRIDS_L4_2SATS_5DAY_6THDEG_V_JPL1812,ssh_grids_v1812_1992110112.nc,15.858612060546875,,Unspecified,1992-11-01T00:00:00.000Z,1992-11-01T00:00:00.000Z,-79.917,79.917,0.083,180.0,"POLYGON ((180 -79.917, 180 79.917, 0.083 79.917, 0.083 -79.917, 180 -79.917))"
granule,G1646333273-PODAAC,ssh_grids_v1812_1992110612.nc,PODAAC,1,2019-10-15T19:18:34Z,2019-03-01T13:59:51.296Z,SEA_SURFACE_HEIGHT_ALT_GRIDS_L4_2SATS_5DAY_6THDEG_V_JPL1812,ssh_grids_v1812_1992110612.nc,15.858612060546875,,Unspecified,1992-11-06T00:00:00.000Z,1992-11-06T00:00:00.000Z,-79.917,79.917,0.083,180.0,"POLYGON ((180 -79.917, 180 79.917, 0.083 79.917, 0.083 -79.917, 180 -79.917))"
granule,G1646330374-PODAAC,ssh_grids_v1812_1992111112.nc,PODAAC,1,2019-10-15T18:57:43Z,2019-03-01T10:09:30.681Z,SEA_SURFACE_HEIGHT_ALT_GRIDS_L4_2SATS_5DAY_6THDEG_V_JPL1812,ssh_grids_v1812_1992111112.nc,15.858612060546875,,Unspecified,1992-11-11T00:00:00.000Z,1992-11-11T00:00:00.000Z,-79.917,79.917,0.083,180.0,"POLYGON ((180 -79.917, 180 79.917, 0.083 79.917, 0.083 -79.917, 180 -79.917))"
granule,G1646332871-PODAAC,ssh_grids_v1812_1992111612.nc,PODAAC,1,2019-10-15T19:15:51Z,2019-03-01T13:00:42.592Z,SEA_SURFACE_HEIGHT_ALT_GRIDS_L4_2SATS_5DAY_6THDEG_V_JPL1812,ssh_grids_v1812_1992111612.nc,15.858612060546875,,Unspecified,1992-11-16T00:00:00.000Z,1992-11-16T00:00:00.000Z,-79.917,79.917,0.083,180.0,"POLYGON ((180 -79.917, 180 79.917, 0.083 79.917, 0.083 -79.917, 180 -79.917))"
