cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1684287196-PODAAC,GRD-3_2002095-2002120_GRAC_UTCSR_BA01_0600_LND_v03.tif,PODAAC,2,2020-03-14T04:33:04Z,2020-03-11T21:47:14.981Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002095-2002120_GRAC_UTCSR_BA01_0600_LND_v03.tif,0.25261878967285156,,Unspecified,2002-04-05T00:00:00.000Z,2002-04-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684288415-PODAAC,GRD-3_2002095-2002120_GRAC_UTCSR_BA01_0600_LND_v03.txt,PODAAC,1,2020-01-23T17:59:07Z,2020-01-22T21:52:46.756Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002095-2002120_GRAC_UTCSR_BA01_0600_LND_v03.txt,3.1563644409179688,,Unspecified,2002-04-05T00:00:00.000Z,2002-04-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684289896-PODAAC,GRD-3_2002095-2002120_GRAC_UTCSR_BA01_0600_LND_v03.nc,PODAAC,1,2020-01-23T18:01:10Z,2020-01-22T21:37:03.645Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002095-2002120_GRAC_UTCSR_BA01_0600_LND_v03.nc,0.512725830078125,,Unspecified,2002-04-05T00:00:00.000Z,2002-04-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684287640-PODAAC,GRD-3_2002123-2002137_GRAC_UTCSR_BA01_0600_LND_v03.tif,PODAAC,2,2020-03-14T04:33:20Z,2020-03-11T21:57:17.136Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002123-2002137_GRAC_UTCSR_BA01_0600_LND_v03.tif,0.25261878967285156,,Unspecified,2002-05-03T00:00:00.000Z,2002-05-17T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684290445-PODAAC,GRD-3_2002123-2002137_GRAC_UTCSR_BA01_0600_LND_v03.txt,PODAAC,1,2020-01-23T18:02:09Z,2020-01-22T21:25:28.607Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002123-2002137_GRAC_UTCSR_BA01_0600_LND_v03.txt,3.1563644409179688,,Unspecified,2002-05-03T00:00:00.000Z,2002-05-17T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684290495-PODAAC,GRD-3_2002123-2002137_GRAC_UTCSR_BA01_0600_LND_v03.nc,PODAAC,1,2020-01-23T18:02:39Z,2020-01-22T20:51:56.329Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002123-2002137_GRAC_UTCSR_BA01_0600_LND_v03.nc,0.512725830078125,,Unspecified,2002-05-03T00:00:00.000Z,2002-05-17T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684286792-PODAAC,GRD-3_2002213-2002243_GRAC_UTCSR_BA01_0600_LND_v03.txt,PODAAC,1,2020-01-23T17:55:15Z,2020-01-22T20:54:46.419Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002213-2002243_GRAC_UTCSR_BA01_0600_LND_v03.txt,3.1563644409179688,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684289707-PODAAC,GRD-3_2002213-2002243_GRAC_UTCSR_BA01_0600_LND_v03.tif,PODAAC,2,2020-03-14T04:34:03Z,2020-03-11T21:47:01.483Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002213-2002243_GRAC_UTCSR_BA01_0600_LND_v03.tif,0.25261878967285156,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684290459-PODAAC,GRD-3_2002213-2002243_GRAC_UTCSR_BA01_0600_LND_v03.nc,PODAAC,1,2020-01-23T18:02:25Z,2020-01-22T21:40:29.875Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002213-2002243_GRAC_UTCSR_BA01_0600_LND_v03.nc,0.512725830078125,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684287244-PODAAC,GRD-3_2002244-2002273_GRAC_UTCSR_BA01_0600_LND_v03.nc,PODAAC,1,2020-01-23T17:57:10Z,2020-01-22T21:00:26.191Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002244-2002273_GRAC_UTCSR_BA01_0600_LND_v03.nc,0.512725830078125,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684289683-PODAAC,GRD-3_2002244-2002273_GRAC_UTCSR_BA01_0600_LND_v03.txt,PODAAC,1,2020-01-23T18:00:03Z,2020-01-22T21:07:51.975Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002244-2002273_GRAC_UTCSR_BA01_0600_LND_v03.txt,3.1563644409179688,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684290447-PODAAC,GRD-3_2002244-2002273_GRAC_UTCSR_BA01_0600_LND_v03.tif,PODAAC,2,2020-03-14T04:34:54Z,2020-03-11T21:55:57.109Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002244-2002273_GRAC_UTCSR_BA01_0600_LND_v03.tif,0.25261878967285156,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684287222-PODAAC,GRD-3_2002274-2002304_GRAC_UTCSR_BA01_0600_LND_v03.nc,PODAAC,1,2020-01-23T17:57:03Z,2020-01-22T21:12:18.429Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002274-2002304_GRAC_UTCSR_BA01_0600_LND_v03.nc,0.512725830078125,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684288535-PODAAC,GRD-3_2002274-2002304_GRAC_UTCSR_BA01_0600_LND_v03.txt,PODAAC,1,2020-01-23T17:59:12Z,2020-01-22T21:36:24.675Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002274-2002304_GRAC_UTCSR_BA01_0600_LND_v03.txt,3.1563644409179688,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684290226-PODAAC,GRD-3_2002274-2002304_GRAC_UTCSR_BA01_0600_LND_v03.tif,PODAAC,2,2020-03-14T04:34:40Z,2020-03-11T21:46:14.048Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002274-2002304_GRAC_UTCSR_BA01_0600_LND_v03.tif,0.25261878967285156,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684285417-PODAAC,GRD-3_2002305-2002334_GRAC_UTCSR_BA01_0600_LND_v03.txt,PODAAC,1,2020-01-23T17:53:07Z,2020-01-22T21:35:11.881Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002305-2002334_GRAC_UTCSR_BA01_0600_LND_v03.txt,3.1563644409179688,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684285423-PODAAC,GRD-3_2002305-2002334_GRAC_UTCSR_BA01_0600_LND_v03.tif,PODAAC,2,2020-03-14T04:31:32Z,2020-03-11T21:55:19.792Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002305-2002334_GRAC_UTCSR_BA01_0600_LND_v03.tif,0.25261878967285156,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684285588-PODAAC,GRD-3_2002305-2002334_GRAC_UTCSR_BA01_0600_LND_v03.nc,PODAAC,1,2020-01-23T17:53:50Z,2020-01-22T21:19:41.815Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002305-2002334_GRAC_UTCSR_BA01_0600_LND_v03.nc,0.512725830078125,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684286766-PODAAC,GRD-3_2002335-2002365_GRAC_UTCSR_BA01_0600_LND_v03.txt,PODAAC,1,2020-01-23T17:54:59Z,2020-01-22T21:11:46.159Z,TELLUS_GRAC_L3_CSR_RL06_LND_v03,GRD-3_2002335-2002365_GRAC_UTCSR_BA01_0600_LND_v03.txt,3.1563644409179688,,Unspecified,2002-12-01T00:00:00.000Z,2002-12-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
