cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1684280355-PODAAC,GRD-3_2002094-2002120_GRAC_JPLEM_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T17:42:35Z,2020-01-23T02:08:13.882Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002094-2002120_GRAC_JPLEM_BA01_0600_OCN_v03.nc,0.5435314178466797,,Unspecified,2002-04-04T00:00:00.000Z,2002-04-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684280656-PODAAC,GRD-3_2002094-2002120_GRAC_JPLEM_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-14T04:27:55Z,2020-03-11T22:16:28.012Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002094-2002120_GRAC_JPLEM_BA01_0600_OCN_v03.tif,0.252716064453125,,Unspecified,2002-04-04T00:00:00.000Z,2002-04-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684284124-PODAAC,GRD-3_2002094-2002120_GRAC_JPLEM_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T17:49:01Z,2020-01-23T01:56:18.252Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002094-2002120_GRAC_JPLEM_BA01_0600_OCN_v03.txt,3.156461715698242,,Unspecified,2002-04-04T00:00:00.000Z,2002-04-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684280272-PODAAC,GRD-3_2002122-2002138_GRAC_JPLEM_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T17:42:20Z,2020-01-23T02:33:35.374Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002122-2002138_GRAC_JPLEM_BA01_0600_OCN_v03.nc,0.5435314178466797,,Unspecified,2002-05-02T00:00:00.000Z,2002-05-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684284858-PODAAC,GRD-3_2002122-2002138_GRAC_JPLEM_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-14T04:30:41Z,2020-03-11T22:14:51.338Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002122-2002138_GRAC_JPLEM_BA01_0600_OCN_v03.tif,0.252716064453125,,Unspecified,2002-05-02T00:00:00.000Z,2002-05-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684284864-PODAAC,GRD-3_2002122-2002138_GRAC_JPLEM_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T17:51:03Z,2020-01-23T02:23:47.288Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002122-2002138_GRAC_JPLEM_BA01_0600_OCN_v03.txt,3.156461715698242,,Unspecified,2002-05-02T00:00:00.000Z,2002-05-18T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684280584-PODAAC,GRD-3_2002213-2002243_GRAC_JPLEM_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T17:43:24Z,2020-01-23T02:20:20.748Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002213-2002243_GRAC_JPLEM_BA01_0600_OCN_v03.txt,3.156461715698242,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684284629-PODAAC,GRD-3_2002213-2002243_GRAC_JPLEM_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T17:49:30Z,2020-01-23T02:23:33.056Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002213-2002243_GRAC_JPLEM_BA01_0600_OCN_v03.nc,0.5435314178466797,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684284802-PODAAC,GRD-3_2002213-2002243_GRAC_JPLEM_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-14T04:30:34Z,2020-03-11T22:07:56.752Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002213-2002243_GRAC_JPLEM_BA01_0600_OCN_v03.tif,0.252716064453125,,Unspecified,2002-08-01T00:00:00.000Z,2002-08-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684280025-PODAAC,GRD-3_2002244-2002273_GRAC_JPLEM_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T17:41:53Z,2020-01-23T02:10:04.325Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002244-2002273_GRAC_JPLEM_BA01_0600_OCN_v03.nc,0.5435314178466797,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684280508-PODAAC,GRD-3_2002244-2002273_GRAC_JPLEM_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T17:43:05Z,2020-01-23T01:56:33.117Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002244-2002273_GRAC_JPLEM_BA01_0600_OCN_v03.txt,3.156461715698242,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684284640-PODAAC,GRD-3_2002244-2002273_GRAC_JPLEM_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-14T04:30:04Z,2020-03-11T22:15:43.205Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002244-2002273_GRAC_JPLEM_BA01_0600_OCN_v03.tif,0.252716064453125,,Unspecified,2002-09-01T00:00:00.000Z,2002-09-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684280582-PODAAC,GRD-3_2002274-2002304_GRAC_JPLEM_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-14T04:27:45Z,2020-03-11T22:11:24.805Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002274-2002304_GRAC_JPLEM_BA01_0600_OCN_v03.tif,0.252716064453125,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684282557-PODAAC,GRD-3_2002274-2002304_GRAC_JPLEM_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T17:45:17Z,2020-01-23T02:20:43.939Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002274-2002304_GRAC_JPLEM_BA01_0600_OCN_v03.nc,0.5435314178466797,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684284643-PODAAC,GRD-3_2002274-2002304_GRAC_JPLEM_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T17:49:47Z,2020-01-23T01:58:22.094Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002274-2002304_GRAC_JPLEM_BA01_0600_OCN_v03.txt,3.156461715698242,,Unspecified,2002-10-01T00:00:00.000Z,2002-10-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684280215-PODAAC,GRD-3_2002305-2002334_GRAC_JPLEM_BA01_0600_OCN_v03.nc,PODAAC,1,2020-01-23T17:42:06Z,2020-01-23T02:22:53.624Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002305-2002334_GRAC_JPLEM_BA01_0600_OCN_v03.nc,0.5435314178466797,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684281879-PODAAC,GRD-3_2002305-2002334_GRAC_JPLEM_BA01_0600_OCN_v03.tif,PODAAC,2,2020-03-14T04:28:14Z,2020-03-11T22:05:05.947Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002305-2002334_GRAC_JPLEM_BA01_0600_OCN_v03.tif,0.252716064453125,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684284803-PODAAC,GRD-3_2002305-2002334_GRAC_JPLEM_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T17:50:38Z,2020-01-23T02:32:22.985Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002305-2002334_GRAC_JPLEM_BA01_0600_OCN_v03.txt,3.156461715698242,,Unspecified,2002-11-01T00:00:00.000Z,2002-11-30T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
granule,G1684279389-PODAAC,GRD-3_2002335-2002365_GRAC_JPLEM_BA01_0600_OCN_v03.txt,PODAAC,1,2020-01-23T17:40:41Z,2020-01-23T02:33:30.390Z,TELLUS_GRAC_L3_JPL_RL06_OCN_v03,GRD-3_2002335-2002365_GRAC_JPLEM_BA01_0600_OCN_v03.txt,3.156461715698242,,Unspecified,2002-12-01T00:00:00.000Z,2002-12-31T23:59:59.999Z,0.0,0.0,0.0,180.0,"POLYGON ((180 0, 180 0, 0 0, 0 0, 180 0))"
