cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1648592842-PODAAC,ascat_20070101_010300_metopa_01042_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T17:51:41Z,2017-07-21T10:04:04.084Z,ASCATA_L2_25KM_CDR,ascat_20070101_010300_metopa_01042_eps_o_250_ovw.l2.nc,0.38240909576416016,,Unspecified,2007-01-01T01:03:00.000Z,2007-01-01T01:51:41.000Z,-89.31,83.1,24.74,180.0,"POLYGON ((180 -89.31, 180 83.09999999999999, 24.74 83.09999999999999, 24.74 -89.31, 180 -89.31))"
granule,G1648649994-PODAAC,ascat_20070101_015145_metopa_01042_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T18:48:53Z,2017-07-21T14:31:08.905Z,ASCATA_L2_25KM_CDR,ascat_20070101_015145_metopa_01042_eps_o_250_ovw.l2.nc,0.751643180847168,,Unspecified,2007-01-01T01:51:45.000Z,2007-01-01T03:33:03.000Z,-89.31,89.2,0.01,180.0,"POLYGON ((180 -89.31, 180 89.2, 0.01 89.2, 0.01 -89.31, 180 -89.31))"
granule,G1648584696-PODAAC,ascat_20070101_033307_metopa_01043_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T17:44:02Z,2017-07-21T09:22:40.957Z,ASCATA_L2_25KM_CDR,ascat_20070101_033307_metopa_01043_eps_o_250_ovw.l2.nc,0.7719192504882812,,Unspecified,2007-01-01T03:33:07.000Z,2007-01-01T05:14:26.000Z,-89.31,89.2,0.01,180.0,"POLYGON ((180 -89.31, 180 89.2, 0.01 89.2, 0.01 -89.31, 180 -89.31))"
granule,G1648621765-PODAAC,ascat_20070101_051430_metopa_01044_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T18:21:23Z,2017-07-21T12:22:38.645Z,ASCATA_L2_25KM_CDR,ascat_20070101_051430_metopa_01044_eps_o_250_ovw.l2.nc,0.7906856536865234,,Unspecified,2007-01-01T05:14:30.000Z,2007-01-01T06:55:48.000Z,-89.3,89.19,0.0,180.0,"POLYGON ((180 -89.3, 180 89.19, 0 89.19, 0 -89.3, 180 -89.3))"
granule,G1648587450-PODAAC,ascat_20070101_065552_metopa_01045_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T17:47:14Z,2017-07-21T09:47:43.145Z,ASCATA_L2_25KM_CDR,ascat_20070101_065552_metopa_01045_eps_o_250_ovw.l2.nc,0.7933807373046875,,Unspecified,2007-01-01T06:55:52.000Z,2007-01-01T08:37:07.000Z,-89.3,89.19,0.0,180.0,"POLYGON ((180 -89.3, 180 89.19, 0 89.19, 0 -89.3, 180 -89.3))"
granule,G1648616267-PODAAC,ascat_20070101_083711_metopa_01046_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T18:16:51Z,2017-07-21T12:00:46.842Z,ASCATA_L2_25KM_CDR,ascat_20070101_083711_metopa_01046_eps_o_250_ovw.l2.nc,0.4895792007446289,,Unspecified,2007-01-01T08:37:11.000Z,2007-01-01T09:35:56.000Z,-89.29,89.19,0.01,180.0,"POLYGON ((180 -89.29000000000001, 180 89.19, 0.01 89.19, 0.01 -89.29000000000001, 180 -89.29000000000001))"
granule,G1648620955-PODAAC,ascat_20070101_175700_metopa_01052_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T18:20:23Z,2017-07-21T12:17:38.185Z,ASCATA_L2_25KM_CDR,ascat_20070101_175700_metopa_01052_eps_o_250_ovw.l2.nc,0.3878641128540039,,Unspecified,2007-01-01T17:57:00.000Z,2007-01-01T18:45:18.000Z,-89.31,81.73,129.16,180.0,"POLYGON ((180 -89.31, 180 81.73, 129.16 81.73, 129.16 -89.31, 180 -89.31))"
granule,G1648614523-PODAAC,ascat_20070101_184522_metopa_01052_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T18:14:37Z,2017-07-21T11:51:06.261Z,ASCATA_L2_25KM_CDR,ascat_20070101_184522_metopa_01052_eps_o_250_ovw.l2.nc,0.7926712036132812,,Unspecified,2007-01-01T18:45:22.000Z,2007-01-01T20:26:41.000Z,-89.3,89.2,0.01,180.0,"POLYGON ((180 -89.3, 180 89.2, 0.01 89.2, 0.01 -89.3, 180 -89.3))"
granule,G1648605257-PODAAC,ascat_20070101_202645_metopa_01053_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T18:04:47Z,2017-07-21T11:05:04.617Z,ASCATA_L2_25KM_CDR,ascat_20070101_202645_metopa_01053_eps_o_250_ovw.l2.nc,0.8097515106201172,,Unspecified,2007-01-01T20:26:45.000Z,2007-01-01T22:08:00.000Z,-89.3,89.19,0.0,180.0,"POLYGON ((180 -89.3, 180 89.19, 0 89.19, 0 -89.3, 180 -89.3))"
granule,G1648587761-PODAAC,ascat_20070101_220803_metopa_01054_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T17:47:34Z,2017-07-21T09:48:55.798Z,ASCATA_L2_25KM_CDR,ascat_20070101_220803_metopa_01054_eps_o_250_ovw.l2.nc,0.8290824890136719,,Unspecified,2007-01-01T22:08:03.000Z,2007-01-01T23:49:22.000Z,-89.31,89.19,0.0,180.0,"POLYGON ((180 -89.31, 180 89.19, 0 89.19, 0 -89.31, 180 -89.31))"
granule,G1648646828-PODAAC,ascat_20070101_234926_metopa_01055_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T18:46:40Z,2017-07-21T14:20:44.507Z,ASCATA_L2_25KM_CDR,ascat_20070101_234926_metopa_01055_eps_o_250_ovw.l2.nc,0.8182048797607422,,Unspecified,2007-01-01T23:49:26.000Z,2007-01-02T01:30:45.000Z,-89.31,89.2,0.0,180.0,"POLYGON ((180 -89.31, 180 89.2, 0 89.2, 0 -89.31, 180 -89.31))"
granule,G1648620667-PODAAC,ascat_20070102_013048_metopa_01056_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T18:20:02Z,2017-07-21T12:15:16.051Z,ASCATA_L2_25KM_CDR,ascat_20070102_013048_metopa_01056_eps_o_250_ovw.l2.nc,0.7539424896240234,,Unspecified,2007-01-02T01:30:48.000Z,2007-01-02T03:12:07.000Z,-89.3,89.2,0.04,180.0,"POLYGON ((180 -89.3, 180 89.2, 0.04 89.2, 0.04 -89.3, 180 -89.3))"
granule,G1648634830-PODAAC,ascat_20070102_031211_metopa_01057_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T18:34:40Z,2017-07-21T13:24:13.312Z,ASCATA_L2_25KM_CDR,ascat_20070102_031211_metopa_01057_eps_o_250_ovw.l2.nc,0.7705173492431641,,Unspecified,2007-01-02T03:12:11.000Z,2007-01-02T04:53:26.000Z,-89.3,89.19,0.02,180.0,"POLYGON ((180 -89.3, 180 89.19, 0.02 89.19, 0.02 -89.3, 180 -89.3))"
granule,G1648644118-PODAAC,ascat_20070102_045330_metopa_01058_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T18:43:35Z,2017-07-21T14:07:00.334Z,ASCATA_L2_25KM_CDR,ascat_20070102_045330_metopa_01058_eps_o_250_ovw.l2.nc,0.8060216903686523,,Unspecified,2007-01-02T04:53:30.000Z,2007-01-02T06:34:48.000Z,-89.31,89.19,0.01,180.0,"POLYGON ((180 -89.31, 180 89.19, 0.01 89.19, 0.01 -89.31, 180 -89.31))"
granule,G1648635310-PODAAC,ascat_20070102_063452_metopa_01059_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T18:35:15Z,2017-07-21T13:26:22.449Z,ASCATA_L2_25KM_CDR,ascat_20070102_063452_metopa_01059_eps_o_250_ovw.l2.nc,0.7924690246582031,,Unspecified,2007-01-02T06:34:52.000Z,2007-01-02T08:16:11.000Z,-89.31,89.2,0.0,180.0,"POLYGON ((180 -89.31, 180 89.2, 0 89.2, 0 -89.31, 180 -89.31))"
granule,G1648582702-PODAAC,ascat_20070102_081615_metopa_01060_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T17:41:40Z,2017-07-21T09:18:33.612Z,ASCATA_L2_25KM_CDR,ascat_20070102_081615_metopa_01060_eps_o_250_ovw.l2.nc,0.8170814514160156,,Unspecified,2007-01-02T08:16:15.000Z,2007-01-02T09:57:33.000Z,-89.3,89.2,0.0,180.0,"POLYGON ((180 -89.3, 180 89.2, 0 89.2, 0 -89.3, 180 -89.3))"
granule,G1648586203-PODAAC,ascat_20070102_095737_metopa_01061_eps_o_250_ovw.l2.nc,PODAAC,1,2019-10-29T17:45:40Z,2017-07-21T09:34:34.514Z,ASCATA_L2_25KM_CDR,ascat_20070102_095737_metopa_01061_eps_o_250_ovw.l2.nc,0.8486051559448242,,Unspecified,2007-01-02T09:57:37.000Z,2007-01-02T11:38:52.000Z,-89.3,89.19,0.01,180.0,"POLYGON ((180 -89.3, 180 89.19, 0.01 89.19, 0.01 -89.3, 180 -89.3))"
