cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1648246659-PODAAC,ascat_20070101_010300_metopa_01042_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T10:36:22Z,2017-07-21T23:55:03.479Z,ASCATA_L2_COASTAL_CDR,ascat_20070101_010300_metopa_01042_eps_o_coa_ovw.l2.nc,1.4318475723266602,,Unspecified,2007-01-01T01:03:00.000Z,2007-01-01T01:51:41.000Z,-89.3,83.08,24.73,180.0,"POLYGON ((180 -89.3, 180 83.08, 24.73 83.08, 24.73 -89.3, 180 -89.3))"
granule,G1648237169-PODAAC,ascat_20070101_015143_metopa_01042_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T10:13:16Z,2017-07-21T23:04:21.581Z,ASCATA_L2_COASTAL_CDR,ascat_20070101_015143_metopa_01042_eps_o_coa_ovw.l2.nc,2.786433219909668,,Unspecified,2007-01-01T01:51:43.000Z,2007-01-01T03:33:03.000Z,-89.31,89.19,0.01,180.0,"POLYGON ((180 -89.31, 180 89.19, 0.01 89.19, 0.01 -89.31, 180 -89.31))"
granule,G1648269764-PODAAC,ascat_20070101_033305_metopa_01043_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T11:57:38Z,2017-07-21T23:43:37.941Z,ASCATA_L2_COASTAL_CDR,ascat_20070101_033305_metopa_01043_eps_o_coa_ovw.l2.nc,2.8471078872680664,,Unspecified,2007-01-01T03:33:05.000Z,2007-01-01T05:14:26.000Z,-89.31,89.2,0.0,180.0,"POLYGON ((180 -89.31, 180 89.2, 0 89.2, 0 -89.31, 180 -89.31))"
granule,G1648241185-PODAAC,ascat_20070101_051428_metopa_01044_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T10:24:31Z,2017-07-21T23:00:53.463Z,ASCATA_L2_COASTAL_CDR,ascat_20070101_051428_metopa_01044_eps_o_coa_ovw.l2.nc,2.9229230880737305,,Unspecified,2007-01-01T05:14:28.000Z,2007-01-01T06:55:46.000Z,-89.3,89.19,0.0,180.0,"POLYGON ((180 -89.3, 180 89.19, 0 89.19, 0 -89.3, 180 -89.3))"
granule,G1648261468-PODAAC,ascat_20070101_065548_metopa_01045_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T11:22:20Z,2017-07-22T00:48:40.685Z,ASCATA_L2_COASTAL_CDR,ascat_20070101_065548_metopa_01045_eps_o_coa_ovw.l2.nc,2.927882194519043,,Unspecified,2007-01-01T06:55:48.000Z,2007-01-01T08:37:09.000Z,-89.3,89.2,0.0,180.0,"POLYGON ((180 -89.3, 180 89.2, 0 89.2, 0 -89.3, 180 -89.3))"
granule,G1648257142-PODAAC,ascat_20070101_083711_metopa_01046_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T11:11:48Z,2017-07-21T22:45:22.329Z,ASCATA_L2_COASTAL_CDR,ascat_20070101_083711_metopa_01046_eps_o_coa_ovw.l2.nc,1.795588493347168,,Unspecified,2007-01-01T08:37:11.000Z,2007-01-01T09:35:58.000Z,-89.28,89.19,0.0,180.0,"POLYGON ((180 -89.28, 180 89.19, 0 89.19, 0 -89.28, 180 -89.28))"
granule,G1648255136-PODAAC,ascat_20070101_175700_metopa_01052_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T11:04:23Z,2017-07-21T23:59:53.522Z,ASCATA_L2_COASTAL_CDR,ascat_20070101_175700_metopa_01052_eps_o_coa_ovw.l2.nc,1.4086170196533203,,Unspecified,2007-01-01T17:57:00.000Z,2007-01-01T18:45:18.000Z,-89.3,81.72,129.18,180.0,"POLYGON ((180 -89.3, 180 81.72, 129.18 81.72, 129.18 -89.3, 180 -89.3))"
granule,G1648258215-PODAAC,ascat_20070101_184520_metopa_01052_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T11:17:55Z,2017-07-21T23:12:38.285Z,ASCATA_L2_COASTAL_CDR,ascat_20070101_184520_metopa_01052_eps_o_coa_ovw.l2.nc,2.9316177368164062,,Unspecified,2007-01-01T18:45:20.000Z,2007-01-01T20:26:39.000Z,-89.3,89.19,0.0,180.0,"POLYGON ((180 -89.3, 180 89.19, 0 89.19, 0 -89.3, 180 -89.3))"
granule,G1648198044-PODAAC,ascat_20070101_202641_metopa_01053_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T07:31:44Z,2017-07-21T22:44:19.461Z,ASCATA_L2_COASTAL_CDR,ascat_20070101_202641_metopa_01053_eps_o_coa_ovw.l2.nc,2.992283821105957,,Unspecified,2007-01-01T20:26:41.000Z,2007-01-01T22:08:01.000Z,-89.3,89.19,0.0,180.0,"POLYGON ((180 -89.3, 180 89.19, 0 89.19, 0 -89.3, 180 -89.3))"
granule,G1648257499-PODAAC,ascat_20070101_220803_metopa_01054_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T11:14:58Z,2017-07-21T23:06:58.257Z,ASCATA_L2_COASTAL_CDR,ascat_20070101_220803_metopa_01054_eps_o_coa_ovw.l2.nc,3.061404228210449,,Unspecified,2007-01-01T22:08:03.000Z,2007-01-01T23:49:22.000Z,-89.3,89.19,0.0,180.0,"POLYGON ((180 -89.3, 180 89.19, 0 89.19, 0 -89.3, 180 -89.3))"
granule,G1648241246-PODAAC,ascat_20070101_234924_metopa_01055_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T10:24:59Z,2017-07-21T23:36:35.465Z,ASCATA_L2_COASTAL_CDR,ascat_20070101_234924_metopa_01055_eps_o_coa_ovw.l2.nc,3.0464859008789062,,Unspecified,2007-01-01T23:49:24.000Z,2007-01-02T01:30:45.000Z,-89.3,89.19,0.0,180.0,"POLYGON ((180 -89.3, 180 89.19, 0 89.19, 0 -89.3, 180 -89.3))"
granule,G1648249123-PODAAC,ascat_20070102_013046_metopa_01056_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T10:42:14Z,2017-07-22T00:44:28.531Z,ASCATA_L2_COASTAL_CDR,ascat_20070102_013046_metopa_01056_eps_o_coa_ovw.l2.nc,2.801102638244629,,Unspecified,2007-01-02T01:30:46.000Z,2007-01-02T03:12:05.000Z,-89.3,89.19,0.01,180.0,"POLYGON ((180 -89.3, 180 89.19, 0.01 89.19, 0.01 -89.3, 180 -89.3))"
granule,G1648252829-PODAAC,ascat_20070102_031207_metopa_01057_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T10:57:53Z,2017-07-21T23:35:49.835Z,ASCATA_L2_COASTAL_CDR,ascat_20070102_031207_metopa_01057_eps_o_coa_ovw.l2.nc,2.8380022048950195,,Unspecified,2007-01-02T03:12:07.000Z,2007-01-02T04:53:28.000Z,-89.31,89.2,0.0,180.0,"POLYGON ((180 -89.31, 180 89.2, 0 89.2, 0 -89.31, 180 -89.31))"
granule,G1648241572-PODAAC,ascat_20070102_045330_metopa_01058_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T10:27:33Z,2017-07-21T23:03:52.520Z,ASCATA_L2_COASTAL_CDR,ascat_20070102_045330_metopa_01058_eps_o_coa_ovw.l2.nc,2.965595245361328,,Unspecified,2007-01-02T04:53:30.000Z,2007-01-02T06:34:48.000Z,-89.3,89.2,0.0,180.0,"POLYGON ((180 -89.3, 180 89.2, 0 89.2, 0 -89.3, 180 -89.3))"
granule,G1648256918-PODAAC,ascat_20070102_063450_metopa_01059_eps_o_coa_ovw.l2.nc,PODAAC,1,2019-10-29T11:09:16Z,2017-07-21T22:42:12.302Z,ASCATA_L2_COASTAL_CDR,ascat_20070102_063450_metopa_01059_eps_o_coa_ovw.l2.nc,2.9303359985351562,,Unspecified,2007-01-02T06:34:50.000Z,2007-01-02T08:16:11.000Z,-89.3,89.19,0.0,180.0,"POLYGON ((180 -89.3, 180 89.19, 0 89.19, 0 -89.3, 180 -89.3))"
