cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1650317790-PODAAC,oscar_vel1992.nc,PODAAC,1,2019-11-01T17:25:27Z,2018-12-05T02:58:45.667Z,OSCAR_L4_OC_third-deg,oscar_vel1992.nc,69.46012496948242,,Unspecified,1992-10-21T00:00:00.000Z,1992-12-26T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1650317694-PODAAC,oscar_vel1993.nc,PODAAC,1,2019-11-01T17:25:07Z,2018-12-05T01:32:21.470Z,OSCAR_L4_OC_third-deg,oscar_vel1993.nc,360.66659927368164,,Unspecified,1993-01-01T00:00:00.000Z,1993-12-26T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1650317906-PODAAC,oscar_vel1994.nc,PODAAC,1,2019-11-01T17:25:50Z,2018-12-04T23:53:20.267Z,OSCAR_L4_OC_third-deg,oscar_vel1994.nc,358.25468826293945,,Unspecified,1994-01-01T00:00:00.000Z,1994-12-26T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1650317860-PODAAC,oscar_vel1995.nc,PODAAC,1,2019-11-01T17:25:42Z,2018-12-05T01:01:38.367Z,OSCAR_L4_OC_third-deg,oscar_vel1995.nc,361.08964824676514,,Unspecified,1995-01-01T00:00:00.000Z,1995-12-26T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1650318011-PODAAC,oscar_vel1996.nc,PODAAC,1,2019-11-01T17:26:07Z,2018-12-05T04:15:04.062Z,OSCAR_L4_OC_third-deg,oscar_vel1996.nc,360.60534858703613,,Unspecified,1996-01-01T00:00:00.000Z,1996-12-26T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1650317770-PODAAC,oscar_vel1997.nc,PODAAC,1,2019-11-01T17:25:25Z,2018-12-04T22:41:37.842Z,OSCAR_L4_OC_third-deg,oscar_vel1997.nc,362.966383934021,,Unspecified,1997-01-01T00:00:00.000Z,1997-12-26T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1650318053-PODAAC,oscar_vel1998.nc,PODAAC,1,2019-11-01T17:26:23Z,2018-12-04T23:27:53.265Z,OSCAR_L4_OC_third-deg,oscar_vel1998.nc,359.828462600708,,Unspecified,1998-01-01T00:00:00.000Z,1998-12-26T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1650317808-PODAAC,oscar_vel1999.nc,PODAAC,1,2019-11-01T17:25:31Z,2018-12-04T23:40:42.453Z,OSCAR_L4_OC_third-deg,oscar_vel1999.nc,368.58440589904785,,Unspecified,1999-01-01T00:00:00.000Z,1999-12-26T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1650318104-PODAAC,oscar_vel2000.nc,PODAAC,1,2019-11-01T17:26:42Z,2018-12-04T22:55:10.782Z,OSCAR_L4_OC_third-deg,oscar_vel2000.nc,401.76608180999756,,Unspecified,2000-01-01T00:00:00.000Z,2000-12-26T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1650318044-PODAAC,oscar_vel2001.nc,PODAAC,1,2019-11-01T17:26:18Z,2018-12-05T00:28:50.728Z,OSCAR_L4_OC_third-deg,oscar_vel2001.nc,399.2180757522583,,Unspecified,2001-01-01T00:00:00.000Z,2001-12-26T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
