cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1653205293-PODAAC,oisst.1981,PODAAC,1,2019-11-06T22:42:37Z,2016-12-23T19:02:24.463Z,REYNOLDS_NCEP_L4_SST_OPT_INTERP_WEEKLY_V2,oisst.1981,2.1573286056518555,,Unspecified,1981-01-01T00:00:00.000Z,1981-12-31T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1653202658-PODAAC,oisst.19811101,PODAAC,1,2019-11-06T22:31:00Z,2014-03-19T02:09:47.053Z,REYNOLDS_NCEP_L4_SST_OPT_INTERP_WEEKLY_V2,oisst.19811101,0.21657943725585938,,Unspecified,1981-10-29T00:00:00.000Z,1981-11-04T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1653201563-PODAAC,oisst.19811108,PODAAC,1,2019-11-06T22:26:21Z,2014-03-19T04:05:15.395Z,REYNOLDS_NCEP_L4_SST_OPT_INTERP_WEEKLY_V2,oisst.19811108,0.24142169952392578,,Unspecified,1981-11-05T00:00:00.000Z,1981-11-11T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1653204927-PODAAC,oisst.19811115,PODAAC,1,2019-11-06T22:40:52Z,2014-03-19T01:12:15.838Z,REYNOLDS_NCEP_L4_SST_OPT_INTERP_WEEKLY_V2,oisst.19811115,0.243133544921875,,Unspecified,1981-11-12T00:00:00.000Z,1981-11-18T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1653199471-PODAAC,oisst.19811122,PODAAC,2,2019-11-06T22:14:54Z,2014-03-19T02:13:13.766Z,REYNOLDS_NCEP_L4_SST_OPT_INTERP_WEEKLY_V2,oisst.19811122,0.2419586181640625,,Unspecified,1981-11-19T00:00:00.000Z,1981-11-25T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1653200346-PODAAC,oisst.19811129,PODAAC,1,2019-11-06T22:19:13Z,2014-03-19T03:20:52.197Z,REYNOLDS_NCEP_L4_SST_OPT_INTERP_WEEKLY_V2,oisst.19811129,0.24205970764160156,,Unspecified,1981-11-26T00:00:00.000Z,1981-12-02T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1653202453-PODAAC,oisst.19811206,PODAAC,1,2019-11-06T22:29:18Z,2014-03-19T02:06:59.497Z,REYNOLDS_NCEP_L4_SST_OPT_INTERP_WEEKLY_V2,oisst.19811206,0.24237918853759766,,Unspecified,1981-12-03T00:00:00.000Z,1981-12-09T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1653202630-PODAAC,oisst.19811213,PODAAC,1,2019-11-06T22:30:45Z,2014-03-19T02:09:20.393Z,REYNOLDS_NCEP_L4_SST_OPT_INTERP_WEEKLY_V2,oisst.19811213,0.24265003204345703,,Unspecified,1981-12-10T00:00:00.000Z,1981-12-16T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1653199810-PODAAC,oisst.19811220,PODAAC,1,2019-11-06T22:17:33Z,2014-03-19T03:00:48.633Z,REYNOLDS_NCEP_L4_SST_OPT_INTERP_WEEKLY_V2,oisst.19811220,0.24251651763916016,,Unspecified,1981-12-17T00:00:00.000Z,1981-12-23T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1653183400-PODAAC,oisst.19811227,PODAAC,1,2019-11-06T21:18:19Z,2014-03-19T01:12:27.292Z,REYNOLDS_NCEP_L4_SST_OPT_INTERP_WEEKLY_V2,oisst.19811227,0.2425670623779297,,Unspecified,1981-12-24T00:00:00.000Z,1981-12-30T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1653204947-PODAAC,oisst.19820103,PODAAC,1,2019-11-06T22:41:05Z,2014-03-19T01:12:41.931Z,REYNOLDS_NCEP_L4_SST_OPT_INTERP_WEEKLY_V2,oisst.19820103,0.24209308624267578,,Unspecified,1981-12-31T00:00:00.000Z,1982-01-06T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
granule,G1653205581-PODAAC,oisst.1982,PODAAC,1,2019-11-06T22:42:58Z,2016-12-23T19:15:41.645Z,REYNOLDS_NCEP_L4_SST_OPT_INTERP_WEEKLY_V2,oisst.1982,12.59431266784668,,Unspecified,1982-01-01T00:00:00.000Z,1982-12-31T23:59:59.000Z,0.0,0.0,0.0,0.0,"POLYGON ((0 0, 0 0, 0 0, 0 0))"
