cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1653297738-PODAAC,os2_l2b2010016_01665_01666.nc,PODAAC,1,2019-11-07T02:11:34Z,2016-07-17T20:13:26.588Z,OS2_OSCAT_LEVEL_2B_OWV_COMP_12_V2,os2_l2b2010016_01665_01666.nc,10.556408882141113,,Unspecified,2010-01-16T00:25:23.002Z,2010-01-16T02:04:41.083Z,-89.946,89.946,0.001,180.0,"POLYGON ((180 -89.946, 180 89.946, 0.001 89.946, 0.001 -89.946, 180 -89.946))"
granule,G1653247222-PODAAC,os2_l2b2010016_01666_01667.nc,PODAAC,1,2019-11-07T00:37:27Z,2016-07-17T20:12:30.765Z,OS2_OSCAT_LEVEL_2B_OWV_COMP_12_V2,os2_l2b2010016_01666_01667.nc,8.27291202545166,,Unspecified,2010-01-16T02:04:41.083Z,2010-01-16T03:44:00.065Z,-89.946,89.946,0.001,180.0,"POLYGON ((180 -89.946, 180 89.946, 0.001 89.946, 0.001 -89.946, 180 -89.946))"
granule,G1653272217-PODAAC,os2_l2b2010016_01667_01668.nc,PODAAC,1,2019-11-07T01:17:47Z,2016-07-17T20:14:11.195Z,OS2_OSCAT_LEVEL_2B_OWV_COMP_12_V2,os2_l2b2010016_01667_01668.nc,7.3603668212890625,,Unspecified,2010-01-16T03:44:00.065Z,2010-01-16T05:23:19.032Z,-89.946,89.946,0.003,180.0,"POLYGON ((180 -89.946, 180 89.946, 0.003 89.946, 0.003 -89.946, 180 -89.946))"
granule,G1653311171-PODAAC,os2_l2b2010016_01668_01669.nc,PODAAC,1,2019-11-07T02:38:52Z,2016-07-19T22:09:02.774Z,OS2_OSCAT_LEVEL_2B_OWV_COMP_12_V2,os2_l2b2010016_01668_01669.nc,8.32040023803711,,Unspecified,2010-01-16T05:23:19.032Z,2010-01-16T07:02:38.027Z,-89.946,89.946,0.001,180.0,"POLYGON ((180 -89.946, 180 89.946, 0.001 89.946, 0.001 -89.946, 180 -89.946))"
granule,G1653302769-PODAAC,os2_l2b2010016_01669_01670.nc,PODAAC,1,2019-11-07T02:20:27Z,2016-07-17T20:14:26.691Z,OS2_OSCAT_LEVEL_2B_OWV_COMP_12_V2,os2_l2b2010016_01669_01670.nc,9.638008117675781,,Unspecified,2010-01-16T07:02:38.027Z,2010-01-16T08:41:57.008Z,-89.946,89.946,0.001,180.0,"POLYGON ((180 -89.946, 180 89.946, 0.001 89.946, 0.001 -89.946, 180 -89.946))"
granule,G1653327578-PODAAC,os2_l2b2010016_01670_01671.nc,PODAAC,1,2019-11-07T03:23:48Z,2016-07-17T20:12:45.617Z,OS2_OSCAT_LEVEL_2B_OWV_COMP_12_V2,os2_l2b2010016_01670_01671.nc,8.7738618850708,,Unspecified,2010-01-16T08:41:57.008Z,2010-01-16T10:21:15.089Z,-89.946,89.946,0.001,180.0,"POLYGON ((180 -89.946, 180 89.946, 0.001 89.946, 0.001 -89.946, 180 -89.946))"
granule,G1653393091-PODAAC,os2_l2b2010016_01671_01672.nc,PODAAC,1,2019-11-07T05:47:48Z,2016-07-17T20:11:35.582Z,OS2_OSCAT_LEVEL_2B_OWV_COMP_12_V2,os2_l2b2010016_01671_01672.nc,8.627339363098145,,Unspecified,2010-01-16T10:21:15.089Z,2010-01-16T12:00:34.071Z,-89.946,89.946,0.0,180.0,"POLYGON ((180 -89.946, 180 89.946, 0 89.946, 0 -89.946, 180 -89.946))"
granule,G1653343080-PODAAC,os2_l2b2010016_01672_01673.nc,PODAAC,1,2019-11-07T03:56:31Z,2016-07-17T20:11:48.531Z,OS2_OSCAT_LEVEL_2B_OWV_COMP_12_V2,os2_l2b2010016_01672_01673.nc,8.984770774841309,,Unspecified,2010-01-16T12:00:34.071Z,2010-01-16T13:39:53.016Z,-89.946,89.946,0.0,180.0,"POLYGON ((180 -89.946, 180 89.946, 0 89.946, 0 -89.946, 180 -89.946))"
granule,G1653299286-PODAAC,os2_l2b2010016_01673_01674.nc,PODAAC,1,2019-11-07T02:13:55Z,2016-07-17T20:10:07.044Z,OS2_OSCAT_LEVEL_2B_OWV_COMP_12_V2,os2_l2b2010016_01673_01674.nc,9.280890464782715,,Unspecified,2010-01-16T13:39:53.016Z,2010-01-16T15:19:12.033Z,-89.946,89.946,0.0,180.0,"POLYGON ((180 -89.946, 180 89.946, 0 89.946, 0 -89.946, 180 -89.946))"
granule,G1653424016-PODAAC,os2_l2b2010016_01674_01675.nc,PODAAC,1,2019-11-07T07:20:37Z,2016-07-17T20:11:20.694Z,OS2_OSCAT_LEVEL_2B_OWV_COMP_12_V2,os2_l2b2010016_01674_01675.nc,6.463804244995117,,Unspecified,2010-01-16T15:19:12.033Z,2010-01-16T16:58:31.014Z,-89.946,89.946,0.004,180.0,"POLYGON ((180 -89.946, 180 89.946, 0.004 89.946, 0.004 -89.946, 180 -89.946))"
