cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1667315816-PODAAC,qs_l2b_01853_v4.0_199910271518.nc,PODAAC,1,2019-12-11T20:13:23Z,2018-02-09T04:13:53.506Z,QSCAT_LEVEL_2B_OWV_COMP_12_KUSST_LCRES_4.0,qs_l2b_01853_v4.0_199910271518.nc,20.99710750579834,,Unspecified,1999-10-27T15:18:34.048Z,1999-10-27T16:59:37.062Z,-89.876,89.876,0.001,180.0,"POLYGON ((180 -89.876, 180 89.876, 0.001 89.876, 0.001 -89.876, 180 -89.876))"
granule,G1667315656-PODAAC,qs_l2b_01854_v4.0_199910271659.nc,PODAAC,1,2019-12-11T20:11:57Z,2018-02-09T04:06:04.565Z,QSCAT_LEVEL_2B_OWV_COMP_12_KUSST_LCRES_4.0,qs_l2b_01854_v4.0_199910271659.nc,25.347286224365234,,Unspecified,1999-10-27T16:59:37.062Z,1999-10-27T18:40:40.070Z,-89.875,89.875,0.0,180.0,"POLYGON ((180 -89.875, 180 89.875, 0 89.875, 0 -89.875, 180 -89.875))"
granule,G1667316808-PODAAC,qs_l2b_01855_v4.0_199910271840.nc,PODAAC,1,2019-12-11T20:24:40Z,2018-02-09T05:17:05.202Z,QSCAT_LEVEL_2B_OWV_COMP_12_KUSST_LCRES_4.0,qs_l2b_01855_v4.0_199910271840.nc,27.407434463500977,,Unspecified,1999-10-27T18:40:40.070Z,1999-10-27T20:21:43.081Z,-89.875,89.875,0.001,180.0,"POLYGON ((180 -89.875, 180 89.875, 0.001 89.875, 0.001 -89.875, 180 -89.875))"
granule,G1667316368-PODAAC,qs_l2b_01856_v4.0_199910272021.nc,PODAAC,1,2019-12-11T20:19:39Z,2018-02-09T04:47:35.586Z,QSCAT_LEVEL_2B_OWV_COMP_12_KUSST_LCRES_4.0,qs_l2b_01856_v4.0_199910272021.nc,22.15995979309082,,Unspecified,1999-10-27T20:21:43.081Z,1999-10-27T22:02:46.083Z,-89.874,89.874,0.001,180.0,"POLYGON ((180 -89.874, 180 89.874, 0.001 89.874, 0.001 -89.874, 180 -89.874))"
granule,G1667315739-PODAAC,qs_l2b_01857_v4.0_199910272202.nc,PODAAC,1,2019-12-11T20:12:52Z,2018-02-09T04:11:48.408Z,QSCAT_LEVEL_2B_OWV_COMP_12_KUSST_LCRES_4.0,qs_l2b_01857_v4.0_199910272202.nc,21.215219497680664,,Unspecified,1999-10-27T22:02:46.083Z,1999-10-27T23:43:50.002Z,-89.877,89.877,0.006,180.0,"POLYGON ((180 -89.877, 180 89.877, 0.006 89.877, 0.006 -89.877, 180 -89.877))"
granule,G1667316012-PODAAC,qs_l2b_01858_v4.0_199910272343.nc,PODAAC,1,2019-12-11T20:15:23Z,2018-02-09T04:25:01.779Z,QSCAT_LEVEL_2B_OWV_COMP_12_KUSST_LCRES_4.0,qs_l2b_01858_v4.0_199910272343.nc,21.40719223022461,,Unspecified,1999-10-27T23:43:50.002Z,1999-10-28T01:24:53.026Z,-89.876,89.876,0.002,180.0,"POLYGON ((180 -89.876, 180 89.876, 0.002 89.876, 0.002 -89.876, 180 -89.876))"
granule,G1667316734-PODAAC,qs_l2b_01859_v4.0_199910280124.nc,PODAAC,1,2019-12-11T20:23:47Z,2018-02-09T05:11:49.321Z,QSCAT_LEVEL_2B_OWV_COMP_12_KUSST_LCRES_4.0,qs_l2b_01859_v4.0_199910280124.nc,23.938289642333984,,Unspecified,1999-10-28T01:24:53.026Z,1999-10-28T03:05:56.043Z,-89.877,89.877,0.015,180.0,"POLYGON ((180 -89.877, 180 89.877, 0.015 89.877, 0.015 -89.877, 180 -89.877))"
granule,G1667316066-PODAAC,qs_l2b_01860_v4.0_199910280305.nc,PODAAC,1,2019-12-11T20:15:45Z,2018-02-09T04:26:22.295Z,QSCAT_LEVEL_2B_OWV_COMP_12_KUSST_LCRES_4.0,qs_l2b_01860_v4.0_199910280305.nc,23.708223342895508,,Unspecified,1999-10-28T03:05:56.043Z,1999-10-28T04:46:59.050Z,-89.876,89.876,0.001,180.0,"POLYGON ((180 -89.876, 180 89.876, 0.001 89.876, 0.001 -89.876, 180 -89.876))"
granule,G1667317525-PODAAC,qs_l2b_01861_v4.0_199910280446.nc,PODAAC,1,2019-12-11T20:30:08Z,2018-02-09T05:46:35.440Z,QSCAT_LEVEL_2B_OWV_COMP_12_KUSST_LCRES_4.0,qs_l2b_01861_v4.0_199910280446.nc,22.91379737854004,,Unspecified,1999-10-28T04:46:59.050Z,1999-10-28T06:28:02.055Z,-89.874,89.874,0.0,180.0,"POLYGON ((180 -89.874, 180 89.874, 0 89.874, 0 -89.874, 180 -89.874))"
granule,G1667316434-PODAAC,qs_l2b_01862_v4.0_199910280628.nc,PODAAC,1,2019-12-11T20:20:10Z,2018-02-09T04:51:43.032Z,QSCAT_LEVEL_2B_OWV_COMP_12_KUSST_LCRES_4.0,qs_l2b_01862_v4.0_199910280628.nc,26.19850730895996,,Unspecified,1999-10-28T06:28:02.055Z,1999-10-28T08:09:05.060Z,-89.873,89.873,0.0,180.0,"POLYGON ((180 -89.873, 180 89.873, 0 89.873, 0 -89.873, 180 -89.873))"
