cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1705218705-PODAAC,SMAP_L2B_SSS_NRT_27038_A_20200223T070313.h5,PODAAC,1,2020-03-11T15:27:31Z,2020-02-24T18:16:52.224Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27038_A_20200223T070313.h5,10.335548400878906,,Unspecified,2020-02-23T07:03:13.000Z,2020-02-23T08:41:40.000Z,-86.567,86.243,179.987,-179.994,"POLYGON ((-179.994 -86.56699999999999, -179.994 86.24299999999999, 179.987 86.24299999999999, 179.987 -86.56699999999999, -179.994 -86.56699999999999))"
granule,G1705220063-PODAAC,SMAP_L2B_SSS_NRT_27038_D_20200223T070313.h5,PODAAC,1,2020-03-11T15:35:52Z,2020-02-24T18:17:00.162Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27038_D_20200223T070313.h5,10.335548400878906,,Unspecified,2020-02-23T07:03:13.000Z,2020-02-23T08:41:40.000Z,-86.549,81.331,61.281,-130.119,"POLYGON ((-130.119 -86.54900000000001, -130.119 81.331, 61.281 81.331, 61.281 -86.54900000000001, -130.119 -86.54900000000001))"
granule,G1705218950-PODAAC,SMAP_L2B_SSS_NRT_27054_D_20200224T091836.h5,PODAAC,1,2020-03-11T15:28:56Z,2020-02-24T19:53:34.331Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27054_D_20200224T091836.h5,10.335548400878906,,Unspecified,2020-02-24T09:18:36.000Z,2020-02-24T10:57:03.000Z,-86.554,83.493,26.184,-164.175,"POLYGON ((-164.175 -86.554, -164.175 83.49299999999999, 26.184 83.49299999999999, 26.184 -86.554, -164.175 -86.554))"
granule,G1705218706-PODAAC,SMAP_L2B_SSS_NRT_27056_D_20200224T123531.h5,PODAAC,1,2020-03-11T15:27:33Z,2020-02-24T18:17:04.239Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27056_D_20200224T123531.h5,10.335548400878906,,Unspecified,2020-02-24T12:35:31.000Z,2020-02-24T14:13:58.000Z,-86.563,83.588,179.99,-179.942,"POLYGON ((-179.942 -86.563, -179.942 83.58799999999999, 179.99 83.58799999999999, 179.99 -86.563, -179.942 -86.563))"
granule,G1705220049-PODAAC,SMAP_L2B_SSS_NRT_27056_A_20200224T123531.h5,PODAAC,1,2020-03-11T15:35:43Z,2020-02-24T18:17:12.168Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27056_A_20200224T123531.h5,10.335548400878906,,Unspecified,2020-02-24T12:35:31.000Z,2020-02-24T14:13:58.000Z,-86.575,81.781,170.595,-21.019,"POLYGON ((-21.019 -86.575, -21.019 81.78100000000001, 170.595 81.78100000000001, 170.595 -86.575, -21.019 -86.575))"
granule,G1705218933-PODAAC,SMAP_L2B_SSS_NRT_27057_D_20200224T141400.h5,PODAAC,1,2020-03-11T15:28:55Z,2020-02-24T19:53:29.648Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27057_D_20200224T141400.h5,10.335548400878906,,Unspecified,2020-02-24T14:14:00.000Z,2020-02-24T15:52:27.000Z,-86.575,83.077,179.975,-179.957,"POLYGON ((-179.957 -86.575, -179.957 83.077, 179.975 83.077, 179.975 -86.575, -179.957 -86.575))"
granule,G1705220166-PODAAC,SMAP_L2B_SSS_NRT_27057_A_20200224T141400.h5,PODAAC,1,2020-03-11T15:36:57Z,2020-02-24T19:53:42.253Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27057_A_20200224T141400.h5,10.335548400878906,,Unspecified,2020-02-24T14:14:00.000Z,2020-02-24T15:52:27.000Z,-86.567,83.621,146.027,-45.574,"POLYGON ((-45.574 -86.56699999999999, -45.574 83.621, 146.027 83.621, 146.027 -86.56699999999999, -45.574 -86.56699999999999))"
granule,G1705218733-PODAAC,SMAP_L2B_SSS_NRT_27058_D_20200224T155227.h5,PODAAC,1,2020-03-11T15:28:00Z,2020-02-24T21:20:30.111Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27058_D_20200224T155227.h5,10.335548400878906,,Unspecified,2020-02-24T15:52:27.000Z,2020-02-24T17:30:54.000Z,-86.555,83.153,179.995,-179.997,"POLYGON ((-179.997 -86.55500000000001, -179.997 83.15300000000001, 179.995 83.15300000000001, 179.995 -86.55500000000001, -179.997 -86.55500000000001))"
granule,G1705220164-PODAAC,SMAP_L2B_SSS_NRT_27058_A_20200224T155227.h5,PODAAC,1,2020-03-11T15:36:55Z,2020-02-24T19:53:23.163Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27058_A_20200224T155227.h5,10.335548400878906,,Unspecified,2020-02-24T15:52:27.000Z,2020-02-24T17:30:54.000Z,-86.572,83.596,121.316,-70.013,"POLYGON ((-70.01300000000001 -86.572, -70.01300000000001 83.596, 121.316 83.596, 121.316 -86.572, -70.01300000000001 -86.572))"
granule,G1705218754-PODAAC,SMAP_L2B_SSS_NRT_27059_D_20200224T173054.h5,PODAAC,1,2020-03-11T15:28:20Z,2020-02-24T22:58:18.590Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27059_D_20200224T173054.h5,10.335548400878906,,Unspecified,2020-02-24T17:30:54.000Z,2020-02-24T19:09:21.000Z,-86.549,80.459,179.995,180.0,"POLYGON ((180 -86.54900000000001, 180 80.459, 179.995 80.459, 179.995 -86.54900000000001, 180 -86.54900000000001))"
granule,G1705219987-PODAAC,SMAP_L2B_SSS_NRT_27059_A_20200224T173054.h5,PODAAC,1,2020-03-11T15:35:00Z,2020-02-25T00:18:43.455Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27059_A_20200224T173054.h5,10.335548400878906,,Unspecified,2020-02-24T17:30:54.000Z,2020-02-24T19:09:21.000Z,-86.567,83.548,96.815,-95.036,"POLYGON ((-95.036 -86.56699999999999, -95.036 83.548, 96.815 83.548, 96.815 -86.56699999999999, -95.036 -86.56699999999999))"
granule,G1705218719-PODAAC,SMAP_L2B_SSS_NRT_27060_D_20200224T190923.h5,PODAAC,1,2020-03-11T15:27:43Z,2020-02-25T00:18:43.245Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27060_D_20200224T190923.h5,10.335548400878906,,Unspecified,2020-02-24T19:09:23.000Z,2020-02-24T20:47:50.000Z,-86.554,71.535,179.998,-179.938,"POLYGON ((-179.938 -86.554, -179.938 71.535, 179.998 71.535, 179.998 -86.554, -179.938 -86.554))"
granule,G1705218745-PODAAC,SMAP_L2B_SSS_NRT_27060_A_20200224T190923.h5,PODAAC,1,2020-03-11T15:28:08Z,2020-02-24T22:58:12.572Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27060_A_20200224T190923.h5,10.335548400878906,,Unspecified,2020-02-24T19:09:23.000Z,2020-02-24T20:47:50.000Z,-86.572,83.136,71.977,-119.318,"POLYGON ((-119.318 -86.572, -119.318 83.136, 71.977 83.136, 71.977 -86.572, -119.318 -86.572))"
granule,G1705218709-PODAAC,SMAP_L2B_SSS_NRT_27061_D_20200224T204750.h5,PODAAC,1,2020-03-11T15:27:37Z,2020-02-25T01:44:13.117Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27061_D_20200224T204750.h5,10.335548400878906,,Unspecified,2020-02-24T20:47:50.000Z,2020-02-24T22:26:17.000Z,-86.527,75.925,161.876,23.649,"POLYGON ((23.649 -86.527, 23.649 75.925, 161.876 75.925, 161.876 -86.527, 23.649 -86.527))"
granule,G1705218710-PODAAC,SMAP_L2B_SSS_NRT_27061_A_20200224T204750.h5,PODAAC,1,2020-03-11T15:27:38Z,2020-02-25T01:44:19.518Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27061_A_20200224T204750.h5,10.335548400878906,,Unspecified,2020-02-24T20:47:50.000Z,2020-02-24T22:26:17.000Z,-86.566,82.615,47.545,-122.485,"POLYGON ((-122.485 -86.566, -122.485 82.61499999999999, 47.545 82.61499999999999, 47.545 -86.566, -122.485 -86.566))"
granule,G1705218730-PODAAC,SMAP_L2B_SSS_NRT_27062_A_20200224T222617.h5,PODAAC,1,2020-03-11T15:27:56Z,2020-02-25T02:46:36.565Z,SMAP_JPL_L2B_NRT_SSS_CAP_V43,SMAP_L2B_SSS_NRT_27062_A_20200224T222617.h5,10.335548400878906,,Unspecified,2020-02-24T22:26:17.000Z,2020-02-25T00:04:44.000Z,-86.576,79.298,22.759,-124.79,"POLYGON ((-124.79 -86.57599999999999, -124.79 79.298, 22.759 79.298, 22.759 -86.57599999999999, -124.79 -86.57599999999999))"
