cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1650313266-PODAAC,RSS_smap_SSS_L3_monthly_2015_04_FNL_v04.0.nc,PODAAC,1,2019-11-01T16:43:31Z,2019-08-29T19:46:17.546Z,SMAP_RSS_L3_SSS_SMI_MONTHLY_V4,RSS_smap_SSS_L3_monthly_2015_04_FNL_v04.0.nc,11.732507705688477,,Unspecified,2015-04-01T00:00:00.000Z,2015-04-30T23:59:59.000Z,-89.875,89.875,0.125,180.0,"POLYGON ((180 -89.875, 180 89.875, 0.125 89.875, 0.125 -89.875, 180 -89.875))"
granule,G1650313249-PODAAC,RSS_smap_SSS_L3_monthly_2015_05_FNL_v04.0.nc,PODAAC,1,2019-11-01T16:43:18Z,2019-08-29T19:49:43.134Z,SMAP_RSS_L3_SSS_SMI_MONTHLY_V4,RSS_smap_SSS_L3_monthly_2015_05_FNL_v04.0.nc,11.572336196899414,,Unspecified,2015-05-01T00:00:00.000Z,2015-05-31T23:59:59.000Z,-89.875,89.875,0.125,180.0,"POLYGON ((180 -89.875, 180 89.875, 0.125 89.875, 0.125 -89.875, 180 -89.875))"
granule,G1650313260-PODAAC,RSS_smap_SSS_L3_monthly_2015_06_FNL_v04.0.nc,PODAAC,1,2019-11-01T16:43:25Z,2019-08-29T19:50:25.249Z,SMAP_RSS_L3_SSS_SMI_MONTHLY_V4,RSS_smap_SSS_L3_monthly_2015_06_FNL_v04.0.nc,11.484053611755371,,Unspecified,2015-06-01T00:00:00.000Z,2015-06-30T23:59:59.000Z,-89.875,89.875,0.125,180.0,"POLYGON ((180 -89.875, 180 89.875, 0.125 89.875, 0.125 -89.875, 180 -89.875))"
granule,G1650313236-PODAAC,RSS_smap_SSS_L3_monthly_2015_07_FNL_v04.0.nc,PODAAC,1,2019-11-01T16:43:06Z,2019-08-29T19:46:48.979Z,SMAP_RSS_L3_SSS_SMI_MONTHLY_V4,RSS_smap_SSS_L3_monthly_2015_07_FNL_v04.0.nc,11.513849258422852,,Unspecified,2015-07-01T00:00:00.000Z,2015-07-31T23:59:59.000Z,-89.875,89.875,0.125,180.0,"POLYGON ((180 -89.875, 180 89.875, 0.125 89.875, 0.125 -89.875, 180 -89.875))"
granule,G1650313226-PODAAC,RSS_smap_SSS_L3_monthly_2015_08_FNL_v04.0.nc,PODAAC,1,2019-11-01T16:42:56Z,2019-08-29T19:45:23.923Z,SMAP_RSS_L3_SSS_SMI_MONTHLY_V4,RSS_smap_SSS_L3_monthly_2015_08_FNL_v04.0.nc,11.657567024230957,,Unspecified,2015-08-01T00:00:00.000Z,2015-08-31T23:59:59.000Z,-89.875,89.875,0.125,180.0,"POLYGON ((180 -89.875, 180 89.875, 0.125 89.875, 0.125 -89.875, 180 -89.875))"
granule,G1650313214-PODAAC,RSS_smap_SSS_L3_monthly_2015_09_FNL_v04.0.nc,PODAAC,1,2019-11-01T16:42:45Z,2019-08-29T19:48:17.764Z,SMAP_RSS_L3_SSS_SMI_MONTHLY_V4,RSS_smap_SSS_L3_monthly_2015_09_FNL_v04.0.nc,11.6930570602417,,Unspecified,2015-09-01T00:00:00.000Z,2015-09-30T23:59:59.000Z,-89.875,89.875,0.125,180.0,"POLYGON ((180 -89.875, 180 89.875, 0.125 89.875, 0.125 -89.875, 180 -89.875))"
granule,G1650313239-PODAAC,RSS_smap_SSS_L3_monthly_2015_10_FNL_v04.0.nc,PODAAC,1,2019-11-01T16:43:10Z,2019-08-29T19:47:35.181Z,SMAP_RSS_L3_SSS_SMI_MONTHLY_V4,RSS_smap_SSS_L3_monthly_2015_10_FNL_v04.0.nc,11.607009887695312,,Unspecified,2015-10-01T00:00:00.000Z,2015-10-31T23:59:59.000Z,-89.875,89.875,0.125,180.0,"POLYGON ((180 -89.875, 180 89.875, 0.125 89.875, 0.125 -89.875, 180 -89.875))"
granule,G1650313185-PODAAC,RSS_smap_SSS_L3_monthly_2015_11_FNL_v04.0.nc,PODAAC,1,2019-11-01T16:42:44Z,2019-08-29T19:47:53.981Z,SMAP_RSS_L3_SSS_SMI_MONTHLY_V4,RSS_smap_SSS_L3_monthly_2015_11_FNL_v04.0.nc,11.53281307220459,,Unspecified,2015-11-01T00:00:00.000Z,2015-11-30T23:59:59.000Z,-89.875,89.875,0.125,180.0,"POLYGON ((180 -89.875, 180 89.875, 0.125 89.875, 0.125 -89.875, 180 -89.875))"
granule,G1650313257-PODAAC,RSS_smap_SSS_L3_monthly_2015_12_FNL_v04.0.nc,PODAAC,1,2019-11-01T16:43:22Z,2019-08-29T19:49:28.705Z,SMAP_RSS_L3_SSS_SMI_MONTHLY_V4,RSS_smap_SSS_L3_monthly_2015_12_FNL_v04.0.nc,11.686942100524902,,Unspecified,2015-12-01T00:00:00.000Z,2015-12-31T23:59:59.000Z,-89.875,89.875,0.125,180.0,"POLYGON ((180 -89.875, 180 89.875, 0.125 89.875, 0.125 -89.875, 180 -89.875))"
granule,G1650313240-PODAAC,RSS_smap_SSS_L3_monthly_2016_01_FNL_v04.0.nc,PODAAC,1,2019-11-01T16:43:11Z,2019-08-29T19:47:43.635Z,SMAP_RSS_L3_SSS_SMI_MONTHLY_V4,RSS_smap_SSS_L3_monthly_2016_01_FNL_v04.0.nc,11.964666366577148,,Unspecified,2016-01-01T00:00:00.000Z,2016-01-31T23:59:59.000Z,-89.875,89.875,0.125,180.0,"POLYGON ((180 -89.875, 180 89.875, 0.125 89.875, 0.125 -89.875, 180 -89.875))"
