cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1652990301-PODAAC,argo-profiles-5903997.nc,PODAAC,1,2019-11-06T18:17:16Z,2015-04-01T23:11:09.663Z,SPURS1_ARGO,argo-profiles-5903997.nc,5.077121734619141,,Unspecified,2012-09-09T00:00:00.000Z,2014-08-19T00:00:00.000Z,32.882,40.974,-71.602,-55.796,"POLYGON ((-55.796 32.882, -55.796 40.974, -71.602 40.974, -71.602 32.882, -55.796 32.882))"
granule,G1652991116-PODAAC,argo-profiles-5903996.nc,PODAAC,1,2019-11-06T18:17:33Z,2015-04-01T23:12:38.915Z,SPURS1_ARGO,argo-profiles-5903996.nc,2.6098403930664062,,Unspecified,2012-09-09T00:00:00.000Z,2014-08-17T00:00:00.000Z,26.039,36.357,-75.736,-58.267,"POLYGON ((-58.267 26.039, -58.267 36.357, -75.736 36.357, -75.736 26.039, -58.267 26.039))"
granule,G1652989759-PODAAC,argo-profiles-5904001.nc,PODAAC,1,2019-11-06T18:17:06Z,2015-04-01T23:10:20.273Z,SPURS1_ARGO,argo-profiles-5904001.nc,2.5570411682128906,,Unspecified,2012-09-12T00:00:00.000Z,2014-08-16T00:00:00.000Z,30.018,33.924,-57.581,-46.691,"POLYGON ((-46.691 30.018, -46.691 33.924, -57.581 33.924, -57.581 30.018, -46.691 30.018))"
granule,G1652989979-PODAAC,argo-profiles-5904008.nc,PODAAC,1,2019-11-06T18:17:11Z,2015-04-01T23:10:46.356Z,SPURS1_ARGO,argo-profiles-5904008.nc,2.6884727478027344,,Unspecified,2012-09-12T00:00:00.000Z,2014-08-15T00:00:00.000Z,26.252,30.147,-44.628,-39.939,"POLYGON ((-39.939 26.252, -39.939 30.147, -44.628 30.147, -44.628 26.252, -39.939 26.252))"
granule,G1652990968-PODAAC,argo-profiles-5904015.nc,PODAAC,1,2019-11-06T18:17:30Z,2015-04-01T23:12:24.724Z,SPURS1_ARGO,argo-profiles-5904015.nc,1.2491111755371094,,Unspecified,2012-09-14T00:00:00.000Z,2013-03-22T00:00:00.000Z,24.268,25.142,-38.437,-37.914,"POLYGON ((-37.914 24.268, -37.914 25.142, -38.437 25.142, -38.437 24.268, -37.914 24.268))"
granule,G1652990714-PODAAC,argo-profiles-5903999.nc,PODAAC,1,2019-11-06T18:17:21Z,2015-04-01T23:11:38.722Z,SPURS1_ARGO,argo-profiles-5903999.nc,2.5957565307617188,,Unspecified,2012-09-15T00:00:00.000Z,2014-08-18T00:00:00.000Z,23.354,25.491,-37.79,-30.072,"POLYGON ((-30.072 23.354, -30.072 25.491, -37.79 25.491, -37.79 23.354, -30.072 23.354))"
granule,G1652989815-PODAAC,argo-profiles-5904006.nc,PODAAC,1,2019-11-06T18:17:09Z,2015-04-01T23:10:37.944Z,SPURS1_ARGO,argo-profiles-5904006.nc,0.033168792724609375,,Unspecified,2012-09-16T00:00:00.000Z,2012-09-16T00:00:00.000Z,25.287,25.287,-38.735,-38.735,"POLYGON ((-38.735 25.287, -38.735 25.287, -38.735 25.287, -38.735 25.287))"
granule,G1652990898-PODAAC,argo-profiles-5903998.nc,PODAAC,1,2019-11-06T18:17:29Z,2015-04-01T23:12:19.967Z,SPURS1_ARGO,argo-profiles-5903998.nc,3.3650283813476562,,Unspecified,2012-09-16T00:00:00.000Z,2014-08-20T00:00:00.000Z,23.362,25.64,-38.24,-30.274,"POLYGON ((-30.274 23.362, -30.274 25.64, -38.24 25.64, -38.24 23.362, -30.274 23.362))"
granule,G1652989755-PODAAC,argo-profiles-5904002.nc,PODAAC,1,2019-11-06T18:17:03Z,2015-04-01T23:09:57.404Z,SPURS1_ARGO,argo-profiles-5904002.nc,0.01871490478515625,,Unspecified,2012-09-17T00:00:00.000Z,2012-09-17T00:00:00.000Z,25.268,25.268,-37.202,-37.202,"POLYGON ((-37.202 25.268, -37.202 25.268, -37.202 25.268, -37.202 25.268))"
granule,G1652989900-PODAAC,argo-profiles-5904009.nc,PODAAC,1,2019-11-06T18:17:10Z,2015-04-01T23:10:46.330Z,SPURS1_ARGO,argo-profiles-5904009.nc,2.5875930786132812,,Unspecified,2012-09-17T00:00:00.000Z,2014-08-21T00:00:00.000Z,24.466,26.925,-39.652,-34.964,"POLYGON ((-34.964 24.466, -34.964 26.925, -39.652 26.925, -39.652 24.466, -34.964 24.466))"
