cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1647542706-PODAAC,SPURS2_RR1610_CTD_01.nc,PODAAC,1,2019-10-24T19:41:13Z,2019-03-11T23:41:13.288Z,SPURS2_CTD,SPURS2_RR1610_CTD_01.nc,10.954909324645996,,Unspecified,2016-08-16T20:29:02.000Z,2016-08-16T20:29:02.000Z,16.67,16.67,-146.548,-146.548,"POLYGON ((-146.548 16.67, -146.548 16.67, -146.548 16.67, -146.548 16.67))"
granule,G1647542758-PODAAC,SPURS2_RR1610_CTD_02.nc,PODAAC,1,2019-10-24T19:41:42Z,2019-03-11T23:40:06.141Z,SPURS2_CTD,SPURS2_RR1610_CTD_02.nc,34.02757167816162,,Unspecified,2016-08-24T02:27:48.000Z,2016-08-24T02:27:48.000Z,10.052,10.052,-125.006,-125.006,"POLYGON ((-125.006 10.052, -125.006 10.052, -125.006 10.052, -125.006 10.052))"
granule,G1647542749-PODAAC,SPURS2_RR1610_CTD_03.nc,PODAAC,1,2019-10-24T19:41:35Z,2019-03-11T23:37:22.622Z,SPURS2_CTD,SPURS2_RR1610_CTD_03.nc,9.884978294372559,,Unspecified,2016-08-27T06:45:50.000Z,2016-08-27T06:45:50.000Z,11.5,11.5,-126.499,-126.499,"POLYGON ((-126.499 11.5, -126.499 11.5, -126.499 11.5, -126.499 11.5))"
granule,G1647542733-PODAAC,SPURS2_RR1610_CTD_04.nc,PODAAC,1,2019-10-24T19:41:31Z,2019-03-11T23:37:37.131Z,SPURS2_CTD,SPURS2_RR1610_CTD_04.nc,9.513777732849121,,Unspecified,2016-08-27T16:58:52.000Z,2016-08-27T16:58:52.000Z,11.0,11.0,-126.5,-126.5,"POLYGON ((-126.5 11, -126.5 11, -126.5 11, -126.5 11))"
granule,G1647542596-PODAAC,SPURS2_RR1610_CTD_05.nc,PODAAC,1,2019-10-24T19:40:26Z,2019-03-11T23:38:51.602Z,SPURS2_CTD,SPURS2_RR1610_CTD_05.nc,9.675139427185059,,Unspecified,2016-08-28T01:13:33.000Z,2016-08-28T01:13:33.000Z,10.5,10.5,-126.5,-126.5,"POLYGON ((-126.5 10.5, -126.5 10.5, -126.5 10.5, -126.5 10.5))"
granule,G1647542619-PODAAC,SPURS2_RR1610_CTD_06.nc,PODAAC,1,2019-10-24T19:40:43Z,2019-03-11T23:39:28.368Z,SPURS2_CTD,SPURS2_RR1610_CTD_06.nc,8.637892723083496,,Unspecified,2016-08-28T05:46:30.000Z,2016-08-28T05:46:30.000Z,10.0,10.0,-126.5,-126.5,"POLYGON ((-126.5 10, -126.5 10, -126.5 10, -126.5 10))"
granule,G1647542657-PODAAC,SPURS2_RR1610_CTD_07.nc,PODAAC,1,2019-10-24T19:40:53Z,2019-03-11T23:40:25.851Z,SPURS2_CTD,SPURS2_RR1610_CTD_07.nc,8.663985252380371,,Unspecified,2016-08-28T10:04:22.000Z,2016-08-28T10:04:22.000Z,9.499,9.499,-126.499,-126.499,"POLYGON ((-126.499 9.499000000000001, -126.499 9.499000000000001, -126.499 9.499000000000001, -126.499 9.499000000000001))"
granule,G1647542753-PODAAC,SPURS2_RR1610_CTD_08.nc,PODAAC,1,2019-10-24T19:41:38Z,2019-03-11T23:39:39.098Z,SPURS2_CTD,SPURS2_RR1610_CTD_08.nc,9.345137596130371,,Unspecified,2016-08-28T14:10:47.000Z,2016-08-28T14:10:47.000Z,9.002,9.002,-126.5,-126.5,"POLYGON ((-126.5 9.002000000000001, -126.5 9.002000000000001, -126.5 9.002000000000001, -126.5 9.002000000000001))"
granule,G1647542698-PODAAC,SPURS2_RR1610_CTD_09.nc,PODAAC,1,2019-10-24T19:41:09Z,2019-03-11T23:38:40.785Z,SPURS2_CTD,SPURS2_RR1610_CTD_09.nc,9.007719993591309,,Unspecified,2016-08-28T18:52:15.000Z,2016-08-28T18:52:15.000Z,8.5,8.5,-126.499,-126.499,"POLYGON ((-126.499 8.5, -126.499 8.5, -126.499 8.5, -126.499 8.5))"
granule,G1647542726-PODAAC,SPURS2_RR1610_CTD_10.nc,PODAAC,1,2019-10-24T19:41:26Z,2019-03-11T23:41:07.024Z,SPURS2_CTD,SPURS2_RR1610_CTD_10.nc,9.211379051208496,,Unspecified,2016-08-28T23:08:57.000Z,2016-08-28T23:08:57.000Z,8.5,8.5,-126.0,-126.0,"POLYGON ((-126 8.5, -126 8.5, -126 8.5, -126 8.5))"
