cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1647542543-PODAAC,SPURS2_SVP_Drifter.nc,PODAAC,1,2019-10-24T19:39:55Z,2019-08-09T01:12:32.775Z,SPURS2_DRIFTER,SPURS2_SVP_Drifter.nc,88.97083950042725,,Unspecified,2016-06-20T05:57:00.000Z,2019-03-14T12:04:00.000Z,-10.074,32.284,126.815,180.0,"POLYGON ((180 -10.074, 180 32.284, 126.815 32.284, 126.815 -10.074, 180 -10.074))"
granule,G1647542111-PODAAC,SPURS2_AOML_Drifter_b145738.nc,PODAAC,1,2019-10-24T19:36:29Z,2019-08-15T23:58:58.562Z,SPURS2_DRIFTER,SPURS2_AOML_Drifter_b145738.nc,1.9981184005737305,,Unspecified,2016-08-22T00:00:00.000Z,2017-11-09T00:00:00.000Z,7.016,13.766,-125.147,-106.676,"POLYGON ((-106.676 7.016, -106.676 13.766, -125.147 13.766, -125.147 7.016, -106.676 7.016))"
granule,G1647542114-PODAAC,SPURS2_AOML_Drifter_b145718.nc,PODAAC,1,2019-10-24T19:36:30Z,2019-08-15T23:58:45.478Z,SPURS2_DRIFTER,SPURS2_AOML_Drifter_b145718.nc,2.8682355880737305,,Unspecified,2016-08-25T00:00:00.000Z,2018-05-29T00:00:00.000Z,6.298,15.982,-125.029,-92.536,"POLYGON ((-92.536 6.298, -92.536 15.982, -125.029 15.982, -125.029 6.298, -92.536 6.298))"
granule,G1647542107-PODAAC,SPURS2_AOML_Drifter_b145733.nc,PODAAC,1,2019-10-24T19:36:26Z,2019-08-15T23:59:04.534Z,SPURS2_DRIFTER,SPURS2_AOML_Drifter_b145733.nc,3.4658918380737305,,Unspecified,2016-08-27T00:00:00.000Z,2018-10-14T00:00:00.000Z,-0.761,10.751,-124.991,-80.053,"POLYGON ((-80.053 -0.761, -80.053 10.751, -124.991 10.751, -124.991 -0.761, -80.053 -0.761))"
granule,G1647542124-PODAAC,SPURS2_AOML_Drifter_b145722.nc,PODAAC,1,2019-10-24T19:36:33Z,2019-08-15T23:59:10.334Z,SPURS2_DRIFTER,SPURS2_AOML_Drifter_b145722.nc,1.8135480880737305,,Unspecified,2016-08-27T00:00:00.000Z,2017-10-03T00:00:00.000Z,6.32,16.783,-125.001,-88.1,"POLYGON ((-88.09999999999999 6.32, -88.09999999999999 16.783, -125.001 16.783, -125.001 6.32, -88.09999999999999 6.32))"
granule,G1647542109-PODAAC,SPURS2_AOML_Drifter_b145778.nc,PODAAC,1,2019-10-24T19:36:28Z,2019-08-15T23:58:41.684Z,SPURS2_DRIFTER,SPURS2_AOML_Drifter_b145778.nc,2.6529035568237305,,Unspecified,2016-09-01T00:00:00.000Z,2018-04-17T00:00:00.000Z,0.173,11.365,-125.496,-83.522,"POLYGON ((-83.52200000000001 0.173, -83.52200000000001 11.365, -125.496 11.365, -125.496 0.173, -83.52200000000001 0.173))"
granule,G1647542118-PODAAC,SPURS2_AOML_Drifter_b145787.nc,PODAAC,1,2019-10-24T19:36:32Z,2019-08-15T23:58:52.426Z,SPURS2_DRIFTER,SPURS2_AOML_Drifter_b145787.nc,3.3955793380737305,,Unspecified,2016-09-08T00:00:00.000Z,2018-10-10T00:00:00.000Z,5.741,13.437,-124.991,-107.736,"POLYGON ((-107.736 5.741, -107.736 13.437, -124.991 13.437, -124.991 5.741, -107.736 5.741))"
granule,G1647542135-PODAAC,SPURS2_CODE2.nc,PODAAC,1,2019-10-24T19:36:41Z,2019-10-08T22:05:58.318Z,SPURS2_DRIFTER,SPURS2_CODE2.nc,0.035003662109375,,Unspecified,2017-10-30T22:18:07.000Z,2017-10-31T19:55:13.000Z,8.432,8.623,-125.044,-124.686,"POLYGON ((-124.686 8.432, -124.686 8.622999999999999, -125.044 8.622999999999999, -125.044 8.432, -124.686 8.432))"
granule,G1647542143-PODAAC,SPURS2_CODE1.nc,PODAAC,1,2019-10-24T19:36:46Z,2019-10-08T22:06:20.474Z,SPURS2_DRIFTER,SPURS2_CODE1.nc,0.035003662109375,,Unspecified,2017-10-30T22:19:53.000Z,2017-10-31T20:00:21.000Z,8.421,8.623,-125.042,-124.681,"POLYGON ((-124.681 8.420999999999999, -124.681 8.622999999999999, -125.042 8.622999999999999, -125.042 8.420999999999999, -124.681 8.420999999999999))"
granule,G1647542145-PODAAC,SPURS2_SADOS.nc,PODAAC,1,2019-10-24T19:36:48Z,2019-10-16T00:21:17.092Z,SPURS2_DRIFTER,SPURS2_SADOS.nc,0.28777313232421875,,Unspecified,2017-10-30T22:52:00.000Z,2017-10-31T21:56:00.000Z,8.428,8.622,-125.017,-124.781,"POLYGON ((-124.781 8.428000000000001, -124.781 8.622, -125.017 8.622, -125.017 8.428000000000001, -124.781 8.428000000000001))"
