cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_shortname,gran_name,gran_size_mb,gran_parameters,gran_day_night,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
granule,G1647550858-PODAAC,SPURS2_SEA-POL_Radar_20171022_000504.nc,PODAAC,1,2019-10-24T21:11:15Z,2019-03-15T08:01:06.499Z,SPURS2_RAINRADAR,SPURS2_SEA-POL_Radar_20171022_000504.nc,2.802021026611328,,Unspecified,2017-10-22T00:05:04.000Z,2017-10-22T00:05:04.000Z,10.759,13.454,-126.372,-123.629,"POLYGON ((-123.629 10.759, -123.629 13.454, -126.372 13.454, -126.372 10.759, -123.629 10.759))"
granule,G1647548926-PODAAC,SPURS2_SEA-POL_Radar_20171022_001003.nc,PODAAC,1,2019-10-24T20:46:27Z,2019-03-15T02:42:13.040Z,SPURS2_RAINRADAR,SPURS2_SEA-POL_Radar_20171022_001003.nc,2.802021026611328,,Unspecified,2017-10-22T00:10:03.000Z,2017-10-22T00:10:03.000Z,10.747,13.441,-126.371,-123.629,"POLYGON ((-123.629 10.747, -123.629 13.441, -126.371 13.441, -126.371 10.747, -123.629 10.747))"
granule,G1647546531-PODAAC,SPURS2_SEA-POL_Radar_20171022_001503.nc,PODAAC,1,2019-10-24T20:20:07Z,2019-03-15T01:35:28.661Z,SPURS2_RAINRADAR,SPURS2_SEA-POL_Radar_20171022_001503.nc,2.802021026611328,,Unspecified,2017-10-22T00:15:03.000Z,2017-10-22T00:15:03.000Z,10.734,13.429,-126.371,-123.629,"POLYGON ((-123.629 10.734, -123.629 13.429, -126.371 13.429, -126.371 10.734, -123.629 10.734))"
granule,G1647546796-PODAAC,SPURS2_SEA-POL_Radar_20171022_003004.nc,PODAAC,1,2019-10-24T20:23:33Z,2019-03-15T09:46:41.732Z,SPURS2_RAINRADAR,SPURS2_SEA-POL_Radar_20171022_003004.nc,2.802021026611328,,Unspecified,2017-10-22T00:30:04.000Z,2017-10-22T00:30:04.000Z,10.696,13.391,-126.371,-123.629,"POLYGON ((-123.629 10.696, -123.629 13.391, -126.371 13.391, -126.371 10.696, -123.629 10.696))"
granule,G1647547307-PODAAC,SPURS2_SEA-POL_Radar_20171022_003503.nc,PODAAC,1,2019-10-24T20:28:50Z,2019-03-15T07:17:13.711Z,SPURS2_RAINRADAR,SPURS2_SEA-POL_Radar_20171022_003503.nc,2.802021026611328,,Unspecified,2017-10-22T00:35:03.000Z,2017-10-22T00:35:03.000Z,10.683,13.378,-126.371,-123.629,"POLYGON ((-123.629 10.683, -123.629 13.378, -126.371 13.378, -126.371 10.683, -123.629 10.683))"
granule,G1647545372-PODAAC,SPURS2_SEA-POL_Radar_20171022_004004.nc,PODAAC,1,2019-10-24T20:05:23Z,2019-03-15T04:16:41.860Z,SPURS2_RAINRADAR,SPURS2_SEA-POL_Radar_20171022_004004.nc,2.802021026611328,,Unspecified,2017-10-22T00:40:04.000Z,2017-10-22T00:40:04.000Z,10.671,13.365,-126.371,-123.629,"POLYGON ((-123.629 10.671, -123.629 13.365, -126.371 13.365, -126.371 10.671, -123.629 10.671))"
granule,G1647547788-PODAAC,SPURS2_SEA-POL_Radar_20171022_161503.nc,PODAAC,1,2019-10-24T20:35:20Z,2019-03-15T04:20:20.912Z,SPURS2_RAINRADAR,SPURS2_SEA-POL_Radar_20171022_161503.nc,2.802021026611328,,Unspecified,2017-10-22T16:15:03.000Z,2017-10-22T16:15:03.000Z,9.67,12.365,-126.344,-123.61,"POLYGON ((-123.61 9.67, -123.61 12.365, -126.344 12.365, -126.344 9.67, -123.61 9.67))"
granule,G1647551904-PODAAC,SPURS2_SEA-POL_Radar_20171022_162002.nc,PODAAC,1,2019-10-24T21:28:39Z,2019-03-15T03:08:18.356Z,SPURS2_RAINRADAR,SPURS2_SEA-POL_Radar_20171022_162002.nc,2.802021026611328,,Unspecified,2017-10-22T16:20:02.000Z,2017-10-22T16:20:02.000Z,9.671,12.365,-126.344,-123.611,"POLYGON ((-123.611 9.670999999999999, -123.611 12.365, -126.344 12.365, -126.344 9.670999999999999, -123.611 9.670999999999999))"
granule,G1647553580-PODAAC,SPURS2_SEA-POL_Radar_20171022_162503.nc,PODAAC,1,2019-10-24T21:51:08Z,2019-03-15T01:38:53.822Z,SPURS2_RAINRADAR,SPURS2_SEA-POL_Radar_20171022_162503.nc,2.802021026611328,,Unspecified,2017-10-22T16:25:03.000Z,2017-10-22T16:25:03.000Z,9.671,12.366,-126.345,-123.611,"POLYGON ((-123.611 9.670999999999999, -123.611 12.366, -126.345 12.366, -126.345 9.670999999999999, -123.611 9.670999999999999))"
granule,G1647549897-PODAAC,SPURS2_SEA-POL_Radar_20171022_163003.nc,PODAAC,1,2019-10-24T20:57:31Z,2019-03-15T08:44:38.074Z,SPURS2_RAINRADAR,SPURS2_SEA-POL_Radar_20171022_163003.nc,2.802021026611328,,Unspecified,2017-10-22T16:30:03.000Z,2017-10-22T16:30:03.000Z,9.672,12.367,-126.345,-123.611,"POLYGON ((-123.611 9.672000000000001, -123.611 12.367, -126.345 12.367, -126.345 9.672000000000001, -123.611 9.672000000000001))"
granule,G1647553435-PODAAC,SPURS2_SEA-POL_Radar_20171022_163502.nc,PODAAC,1,2019-10-24T21:49:29Z,2019-03-15T01:23:27.774Z,SPURS2_RAINRADAR,SPURS2_SEA-POL_Radar_20171022_163502.nc,2.802021026611328,,Unspecified,2017-10-22T16:35:02.000Z,2017-10-22T16:35:02.000Z,9.673,12.367,-126.346,-123.612,"POLYGON ((-123.612 9.673, -123.612 12.367, -126.346 12.367, -126.346 9.673, -123.612 9.673))"
granule,G1647546033-PODAAC,SPURS2_SEA-POL_Radar_20171022_164002.nc,PODAAC,1,2019-10-24T20:14:30Z,2019-03-15T05:51:03.732Z,SPURS2_RAINRADAR,SPURS2_SEA-POL_Radar_20171022_164002.nc,2.802021026611328,,Unspecified,2017-10-22T16:40:02.000Z,2017-10-22T16:40:02.000Z,9.674,12.368,-126.346,-123.612,"POLYGON ((-123.612 9.673999999999999, -123.612 12.368, -126.346 12.368, -126.346 9.673999999999999, -123.612 9.673999999999999))"
granule,G1647551983-PODAAC,SPURS2_SEA-POL_Radar_20171022_164503.nc,PODAAC,1,2019-10-24T21:30:00Z,2019-03-15T01:58:55.457Z,SPURS2_RAINRADAR,SPURS2_SEA-POL_Radar_20171022_164503.nc,2.802021026611328,,Unspecified,2017-10-22T16:45:03.000Z,2017-10-22T16:45:03.000Z,9.674,12.369,-126.346,-123.613,"POLYGON ((-123.613 9.673999999999999, -123.613 12.369, -126.346 12.369, -126.346 9.673999999999999, -123.613 9.673999999999999))"
