cmr_concept_type,cmr_concept_id,cmr_native_id,cmr_provider_id,cmr_revision_id,cmr_revision_date,cmr_publication_date,coll_title,coll_version,coll_doi,coll_abstract,coll_shortname,coll_status,coll_proclvl,coll_proclvl_desc,time_min,time_max,lat_min,lat_max,lon_min,lon_max,geometry
collection,C1652974768-PODAAC,Argo+float+CTD+profile+data+within+the+scope+of+the+SPURS-1+N.+Atlantic+field+campaign,PODAAC,1,2019-11-06T18:11:52Z,,Argo float CTD profile data within the scope of the SPURS-1 N. Atlantic field campaign,1.0,,"The SPURS (Salinity Processes in the Upper Ocean Regional Study) project is an oceanographic process study and associated field program that aim to elucidate key mechanisms responsible for near-surface salinity variations in the oceans. The project involves two field campaigns and a series of cruises in regions of the Atlantic and Pacific Oceans exhibiting salinity extremes.  SPURS employs a suite of state-of-the-art in-situ sampling technologies that, combined with remotely sensed salinity fields from the Aquarius/SAC-D and SMOS satellites, provide a detailed characterization of salinity structure over a continuum of spatio-temporal scales.  The SPURS-1 campaign involved a series of 5 cruises during 2012 - 2013 seeking to characterize the salinity structure and balance in a high salinity, high evaporation, and low rainfall region of the subtropical North Atlantic. It aims to resolve processes responsible for maintaining the subtropical surface salinity maximum in this region and within a 900 x 800-mile square study area centered at 25N, 38W.  Part of the Argo global network of autonomous, self-reporting samplers, Argo floats drift horizontally and move vertically through the water column generally on 10 day cycles, collecting high-quality temperature, conductivity and salinity depth profiles from the upper 2000m. Approximately 24 floats were deployed during SPURS-1 within the campaign domain, mainly during the Knorr cruise (6 Sept-9 Oct,2012). These were standard Argo floats with the addition of surface temperature and salinity (STS) sensors and acoustic rain gauges (PAL). Data accessible here only include the standard ARGO profiles, not the STS or PAL data. SPURS-1 ARGO data files are oganized per float and each contain  profile trajectory series  of conductivity, salinity, temperature, pressure, depth observations.",SPURS1_ARGO,NOT PROVIDED,2,,,,23.0,41.0,-76.0,-28.0,"POLYGON ((-28 23, -28 41, -76 41, -76 23, -28 23))"
collection,C1652975170-PODAAC,Drifter+data+for+the+SPURS-1+N.+Atlantic+field+campaign,PODAAC,2,2019-11-06T20:31:20Z,,Drifter data for the SPURS-1 N. Atlantic field campaign,1.0,,"The SPURS (Salinity Processes in the Upper Ocean Regional Study) project is an oceanographic process study and associated field program that aim to elucidate key mechanisms responsible for near-surface salinity variations in the oceans. The project involves two field campaigns and a series of cruises in regions of the Atlantic and Pacific Oceans exhibiting salinity extremes.  SPURS employs a suite of state-of-the-art in-situ sampling technologies that, combined with remotely sensed salinity fields from the Aquarius/SAC-D and SMOS satellites, provide a detailed characterization of salinity structure over a continuum of spatio-temporal scales.  The SPURS-1 campaign involved a series of 5 cruises during 2012 - 2013 seeking to characterize the salinity structure and balance in a high salinity, high evaporation, and low rainfall region of the subtropical North Atlantic. It aims to resolve processes responsible for maintaining the subtropical surface salinity maximum in this region and within a 900 x 800-mile square study area centered at 25N, 38W.  Approximately 83 drifters were deployed during the SPURS-1 campaign. A drifter is a passive Lagrangian sensor platform consisting of a surface buoy and tethered subsurface drogue. Drifter buoys contain GPS/ARGOS and satellite data transmitters, with sensors measuring temperature and other properties. For SPURS-1, these were standard Surface Velocity Program (SVP) drifters with salinity sensors added (SVP/S). Data for both US and European drifter deployments during SPURS-1 are available here.  For each series, drifter data have been aggregrated within single netCDF data filea with their corresponding drifter-IDs and associaciated near-surface salinity, temperaure georeferenced (GPS and ARGOS) trajectory series data.",SPURS1_DRIFTER,NOT PROVIDED,2,,,,16.0,35.0,-66.0,-28.0,"POLYGON ((-28 16, -28 35, -66 35, -66 16, -28 16))"
collection,C1652975487-PODAAC,Ecomapper+data+for+the+SPURS-1+N.+Atlantic+field+campaign,PODAAC,1,2019-11-06T18:12:05Z,,Ecomapper data for the SPURS-1 N. Atlantic field campaign,1.0,,"The SPURS (Salinity Processes in the Upper Ocean Regional Study) project is an oceanographic process study and associated field program that aim to elucidate key mechanisms responsible for near-surface salinity variations in the oceans. The project involves two field campaigns and a series of cruises in regions of the Atlantic and Pacific Oceans exhibiting salinity extremes.  SPURS employs a suite of state-of-the-art in-situ sampling technologies that, combined with remotely sensed salinity fields from the Aquarius/SAC-D and SMOS satellites, provide a detailed characterization of salinity structure over a continuum of spatio-temporal scales.  The SPURS-1 campaign involved a series of 5 cruises during 2012 - 2013 seeking to characterize the salinity structure and balance in a high salinity, high evaporation, and low rainfall region of the subtropical North Atlantic. It aims to resolve processes responsible for maintaining the subtropical surface salinity maximum in this region and within a 900 x 800-mile square study area centered at 25N, 38W. The Ecomapper or IVER is a portable autonomous underwater vehicle (AUV) capable carrying a range of sensor payloads.  For SPURS-1 these included CTD, chlorophyll, oxygen and turbidity sensors. Ecomapper was deployed on two days during the Knorr cruise, 29 and 30 September 2012.  The resulting Knorr Ecomapper data files include deployment event information and contain  trajectory-depth profile series  of chlorophyll, turbidity, oxygen, conductivity, with salinity, and temperature observations from two sensors.",SPURS1_ECOMAPPER,NOT PROVIDED,2,,,,26.0,27.0,-39.0,-38.0,"POLYGON ((-38 26, -38 27, -39 27, -39 26, -38 26))"
collection,C1652976730-PODAAC,Neutrally+buoyant+float+data+for+the+SPURS-1+N.+Atlantic+field+campaign,PODAAC,1,2019-11-06T18:12:33Z,,Neutrally buoyant float data for the SPURS-1 N. Atlantic field campaign,1.0,,"The SPURS (Salinity Processes in the Upper Ocean Regional Study) project is an oceanographic process study and associated field program that aim to elucidate key mechanisms responsible for near-surface salinity variations in the oceans. The project involves two field campaigns and a series of cruises in regions of the Atlantic and Pacific Oceans exhibiting salinity extremes.  SPURS employs a suite of state-of-the-art in-situ sampling technologies that, combined with remotely sensed salinity fields from the Aquarius/SAC-D and SMOS satellites, provide a detailed characterization of salinity structure over a continuum of spatio-temporal scales.  The SPURS-1 campaign involved a series of 5 cruises during 2012 - 2013 seeking to characterize the salinity structure and balance in a high salinity, high evaporation, and low rainfall region of the subtropical North Atlantic. It aims to resolve processes responsible for maintaining the subtropical surface salinity maximum in this region and within a 900 x 800-mile square study area centered at 25N, 38W.  Neutrally buoyant floats drift and move through the water column providing continuous temperature and salinity profiles via 2 integrated CTDs and GPS surface position location data. Two floats were deployed during SPURS-1, one during the Knorr cruise in September 2012 another deployed during the April 2013 Endeavor cruise.  Recoveries were in April and September 2013 respectively.  Neutrally buoyant float trajectory profile data include georeferenced time series of salinity, temperature, and pressure/depth observations.",SPURS1_FLOAT_NEUTRALLYBUOYANT,NOT PROVIDED,2,,,,21.0,26.0,-39.0,-34.0,"POLYGON ((-34 21, -34 26, -39 26, -39 21, -34 21))"
collection,C1652976728-PODAAC,PICO+Mooring+data+for+the+SPURS-1+N.+Atlantic+field+campaign,PODAAC,1,2019-11-06T18:12:29Z,,PICO Mooring data for the SPURS-1 N. Atlantic field campaign,1.0,,"The SPURS (Salinity Processes in the Upper Ocean Regional Study) project is an oceanographic process study and associated field program that aim to elucidate key mechanisms responsible for near-surface salinity variations in the oceans. The project involves two field campaigns and a series of cruises in regions of the Atlantic and Pacific Oceans exhibiting salinity extremes.  SPURS employs a suite of state-of-the-art in-situ sampling technologies that, combined with remotely sensed salinity fields from the Aquarius/SAC-D and SMOS satellites, provide a detailed characterization of salinity structure over a continuum of spatio-temporal scales.  The SPURS-1 campaign involved a series of 5 cruises during 2012 - 2013 seeking to characterize the salinity structure and balance in a high salinity, high evaporation, and low rainfall region of the subtropical North Atlantic. It aims to resolve processes responsible for maintaining the subtropical surface salinity maximum in this region and within a 900 x 800-mile square study area centered at 25N, 38W.  Two PICO moorings (PICO-1000, PICO-3000) were deployed on the Knorr cruise in September 2012 in the northern and eastern SPURS-1 domain quadrants at N24.74, W37.95 and N24.51, W37.81 respectively. The moorings contained a surface meteorological package and a ""prawler"", a CTD that crawls up and down the mooring line from the near-surface down to about 500m, yielding time series of salinity and temperature profile data at fixed locations. The moorings were recovered on the Endeavor-2 cruise.  PICO mooring netCDF files contain georeferenced CTD profile data including salinity, temperature, potential temperature, pressure, depth, meteorological variables, GPS-Lat/Lon, and profile ID.",SPURS1_MOORING_PICO,NOT PROVIDED,2,,,,24.0,25.0,-38.0,-27.0,"POLYGON ((-27 24, -27 25, -38 25, -38 24, -27 24))"
collection,C1652975761-PODAAC,Seaglider+CTD+data+for+the+SPURS-1+N.+Atlantic+field+campaign,PODAAC,1,2019-11-06T18:12:09Z,,Seaglider CTD data for the SPURS-1 N. Atlantic field campaign,1.0,,"The SPURS (Salinity Processes in the Upper Ocean Regional Study) project is an oceanographic process study and associated field program that aim to elucidate key mechanisms responsible for near-surface salinity variations in the oceans. The project involves two field campaigns and a series of cruises in regions of the Atlantic and Pacific Oceans exhibiting salinity extremes.  SPURS employs a suite of state-of-the-art in-situ sampling technologies that, combined with remotely sensed salinity fields from the Aquarius/SAC-D and SMOS satellites, provide a detailed characterization of salinity structure over a continuum of spatio-temporal scales.  The SPURS-1 campaign involved a series of 5 cruises during 2012 - 2013 seeking to characterize the salinity structure and balance in a high salinity, high evaporation, and low rainfall region of the subtropical North Atlantic. It aims to resolve processes responsible for maintaining the subtropical surface salinity maximum in this region and within a 900 x 800-mile square study area centered at 25N, 38W.  The Seaglider is an autonomous profiler measuring salinity and temperature. Three Seagliders were deployed on the Knorr cruise in September 2012. These were retrieved during the first Endeavor cruise, and then redeployed. The Seagliders typically made loops or butterfly patterns around the central SPURS mooring, diving to 1000 m.  Seaglider data files contain vertically resolved trajectory series  of conductivity, salinity, temperature, pressure, depth observations.",SPURS1_SEAGLIDER,NOT PROVIDED,2,,,,23.0,26.0,-39.0,-34.0,"POLYGON ((-34 23, -34 26, -39 26, -39 23, -34 23))"
collection,C1652976966-PODAAC,Seasoar+CTD+data+for+the+SPURS-1+N.+Atlantic+field+campaign,PODAAC,1,2019-11-06T18:12:36Z,,Seasoar CTD data for the SPURS-1 N. Atlantic field campaign,1.0,,"The SPURS (Salinity Processes in the Upper Ocean Regional Study) project is an oceanographic process study and associated field program that aim to elucidate key mechanisms responsible for near-surface salinity variations in the oceans. The project involves two field campaigns and a series of cruises in regions of the Atlantic and Pacific Oceans exhibiting salinity extremes.  SPURS employs a suite of state-of-the-art in-situ sampling technologies that, combined with remotely sensed salinity fields from the Aquarius/SAC-D and SMOS satellites, provide a detailed characterization of salinity structure over a continuum of spatio-temporal scales.  The SPURS-1 campaign involved a series of 5 cruises during 2012 - 2013 seeking to characterize the salinity structure and balance in a high salinity, high evaporation, and low rainfall region of the subtropical North Atlantic. It aims to resolve processes responsible for maintaining the subtropical surface salinity maximum in this region and within a 900 x 800-mile square study area centered at 25N, 38W.  The Seasoar is a towed vehicle equipped with impeller-forced wings that can be rotated on command to allow the vehicle to undulate in the upper ocean. Generally, Seasoar operates between the surface and about 400 meters depth while being towed on faired cable at about eight knots. A typical dive cycle takes about 12 minutes to complete, providing an up and down profile every 3 km.  For SPURS-1, a Seasoar was deployed exclusively during the Sarmiento cruise over the period 22 Mar-8 Apr, 2013 and to a maximum depth of 312m.  The Seasoar towed sensor system was equipped with dual pumped temperature/conductivity sensors.  The Seasoar data in netCDF form here contains a highly processed 1-meter gridded version of the original source dataset, which is comprised of temperature, conductivity, salinity, pressure observations from 1144 casts during 2013 Spring SPURS Cruise.",SPURS1_SEASOAR,NOT PROVIDED,2,,,,22.0,26.0,-39.0,-36.0,"POLYGON ((-36 22, -36 26, -39 26, -39 22, -36 22))"
collection,C1652974647-PODAAC,SPURS-1++shipboard+Acoustic+Doppler+Current+Profiler+data+for+N.+Atlantic++Endeavor+and+Knorr+cruises,PODAAC,1,2019-11-06T18:11:48Z,,SPURS-1  shipboard Acoustic Doppler Current Profiler data for N. Atlantic  Endeavor and Knorr cruises,1.0,,"The SPURS (Salinity Processes in the Upper Ocean Regional Study) project is an oceanographic process study and associated field program that aim to elucidate key mechanisms responsible for near-surface salinity variations in the oceans. The project involves two field campaigns and a series of cruises in regions of the Atlantic and Pacific Oceans exhibiting salinity extremes.  SPURS employs a suite of state-of-the-art in-situ sampling technologies that, combined with remotely sensed salinity fields from the Aquarius/SAC-D and SMOS satellites, provide a detailed characterization of salinity structure over a continuum of spatio-temporal scales.  The SPURS-1 campaign involved a series of 5 cruises during 2012 - 2013 seeking to characterize the salinity structure and balance in a high salinity, high evaporation, and low rainfall region of the subtropical North Atlantic. It aims to resolve processes responsible for maintaining the subtropical surface salinity maximum in this region and within a 900 x 800-mile square study area centered at 25N, 38W.   Acoustic Doppler Current Profilers (ADCP) provide water column current velocity profile observations.  Shipborne ADCP data were collected during the 3 US cruises, using the Knorr and Endeavor 300 kHz Workhorse, 75 khz broadband and 75 khz narrowband instruments, and during the Sarmiento cruise using a 76.8 khz broadband ADCP.  Corresponding ruise dates were as follows: Knorr: 6 Sept-9 Oct 2012; Sarmiento: 14 Mar-10 Apr 2013, Endeavor: 15 Mar-15 Apr 2013 and 19 Sep-13 Oct 2013.  Additionally, lowered ADCP (L-ADCP) measurements were made during the Knorr cruise on every CTD cast and during the Sarmiento cruise.   The ADCP data files here (1 per cruise) are for the shipborne ADCP measurements only.",SPURS1_ADCP,NOT PROVIDED,2,,,,20.0,42.0,-73.0,-28.0,"POLYGON ((-28 20, -28 42, -73 42, -73 20, -28 20))"
collection,C1652976240-PODAAC,SPURS-1+research+vessel++Meteorological+series+data+for+N.+Atlantic+Endeavor+cruises,PODAAC,1,2019-11-06T18:12:21Z,,SPURS-1 research vessel  Meteorological series data for N. Atlantic Endeavor cruises,1.0,,"The SPURS (Salinity Processes in the Upper Ocean Regional Study) project is an oceanographic process study and associated field program that aim to elucidate key mechanisms responsible for near-surface salinity variations in the oceans. The project involves two field campaigns and a series of cruises in regions of the Atlantic and Pacific Oceans exhibiting salinity extremes.  SPURS employs a suite of state-of-the-art in-situ sampling technologies that, combined with remotely sensed salinity fields from the Aquarius/SAC-D and SMOS satellites, provide a detailed characterization of salinity structure over a continuum of spatio-temporal scales.  The SPURS-1 campaign involved a series of 5 cruises during 2012 - 2013 seeking to characterize the salinity structure and balance in a high salinity, high evaporation, and low rainfall region of the subtropical North Atlantic. It aims to resolve processes responsible for maintaining the subtropical surface salinity maximum in this region and within a 900 x 800-mile square study area centered at 25N, 38W. All US SPURS-1 cruises (Knorr: 6 Sept-9 Oct 2012; Endeavor: 15 Mar-15 Apr 2013 and 19 Sep-13 Oct 2013) were equipped with a ship mast meteorological sensor package. An additional set of sophisticated meteorological sensors, including a direct covariance flux package, was installed on the Knorr. These sensors provided along-track atmospheric pressure, temperature, humidity, IR/visible radiation, rain, wind speed and direct covariance flux measurements.  Resulting data files (1 per cruise) contain these georeferenced, SPURS-1 research vessel-based meteorological measurements.",SPURS1_METEO,NOT PROVIDED,2,,,,32.0,42.0,-72.0,-37.0,"POLYGON ((-37 32, -37 42, -72 42, -72 32, -37 32))"
collection,C1652974913-PODAAC,SPURS-1+research+vessel+CTD+profile+data+for+N.+Atlantic+cruises,PODAAC,1,2019-11-06T18:11:57Z,,SPURS-1 research vessel CTD profile data for N. Atlantic cruises,1.0,,"The SPURS (Salinity Processes in the Upper Ocean Regional Study) project is an oceanographic process study and associated field program that aim to elucidate key mechanisms responsible for near-surface salinity variations in the oceans. The project involves two field campaigns and a series of cruises in regions of the Atlantic and Pacific Oceans exhibiting salinity extremes.  SPURS employs a suite of state-of-the-art in-situ sampling technologies that, combined with remotely sensed salinity fields from the Aquarius/SAC-D and SMOS satellites, provide a detailed characterization of salinity structure over a continuum of spatio-temporal scales.  The SPURS-1 campaign involved a series of 5 cruises during 2012 - 2013 seeking to characterize the salinity structure and balance in a high salinity, high evaporation, and low rainfall region of the subtropical North Atlantic. It aims to resolve processes responsible for maintaining the subtropical surface salinity maximum in this region and within a 900 x 800-mile square study area centered at 25N, 38W. CTD (Conductivity, Temperature, Depth) profilers were deployed at stations on each of the 5 SPURS-1 cruises.  These shipboard lowered CTD probes provide continuous conductivity, salinity, and temperature vertical profile observations at fixed sampling locations. There were 100, 52, 17, 22 and 94 CTD casts made during the Knorr, Endeavor-1, Endeavor-2, Sarmiento, and Thalassa cruises respectively. All CTD data were calibrated using shipboard salinometers using IAPSO standard seawater.  SPURS-1 shipboard CTD data files (one per cruise) contain the observational data processed to 1 meter bin depth intervals.",SPURS1_CTD,NOT PROVIDED,2,,,,23.0,43.0,-63.0,-37.0,"POLYGON ((-37 23, -37 43, -63 43, -63 23, -37 23))"
